smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
240.0,-194.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,211186.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-523360676.704,1373884.41496,-522965773.585,-522305232.046,-525205927.6,-524966643.678,-522307574.097,4.0,1887558385670.0,0.00781241676364,7,3.05205327361e-12,0.25,0.249997336436,0.125
240.0,-163.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-527662572.959,5100205.37965,-525148721.887,-525040466.167,-535312381.895,-533792995.96,-525051541.459,4.0,26012094914700.0,0.00781258323636,13,3.05205327361e-12,0.25,0.250002663564,0.125
240.0,-132.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,633557.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-532580705.087,5363278.68529,-531479831.817,-528054414.36,-539308742.355,-538585861.39,-528116771.362,4.0,28764758256000.0,0.00781258323636,19,3.05205327361e-12,0.25,0.250002663564,0.125
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,211186.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-534323911.69,1186599.2764,-534578071.179,-532705703.787,-535433800.614,-535357877.86,-532934122.235,4.0,1408017842750.0,0.00390620838182,6,3.05205327361e-12,0.125,0.249997336436,0.125
240.0,-101.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-541434719.845,6749964.30913,-541588639.685,-535153785.002,-547407815.007,-547366801.056,-535287150.857,4.0,45562018174600.0,0.00195315043333,25,3.05205327361e-12,0.125,0.125001627733,0.125
240.0,-194.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-542118476.243,4542055.94809,-541894744.18,-537761134.897,-546923281.717,-546639988.252,-537910189.123,4.0,20630272235600.0,0.00781258323636,12,3.05205327361e-12,0.25,0.250002663564,0.125
240.0,-163.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,633557.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-546252490.243,3613431.79066,-545366666.765,-543022245.82,-551254381.621,-550526671.914,-543218461.441,4.0,13056889305700.0,0.00781258323636,18,3.05205327361e-12,0.25,0.250002663564,0.125
240.0,-132.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-552779588.701,3815867.34492,-551389530.883,-549938409.517,-558400883.524,-557389813.003,-550115445.346,4.0,14560843594100.0,0.00390630086666,24,3.05205327361e-12,0.25,0.125001627733,0.125
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-563099499.016,3892323.61892,-562527191.139,-559821583.942,-567522029.843,-567176579.557,-559823649.501,4.0,15150183154400.0,0.00390629161818,11,3.05205327361e-12,0.125,0.250002663564,0.125
240.0,-194.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,633557.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-569191753.587,4681506.11077,-567387281.464,-565884009.817,-576108441.604,-574871853.67,-566037914.477,4.0,21916499465200.0,0.00781258323636,17,3.05205327361e-12,0.25,0.250002663564,0.125
240.0,-163.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-580040425.622,5641641.95113,-579858528.116,-574820425.392,-585624220.865,-585404463.107,-574931044.645,4.0,31828123904800.0,0.00390630086666,23,3.05205327361e-12,0.25,0.125001627733,0.125
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-585761045.438,855552.522977,-585647396.001,-584841245.416,-586908144.335,-586728642.632,-584952557.457,4.0,731970119572.0,0.00781223179395,27,3.05205327361e-12,0.25,0.124995708703,0.25
240.0,-163.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,211186.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-588521195.106,1767184.0778,-587645645.912,-587621660.337,-591171828.262,-590645556.765,-587622602.318,4.0,3122939564830.0,0.0156248335273,33,3.05205327361e-12,0.25,0.249997336436,0.25
240.0,-132.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-593708516.642,2050884.31099,-593783742.735,-591137620.4,-596128960.7,-595816722.926,-591494993.829,4.0,4206126457070.0,0.0156251664727,39,3.05205327361e-12,0.25,0.250002663564,0.25
