smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,595364.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,666602642.908,268092.722713,666602642.908,666792213.09,666413072.726,666432029.744,666773256.072,2.0,71873707971.6,0.00200004193962,3.47754823353e-14,0.199999059395,7,0.1,0.100002567295
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,648146343.948,3977111.63472,648146343.948,650958586.555,645334101.342,645615325.603,650677362.294,2.0,15817416955000.0,0.00399998610381,3.47754823353e-14,0.0999986898723,38,0.2,0.200001925471
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,501773279.901,9942976.32122,501773279.901,508804025.883,494742533.919,495445608.517,508100951.284,2.0,98862778124300.0,0.00199999305191,3.47754823353e-14,0.0999986898723,37,0.1,0.200001925471
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1190728.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,417129729.863,599276.79878,417129729.863,417553482.551,416705977.174,416748352.443,417511107.282,2.0,359132681556.0,0.00200005873656,3.47754823353e-14,0.200000739046,13,0.1,0.100002567295
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,595364.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,396207180.225,2656047.29661,396207180.225,398085289.279,394329071.17,394516882.076,397897478.374,2.0,7054587241830.0,0.00800003939431,3.47754823353e-14,0.199999059395,44,0.2,0.200001925471
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,373882560.699,17544215.899,373882560.699,386288194.732,361476926.667,362717490.07,385047631.329,2.0,307799511512000.0,0.00399992192228,3.47754823353e-14,0.0999986898723,75,0.2,0.199998716352
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,595364.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,310303365.492,9626413.94615,310303365.492,317110268.072,303496462.912,304177153.17,316429577.814,2.0,92667845462700.0,0.00400001969716,3.47754823353e-14,0.199999059395,43,0.1,0.200001925471
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,241259607.832,9656092.07981,241259607.832,248087496.022,234431719.643,235114508.462,247404707.203,2.0,93240114253900.0,0.00399992192228,3.47754823353e-14,0.0999986898723,74,0.2,0.199998716352
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1786092.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,167973524.604,535785.667724,167973524.604,168352382.283,167594666.925,167632552.693,168314496.515,2.0,287066281738.0,0.00200005873656,3.47754823353e-14,0.200000739046,19,0.1,0.100002567295
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1190728.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,145400880.013,12685123.007,145400880.013,154370616.511,136431143.514,137328117.164,153473642.861,2.0,160912345703000.0,0.008000106581,3.47754823353e-14,0.200000739046,50,0.2,0.200001925471
