npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1435182096.86,4783931.46227,1435182096.86,1438564847.24,1431799346.48,1432137621.52,1438226572.2,2.0,22886000235700.0,8.705791516489999e-14,0.0078118081358,8,0.124996134146,0.249985591609,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1429321689.82,6001888.02725,1429321689.82,1433565665.54,1425077714.09,1425502111.67,1433141267.97,2.0,36022659891700.0,8.705791516489999e-14,0.0156239161913,44,0.249997067283,0.249985591609,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1418299229.13,3196831.36993,1418299229.13,1420559730.27,1416038727.99,1416264778.1,1420333680.15,2.0,10219730807800.0,8.705791516489999e-14,0.0156239161913,33,0.249997067283,0.249985591609,0.25
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1364298729.75,395427.248401,1364298729.75,1364578339.04,1364019120.46,1364047081.39,1364550378.11,2.0,156362708778.0,8.705791516489999e-14,0.00781304191492,107,0.125001466359,0.250014408391,0.25
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1354039439.75,7278320.18549,1354039439.75,1359185989.31,1348892890.19,1349407545.15,1358671334.35,2.0,52973944722500.0,8.705791516489999e-14,0.00391749567674,50,0.249997067283,0.125007204196,0.125354107649
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1345707312.15,2735264.94519,1345707312.15,1347641436.54,1343773187.76,1343966600.2,1347448024.11,2.0,7481674320370.0,8.705791516489999e-14,0.00779090865171,77,0.250002932717,0.250014408391,0.124645892351
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1343903166.35,743654.25486,1343903166.35,1344429009.32,1343377323.39,1343429907.68,1344376425.02,2.0,553021650771.0,8.705791516489999e-14,0.0156242827598,88,0.250002932717,0.249985591609,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1334059284.57,2417661.4322,1334059284.57,1335768829.37,1332349739.78,1332520694.26,1335597874.89,2.0,5845086800750.0,8.705791516489999e-14,0.0156242494354,69,0.250002399496,0.249985591609,0.25
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1331876638.71,155892.929718,1331876638.71,1331986871.66,1331766405.76,1331777429.05,1331975848.36,2.0,24302605536.1,8.705791516489999e-14,0.0078118081358,14,0.124996134146,0.249985591609,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1317686655.35,1762162.23711,1317686655.35,1318932692.21,1316440618.48,1316565222.17,1318808088.53,2.0,3105215749880.0,8.705791516489999e-14,0.0156242494354,58,0.250002399496,0.249985591609,0.25
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1293400776.83,2931379.78691,1293400776.83,1295473575.36,1291327978.31,1291535258.16,1295266295.51,2.0,8592987455120.0,8.705791516489999e-14,0.0156239161913,39,0.249997067283,0.249985591609,0.25
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1274374360.64,1437478.40141,1274374360.64,1275390811.37,1273357909.92,1273459554.99,1275289166.29,2.0,2066344154520.0,8.705791516489999e-14,0.00778982790274,28,0.249997067283,0.249985591609,0.124645892351
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1255801986.14,9269952.6389,1255801986.14,1262356832.51,1249247139.77,1249902624.4,1261701347.87,2.0,85932021927500.0,8.705791516489999e-14,0.0039175792334,75,0.250002399496,0.125007204196,0.125354107649
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1252965770.63,2951372.28006,1252965770.63,1255052705.98,1250878835.28,1251087528.81,1254844012.45,2.0,8710598335530.0,8.705791516489999e-14,0.00389545432585,102,0.125001466359,0.250014408391,0.124645892351
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1250368274.4,4652304.9919,1250368274.4,1253657950.8,1247078597.99,1247407565.63,1253328983.16,2.0,21643941737700.0,8.705791516489999e-14,0.00389483918385,3,0.124996134146,0.249985591609,0.124645892351
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1249686088.71,1207959.85368,1249686088.71,1250540245.31,1248831932.1,1248917347.76,1250454829.65,2.0,1459167008100.0,8.705791516489999e-14,0.00781214137989,113,0.125001466359,0.249985591609,0.25
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1245547349.16,1989614.15414,1245547349.16,1246954218.82,1244140479.5,1244281166.46,1246813531.85,2.0,3958564482340.0,8.705791516489999e-14,0.00390635431621,20,0.124996134146,0.125007204196,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1236968927.42,1061498.89614,1236968927.42,1237719520.49,1236218334.35,1236293393.66,1237644461.18,2.0,1126779906510.0,8.705791516489999e-14,0.0156242827598,94,0.250002932717,0.249985591609,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1220402242.04,268932.685549,1220402242.04,1220592406.16,1220212077.91,1220231094.32,1220573389.75,2.0,72324789356.4,8.705791516489999e-14,0.0156242827598,83,0.250002932717,0.249985591609,0.25
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1200231833.73,5522827.96397,1200231833.73,1204137062.83,1196326604.62,1196717127.53,1203746539.92,2.0,30501628719600.0,8.705791516489999e-14,0.0156242494354,64,0.250002399496,0.249985591609,0.25
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1200050422.53,1123638.049,1200050422.53,1200844954.61,1199255890.44,1199335343.65,1200765501.4,2.0,1262562465150.0,8.705791516489999e-14,0.00781285860954,45,0.249997067283,0.125007204196,0.25
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1176816788.43,2446544.31722,1176816788.43,1178546756.51,1175086820.35,1175259817.16,1178373759.7,2.0,5985579096120.0,8.705791516489999e-14,0.00778999405277,53,0.250002399496,0.249985591609,0.124645892351
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1174332613.97,3680240.16679,1174332613.97,1176934936.75,1171730291.19,1171990523.47,1176674704.47,2.0,13544167685200.0,8.705791516489999e-14,0.00391758758907,100,0.250002932717,0.125007204196,0.125354107649
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1145939684.35,3769940.70306,1145939684.35,1148605434.99,1143273933.71,1143540508.78,1148338859.92,2.0,14212452904600.0,8.705791516489999e-14,0.0078118081358,9,0.124996134146,0.249985591609,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1142916146.54,6554488.53708,1142916146.54,1147550869.83,1138281423.25,1138744895.58,1147087397.5,2.0,42961319982600.0,8.705791516489999e-14,0.00781214137989,119,0.125001466359,0.249985591609,0.25
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1142836590.76,17104175.7092,1142836590.76,1154931069.39,1130742112.13,1131951560.0,1153721621.53,2.0,292552826691000.0,8.705791516489999e-14,0.0156239161913,34,0.249997067283,0.249985591609,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1125720553.7,3300298.60524,1125720553.7,1128054217.22,1123386890.18,1123620256.53,1127820850.87,2.0,10891970883800.0,8.705791516489999e-14,0.00781214137989,108,0.125001466359,0.249985591609,0.25
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1111713680.13,7346815.24489,1111713680.13,1116908663.01,1106518697.25,1107038195.54,1116389164.73,2.0,53975694242500.0,8.705791516489999e-14,0.0156242827598,89,0.250002932717,0.249985591609,0.25
