smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-256833969.086,4524284.20004,-258067073.951,-250343667.311,-260858061.131,-260462894.988,-251478696.373,4.0,20469147522700.0,0.125226860254,0.12498974865,3.46688419418e-13,0.124990974078,0.00195636794902,105
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-296520823.762,6679648.52897,-296695078.187,-288510337.808,-304182800.867,-303410119.733,-289387571.596,4.0,44617704470500.0,0.125226860254,0.249992724848,3.46688419418e-13,0.124990974078,0.00391294293863,110
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-342736530.682,6149170.32665,-341622156.952,-337471806.337,-350230002.487,-349490815.337,-337542369.248,4.0,37812295706200.0,0.125226860254,0.250007275152,3.46688419418e-13,0.124990974078,0.00391317068328,115
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-392236302.898,2131089.3512,-391854892.126,-390114025.99,-395121401.349,-394706860.558,-390299720.318,4.0,4541541822800.0,0.125226860254,0.250007275152,3.46688419418e-13,0.124990974078,0.00391317068328,120
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-403067230.845,2212560.56075,-403179263.475,-400498768.029,-405411628.401,-405246743.22,-400730872.788,4.0,4895424234970.0,0.250453720508,0.12498974865,3.46688419418e-13,0.249981948155,0.00782547179608,79
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-424389565.72,3408547.44358,-424728944.024,-420605262.226,-427495112.605,-427426470.649,-420877531.165,4.0,11618195675100.0,0.250453720508,0.12498974865,3.46688419418e-13,0.124990974078,0.00391273589804,104
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-425418405.674,1181520.06609,-425508870.243,-423925522.644,-426730359.566,-426597074.969,-424113085.982,4.0,1395989666570.0,0.250453720508,0.249992724848,3.46688419418e-13,0.124990974078,0.00782588587727,109
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-430041130.866,5579589.37287,-429482721.064,-423829529.518,-437369551.818,-436260169.776,-424603865.679,4.0,31131817569800.0,0.125226860254,0.125002976198,3.46688419418e-13,0.124990974078,0.00195657498961,125
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-443824865.261,5260093.28684,-444809595.691,-437126226.76,-448554042.9,-448386814.178,-437884293.741,4.0,27668581386300.0,0.250453720508,0.249992724848,3.46688419418e-13,0.249981948155,0.0156517717545,84
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-462016702.717,3329178.1184,-460510196.377,-460068079.522,-466978338.591,-466065842.438,-460076671.871,4.0,11083426944000.0,0.250453720508,0.250007275152,3.46688419418e-13,0.124990974078,0.00782634136657,114
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-491989404.736,3879212.19115,-491712657.585,-487532589.516,-496999714.259,-496223520.013,-488142735.472,4.0,15048287224000.0,0.250453720508,0.250007275152,3.46688419418e-13,0.249981948155,0.0156526827331,89
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-513983105.389,4971756.69745,-514985495.635,-507276671.624,-518684758.661,-518368546.599,-508194317.833,4.0,24718364658600.0,0.250453720508,0.250007275152,3.46688419418e-13,0.124990974078,0.00782634136657,119
