cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-463170292.109,0.0,0.0,0.0,0.0,0.0,-212835072.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-16506504.3914,22664430.0308,-20617600.0,-13739671.5765,-18994746.0,0.0,-7585035.40242,10414712.8964,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,13660979.9602,22497762.225,46737071.8571,30503854.2203,0.0,-178.190448229,244.666275201,0.0,0.0
2,0.0,-30693245.5898,42143684.7313,-20617600.0,-13739655.9485,-18994746.0,0.0,-14104097.9297,19365780.4884,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,9455284.46906,22497762.225,46737071.8571,30503854.2203,0.0,-331.338668658,454.948055276,0.0,0.0
3,0.0,-27034567.4602,37120098.1192,-20617600.0,-13739655.8388,-18994746.0,0.0,-12422869.5799,17057352.1625,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,9414265.01749,20687597.4483,49752366.8157,29245963.3246,0.0,-291.842632405,400.717605939,0.0,0.0
4,0.0,-23827481.3102,32716574.6398,-20617600.0,-13739656.8867,-18994746.0,0.0,-10949155.8602,15033853.989,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,9173433.93212,16291482.9905,45229424.3779,27201890.6191,0.0,-257.221606352,353.180840797,0.0,0.0
5,0.0,-20987211.9585,28816712.836,-20617600.0,-13739657.6351,-18994746.0,0.0,-9644001.05125,13241797.4066,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,11275594.0765,16032888.0224,50355425.8074,28145308.7909,0.0,-226.560428379,311.081186844,0.0,0.0
6,0.0,-18464759.7951,25353233.2763,-20617600.0,-13739650.137,-18994746.0,0.0,-8484888.95177,11650266.3075,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,10016567.4345,15515698.0862,50656955.3032,27516363.343,0.0,-199.33013958,273.692351476,0.0,0.0
7,0.0,-17113613.8742,23498028.1123,-20617600.0,-13739723.7291,-18994746.0,0.0,-7864013.11999,10797766.1952,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,8150659.27983,15774293.0543,51260014.2949,26887417.8952,0.0,-184.744295627,253.665104527,0.0,0.0
8,0.0,-16748496.6473,22996700.0512,-20617600.0,-13739763.2193,-18994746.0,0.0,-7696235.19279,10567396.9419,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,20849206.8284,16032888.0224,52466132.2783,26572945.1713,0.0,-180.802794703,248.253185092,0.0,0.0
9,0.0,-16418950.8023,22544213.6513,-20617600.0,-13739668.4387,-18994746.0,0.0,-7544802.95481,10359471.3096,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,13552710.9073,16550077.9586,53672250.2617,26887417.8952,0.0,-177.245292736,243.368519478,0.0,0.0
10,0.0,-16041465.2179,22025903.0865,-20617600.0,-13739649.7096,-18994746.0,0.0,-7371341.54507,10121298.2906,-21732221.0,-5564217.0981,-70279747.396,448941240.0,-416208.405,9423130.30087,16808672.9267,54275309.2534,27044654.2572,0.0,-173.170273344,237.773271103,0.0,0.0
11,0.0,-15725831.0256,21592518.2282,-20617600.0,-13739664.2074,-18994746.0,0.0,-7226301.96154,9922150.16001,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9379513.28881,17584457.831,53973779.7576,27044654.2572,0.0,-169.762949973,233.094809794,0.0,0.0
12,0.0,-15364280.8519,21096087.9471,-20617600.0,-13739648.285,-18994746.0,0.0,-7060163.15938,9694031.52462,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9157789.55312,18101647.7672,55782956.7327,27516363.343,0.0,-165.859955978,227.735762705,0.0,0.0
13,0.0,-15061971.0373,20680998.2662,-20617600.0,-13739674.1974,-18994746.0,0.0,-6921246.36682,9503290.35675,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,11256286.9012,18360242.7353,56386015.7244,27673599.705,0.0,-162.596471469,223.254800864,0.0,0.0
14,0.0,-14715683.5669,20205524.601,-20617600.0,-13739672.0041,-18994746.0,0.0,-6762121.05114,9284801.66297,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9940326.04284,18618837.7034,56989074.7161,27673599.705,0.0,-158.858240885,218.121983915,0.0,0.0
15,0.0,-14426135.6464,19807957.7734,-20617600.0,-13739683.9471,-18994746.0,0.0,-6629068.57826,9102112.56111,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,8224703.43833,18877432.6715,57592133.7078,27830836.067,0.0,-155.732523136,213.830184177,0.0,0.0
16,0.0,-7047233.28509,9676278.02429,-20617600.0,-13739643.3185,-18994746.0,0.0,-3238330.33869,4446423.64231,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,32984729.0869,19136027.6396,57893663.2037,27988072.4289,0.0,-76.0760502687,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-20617600.0,-13739665.7911,-18994746.0,0.0,0.0,0.0,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,13579946.3332,19394622.6077,58798251.6912,28302545.1528,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-20617600.0,-13739651.2484,-18994746.0,0.0,0.0,0.0,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9473469.70341,19653217.5758,60004369.6746,28617017.8768,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-20617600.0,-13739654.3242,-18994746.0,0.0,0.0,0.0,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9429752.25163,19911812.5439,60607428.6664,28774254.2387,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-20617600.0,-13739658.1832,-18994746.0,0.0,0.0,0.0,-21732221.0,-5564217.0981,-70279747.396,0.0,-416208.405,9127181.46984,19911812.5439,60908958.1622,28931490.6007,0.0,0.0,0.0,0.0,0.0
