smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-303413438.154,950198.178056,-303413438.154,-302741546.579,-304085329.729,-304018140.572,-302808735.736,2.0,902876577582.0,0.249546279492,0.0155946083013,0.249963898917,0.250003495741,1.83230531396e-13,88
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-313643026.44,2865784.36718,-313643026.44,-311616610.88,-315669441.999,-315466800.443,-311819252.436,2.0,8212720039170.0,0.249546279492,0.00779801591193,0.25,0.124995105963,1.83230531396e-13,19
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-344147487.201,90432.0662943,-344147487.201,-344083542.074,-344211432.328,-344205037.815,-344089936.586,2.0,8177958614.26,0.250453720508,0.0156513159678,0.249963898917,0.250003495741,1.83230531396e-13,58
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-375817890.85,2677630.15105,-375817890.85,-373924520.412,-377711261.287,-377521924.243,-374113857.456,2.0,7169703225790.0,0.249546279492,0.00779728234506,0.249963898917,0.125001398296,1.83230531396e-13,113
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-390083121.297,77783.416852,-390083121.297,-390028120.115,-390138122.478,-390132622.36,-390033620.233,2.0,6050259937.17,0.249546279492,0.015596424381,0.25,0.249996504259,1.83230531396e-13,44
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-394347378.211,2620427.76406,-394347378.211,-392494455.97,-396200300.453,-396015008.229,-392679748.194,2.0,6866641666660.0,0.125226860254,0.00391262108568,0.249963898917,0.124995105963,1.83230531396e-13,3
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-403306082.87,628075.475345,-403306082.87,-402861966.442,-403750199.297,-403705787.655,-402906378.085,2.0,394478802730.0,0.125226860254,0.0078254391352,0.249963898917,0.249996504259,1.83230531396e-13,28
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-418824585.281,3351662.84507,-418824585.281,-416454601.755,-421194568.807,-420957570.454,-416691600.107,2.0,11233643827000.0,0.250453720508,0.0156513159678,0.249963898917,0.250003495741,1.83230531396e-13,83
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-464559042.019,464421.700436,-464559042.019,-464230646.285,-464887437.753,-464854598.179,-464263485.859,2.0,215687515836.0,0.249546279492,0.0155968605555,0.25,0.250003495741,1.83230531396e-13,69
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-475674030.97,568104.948088,-475674030.97,-475272320.109,-476075741.831,-476035570.745,-475312491.195,2.0,322743232042.0,0.249546279492,0.00779801591193,0.25,0.124995105963,1.83230531396e-13,14
