smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1864501453.08,8180471.69983,-1868434002.49,-1851515907.43,-1873742263.98,-1873251211.23,-1852302103.96,10.0,66920117231800.0,0.00145817305712,73,0.142851127809,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1894438946.05,8203905.96522,-1896215402.37,-1879483947.12,-1907297939.25,-1904739423.52,-1881042997.34,10.0,67304073086100.0,0.0014582536439,81,0.14285902256,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1929848607.17,7521112.57465,-1931761505.56,-1915529447.49,-1938240192.2,-1938111276.93,-1916834165.39,10.0,56567134360500.0,0.000729041758125,65,0.0714211779319,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1935960713.83,11682328.3243,-1932637001.73,-1920542960.56,-1960093901.69,-1954957590.5,-1923264519.18,10.0,136476795076000.0,0.0014582536439,89,0.14285902256,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1966156783.42,15883245.1712,-1965980658.67,-1944398285.89,-1988579544.28,-1986828182.63,-1946506823.2,10.0,252277477168000.0,0.0014574903171,131,0.0714211779319,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1975748785.27,8789200.0025,-1976622321.2,-1957747550.98,-1987751482.87,-1987035487.56,-1962693813.16,10.0,77250036684000.0,0.00145826259799,97,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2003246696.43,16632113.4719,-2004272782.84,-1976486426.08,-2035215722.27,-2025264538.95,-1978087104.39,10.0,276627198542000.0,0.00291515964308,139,0.142851127809,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2017123854.73,7894281.5519,-2019287157.64,-2002906885.98,-2027709527.27,-2027291294.51,-2005567234.97,10.0,62319681220700.0,0.00145826259799,105,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2043542924.09,23440360.7666,-2035408878.35,-2017101262.22,-2082977607.5,-2079824137.82,-2018243668.06,10.0,549450512867000.0,0.00291515964308,138,0.142851127809,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2049868121.13,13652655.1487,-2047872857.61,-2030779465.83,-2075702626.18,-2070511130.95,-2033330717.9,10.0,186394992611000.0,0.00291532075107,147,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2056617854.28,8279422.89363,-2056045759.99,-2045508267.68,-2071687381.81,-2069409094.3,-2046230069.39,10.0,68548843451600.0,0.00145826259799,113,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2078963716.65,11043959.1405,-2080224753.07,-2061082053.39,-2092036855.02,-2091887543.95,-2063797876.78,10.0,121969033497000.0,0.00291532075107,146,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2082635962.78,15991996.0684,-2080376205.06,-2062941731.5,-2109251247.85,-2107799761.85,-2063206965.63,10.0,255743938252000.0,0.00291532075107,155,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2085776650.33,6498317.67513,-2084063683.75,-2078116443.38,-2095624319.33,-2094569153.97,-2078345248.15,10.0,42228132607000.0,0.000729131298995,121,0.0714299498771,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2103893772.41,17523771.8421,-2108638265.38,-2072421558.14,-2122871462.56,-2120902078.31,-2074215589.97,10.0,307082579574000.0,0.00145817305712,137,0.142851127809,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2109365477.67,23260302.1312,-2113741675.24,-2046477503.25,-2131026311.89,-2128777941.54,-2073861119.4,10.0,541041655236000.0,0.0014574903171,130,0.0714211779319,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2116765843.43,12832713.1907,-2117173689.61,-2094714427.95,-2135786981.8,-2134974574.78,-2098230183.96,10.0,164678527835000.0,0.00291533865196,163,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2122422666.3,17305311.4338,-2127209313.86,-2085168568.57,-2141033059.85,-2139194051.93,-2091894905.39,10.0,299473803821000.0,0.00291532075107,154,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2135793277.55,13840201.5564,-2137486221.78,-2116375700.54,-2157245566.26,-2154187527.42,-2116676680.96,10.0,191551179121000.0,0.0014582536439,145,0.14285902256,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2153707410.45,14266952.1883,-2150060114.73,-2138626044.51,-2176662498.45,-2176409296.56,-2139830349.63,10.0,203545924744000.0,0.00291533865196,171,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2158269473.34,12368358.4361,-2158883550.46,-2141595499.5,-2178662822.49,-2176215825.29,-2141755878.65,10.0,152976290403000.0,0.00291533865196,162,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2174999963.67,21924505.5202,-2184047569.11,-2125568493.34,-2197013703.9,-2195089409.6,-2140835415.99,10.0,480683942306000.0,0.0014582536439,153,0.14285902256,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2189291933.56,13467529.4563,-2192065420.01,-2160236528.45,-2206646244.67,-2204010259.6,-2168392943.13,10.0,181374349656000.0,0.00291533865196,170,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2192472399.02,11909471.4445,-2193876758.58,-2170467807.03,-2206416915.77,-2205877667.39,-2172852257.19,10.0,141835510088000.0,0.00291533865196,179,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2224323252.26,24676963.7957,-2229274922.37,-2176979756.32,-2260294462.55,-2251960181.88,-2187509351.51,10.0,608952542174000.0,0.00291515964308,203,0.142851127809,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2226158904.87,10086823.5333,-2226478767.54,-2212528533.64,-2247149271.6,-2240416327.76,-2213161817.61,10.0,101744008991000.0,0.00145826259799,161,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2229727961.77,18129157.1463,-2235131788.56,-2196565728.5,-2252340929.22,-2249130285.34,-2200198082.72,10.0,328666338834000.0,0.00291533865196,178,0.142859899754,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2237930583.76,13811061.7469,-2234633438.52,-2217587418.33,-2259689310.77,-2258206847.56,-2220980469.51,10.0,190745426576000.0,0.00145766932598,187,0.0714299498771,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2251242974.86,26460436.3802,-2247715649.93,-2201734497.87,-2281166941.45,-2280609423.9,-2215858394.55,10.0,700154693430000.0,0.00291532075107,211,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2255416669.94,15469105.0041,-2251516898.8,-2237144458.28,-2288582789.83,-2279729847.36,-2238796264.09,10.0,239293209629000.0,0.000729041758125,129,0.0714211779319,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2266837268.36,12731316.1754,-2266775654.03,-2249101565.4,-2285976597.46,-2283655638.57,-2251274840.64,10.0,162086411557000.0,0.00145826259799,169,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2278036988.26,18109521.3064,-2277433891.45,-2248708965.16,-2299017833.51,-2298692463.32,-2254020628.14,10.0,327954761946000.0,0.00145766932598,186,0.0714299498771,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2281842132.56,27220626.5013,-2278348144.39,-2235117480.78,-2327874506.37,-2321658687.13,-2245371876.03,10.0,740962507124000.0,0.0014574903171,195,0.0714211779319,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2286479134.72,30299304.1926,-2284028632.69,-2240208135.92,-2338701716.12,-2328724812.83,-2242996812.59,10.0,918047834553000.0,0.00291532075107,219,0.14285902256,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2301139528.88,20175663.9951,-2307032740.35,-2274818041.36,-2327605823.43,-2324109162.29,-2274926523.19,10.0,407057417641000.0,0.00291515964308,202,0.142851127809,0.142857142857,9.43922884283e-14,0.142848837209
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2304090656.73,13678343.5697,-2306537696.32,-2278436609.72,-2321971729.11,-2319645833.86,-2280461103.07,10.0,187097082810000.0,0.00145826259799,177,0.142859899754,0.142857142857,9.43922884283e-14,0.0714534883721
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2308282358.98,29969071.0168,-2302256667.34,-2262655693.62,-2351791321.55,-2346329782.21,-2270315543.76,10.0,898145217611000.0,0.0014574903171,261,0.0714211779319,0.142857142857,9.43922884283e-14,0.142848837209
