smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,426871347.239,70535.161722,426871347.239,426921223.13,426821471.348,426826458.937,426916235.541,2.0,4975209039.15,101,0.055548424363,0.0003434304723,1.2866453778e-13,0.111106553709,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,390694514.822,165729.075046,390694514.822,390811702.974,390577326.669,390589045.484,390799984.159,2.0,27466126315.7,201,0.055548424363,0.000343447760809,1.2866453778e-13,0.111112146884,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,354321813.958,498525.216479,354321813.958,354674324.519,353969303.396,354004554.453,354639073.463,2.0,248527391466.0,301,0.055548424363,0.000343447760809,1.2866453778e-13,0.111112146884,0.0556451612903
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,332109851.454,141376.305291,332109851.454,332209819.598,332009883.31,332019880.125,332199822.784,2.0,19987259697.8,112,0.111128939092,0.00137411868928,1.2866453778e-13,0.111106553709,0.111290322581
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,317868452.618,141706.168271,317868452.618,317968654.01,317768251.225,317778271.365,317958633.871,2.0,20080638125.9,401,0.055548424363,0.000343449681755,1.2866453778e-13,0.111112768348,0.0556451612903
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,294026025.757,485266.37898,294026025.757,294369160.904,293682890.61,293717204.125,294334847.39,2.0,235483458568.0,212,0.111128939092,0.0013741878633,1.2866453778e-13,0.111112146884,0.111290322581
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,288416213.1,455922.355683,288416213.1,288738598.889,288093827.311,288126065.889,288706360.31,2.0,207865194411.0,2,0.111128939092,0.000343510457318,1.2866453778e-13,0.0555501695353,0.0556451612903
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,288196124.29,295706.418628,288196124.29,288405220.303,287987028.276,288007937.877,288384310.702,2.0,87442286017.8,102,0.111128939092,0.000687059344642,1.2866453778e-13,0.111106553709,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,446979.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,281126550.261,552675.779955,281126550.261,281517351.052,280735749.469,280774829.548,281478270.973,2.0,305450517749.0,501,0.055548424363,0.000343449681755,1.2866453778e-13,0.111112768348,0.0556451612903
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,258985107.221,342403.74293,258985107.221,259227223.23,258742991.213,258767202.813,259203011.629,2.0,117240323172.0,312,0.111128939092,0.0013741878633,1.2866453778e-13,0.111112146884,0.111290322581
