smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1376540034.39,2261868.17427,-1376712611.58,-1373709023.51,-1379025890.89,-1378789862.1,-1374048598.62,4.0,5116047637800.0,0.5,1.20542198438e-11,0.5,0.5,0.125,1
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1389336973.27,1202167.61106,-1389377730.95,-1387825338.97,-1390767092.23,-1390563455.13,-1388053430.68,4.0,1445206965080.0,0.5,1.20542198438e-11,0.5,0.5,0.125,3
720.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1690514728.06,1199168.13387,-1690850326.87,-1688793821.89,-1691564436.61,-1691474208.79,-1689085409.0,4.0,1438004213280.0,0.5,1.20542198438e-11,0.5,0.5,0.125,6
720.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1710357786.66,2181887.21491,-1710912315.82,-1707459577.72,-1712146937.29,-1712114206.92,-1707825025.58,4.0,4760631818580.0,0.5,1.20542198438e-11,0.5,0.5,0.125,8
720.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2020933694.45,6008130.82479,-2021896687.54,-2012790475.22,-2027150927.5,-2026491485.49,-2014027713.08,4.0,36097636007800.0,0.5,1.20542198438e-11,0.5,0.5,0.125,5
720.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2023085846.95,2644217.76213,-2023750543.02,-2019487761.36,-2025354540.39,-2025263896.94,-2019977222.44,4.0,6991887573580.0,0.5,1.20542198438e-11,0.5,0.5,0.125,7
720.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-407766906753000.0,3336344.8742,-407766906395000.0,-407766903366000.0,-407766910858000.0,-407766910421000.0,-407766903587000.0,4.0,11131197119600.0,0.5,1.20542198438e-11,0.5,0.5,0.125,2
720.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-407766922146000.0,2842106.58233,-407766923117000.0,-407766917993000.0,-407766924355000.0,-407766924219000.0,-407766918712000.0,4.0,8077569825300.0,0.5,1.20542198438e-11,0.5,0.5,0.125,4
