npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2152367104.59,1342687.56352,2152279243.28,2153938778.25,2150971153.54,2151062680.7,2153794534.31,4.0,1802809893230.0,0.125,0.249997082454,0.12464589235099999,8.47275451554e-14,0.0038951386784600002,6
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2130488791.7,498375.24694499996,2130283310.7,2131230306.04,2130158239.36,2130172783.48,2131092473.32,4.0,248377886767.0,0.125,0.250002387083,0.12464589235099999,8.47275451554e-14,0.00389522132849,11
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2103113851.94,2574393.58465,2103584393.41,2105330705.11,2099955915.82,2100273874.05,2105295071.77,4.0,6627502328680.0,0.125,0.250002917546,0.12464589235099999,8.47275451554e-14,0.0038952295934899994,16
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,2073162047.68,2756785.16175,2073858215.47,2075395851.75,2069535908.01,2069980465.88,2075368994.56,4.0,7599864428070.0,0.125,0.125001458773,0.12464589235099999,8.47275451554e-14,0.00194761479675,21
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2002442236.0,282451.750473,2002442644.5,2002785847.07,2002097807.91,2002144086.35,2002739813.74,4.0,79778991345.3,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634,27
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1987065275.76,2378382.88063,1986654370.54,1990148965.91,1984803396.05,1984930773.05,1989775045.78,4.0,5656705126870.0,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534,32
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1962760621.4,3347944.4509,1963596020.02,1965540375.53,1958310070.02,1958873115.38,1965478569.34,4.0,11208732046300.0,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003,37
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1935254805.74,2687039.30939,1935183587.99,1937920634.14,1932731412.86,1932795952.55,1937813363.79,4.0,7220180250210.0,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466,42
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1898479119.61,2606675.05237,1899114013.96,1900835723.31,1894852727.23,1895392773.75,1900676613.39,4.0,6794754828630.0,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331,47
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1844647484.78,2223058.94022,1845170986.0,1846697856.51,1841550110.63,1842019748.42,1846542319.45,4.0,4941991051680.0,0.25,0.249997082454,0.12464589235099999,8.47275451554e-14,0.00779027735693,31
