npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,820183877.734,89682.59810739999,820195153.959,820263781.751,820081421.2639999,820089611.729,820262357.022,4.0,8042968403.3,0.12498620562799999,0.25,1.04066742269e-12,53,0.00779080681749,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,800976652.0910001,109699.63176199999,800972187.2160001,801115178.767,800847055.1639999,800864893.3169999,801094661.6889999,4.0,12034009208.7,0.249990803752,0.25,1.04066742269e-12,58,0.0155827601005,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,781061398.146,305178.829949,781138795.5510001,781339270.256,780628731.224,780699423.5960001,781315016.327,4.0,93134118249.2,0.250009196248,0.25,1.04066742269e-12,63,0.0155839065661,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,761422868.5610001,68023.5137385,761406361.1880001,761518381.213,761360370.656,761365407.925,761503439.521,4.0,4627198421.34,0.250009196248,0.25,1.04066742269e-12,68,0.0155839065661,0.24933333333299998
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,741150924.866,123271.52696700001,741130116.915,741318564.5439999,741024901.0910001,741037804.768,741293176.0960001,4.0,15195869360.7,0.125004598124,0.25,1.04066742269e-12,73,0.007791953283060001,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,727779014.487,115603.428016,727739045.849,727942813.7260001,727695152.525,727695893.7839999,727918091.2839999,4.0,13364152569.1,0.12498620562799999,0.25,1.04066742269e-12,52,0.00779080681749,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,722488258.6980001,278557.198128,722446266.4,722866035.658,722194466.3330001,722230640.952,722804665.66,4.0,77594112628.7,0.249990803752,0.25,1.04066742269e-12,57,0.0155827601005,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,701719854.8410001,496620.201872,701489543.647,702463247.5669999,701437084.502,701441253.854,702320891.499,4.0,246631624908.0,0.250009196248,0.25,1.04066742269e-12,62,0.0155839065661,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,680390831.582,307839.700253,680378818.9319999,680725431.872,680080256.592,680095878.949,680702601.925,4.0,94765281052.1,0.250009196248,0.25,1.04066742269e-12,67,0.0155839065661,0.24933333333299998
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,659289021.324,533577.309424,659424752.1869999,659739198.8759999,658567382.045,658663495.09,659724524.349,4.0,284704745133.0,0.125004598124,0.25,1.04066742269e-12,72,0.007791953283060001,0.24933333333299998
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,639966193.415,572218.944133,640036585.011,640507024.026,639284579.611,639348165.505,640485673.089,4.0,327434520025.0,0.249990803752,0.25,1.04066742269e-12,56,0.00783304518423,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,635626306.441,43344.9349439,635627811.785,635668522.054,635581080.14,635583584.588,635666920.8130001,4.0,1878783385.29,0.12498620562799999,0.25,1.04066742269e-12,51,0.00391623444301,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,618266945.037,351886.784928,618244565.858,618649231.1830001,617929417.2490001,617941446.95,618623773.974,4.0,123824309407.0,0.250009196248,0.25,1.04066742269e-12,61,0.00783362148244,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,596926060.225,392696.699195,596966505.748,597328319.907,596442909.4990001,596494592.456,597300904.263,4.0,154210697558.0,0.250009196248,0.25,1.04066742269e-12,66,0.00783362148244,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,586596275.377,269485.49410999997,586646680.202,586826567.434,586265173.6669999,586298653.357,586823330.64,4.0,72622431535.7,0.12498620562799999,0.25,1.04066742269e-12,79,0.00783246888603,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,575083379.697,410658.50150300004,575141837.954,575515204.98,574534637.902,574614345.651,575470572.185,4.0,168640404856.0,0.125004598124,0.25,1.04066742269e-12,71,0.00391681074122,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,567036234.4580001,456317.167624,566957293.484,567641919.546,566588431.3169999,566621303.023,567561683.257,4.0,208225357469.0,0.249990803752,0.25,1.04066742269e-12,84,0.015666090368500002,0.250666666667
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,547412750.288,173398.399457,547411560.712,547597214.141,547230665.588,547241708.403,547585457.58,4.0,30067004934.4,0.250009196248,0.25,1.04066742269e-12,89,0.015667242964899998,0.250666666667
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,526922359.167,462103.694926,526821315.39,527539585.731,526507220.15800005,526526902.326,527459277.296,4.0,213539824864.0,0.250009196248,0.25,1.04066742269e-12,94,0.015667242964899998,0.250666666667
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,506267560.15699995,159459.308471,506245040.24,506482304.264,506097855.885,506117940.884,506448707.314,4.0,25427271057.9,0.125004598124,0.25,1.04066742269e-12,99,0.00783362148244,0.250666666667
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,491747987.14199996,299958.138813,491762185.124,492047502.76699996,491420075.55300003,491442875.046,492033222.063,4.0,89974885040.5,0.12498620562799999,0.25,1.04066742269e-12,78,0.00779080681749,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,484795366.73800004,403143.180835,484798024.748,485269451.32,484315966.13699996,484369013.499,485217998.764,4.0,162524424254.0,0.249990803752,0.25,1.04066742269e-12,83,0.0155827601005,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,463772997.331,354051.75503299996,463808099.15199995,464142868.296,463332922.72400004,463382173.316,464114678.796,4.0,125352645242.0,0.250009196248,0.25,1.04066742269e-12,88,0.0155839065661,0.24933333333299998
