smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-61676699.9645,1261908.4846,-61676699.9645,-60784395.9178,-62569004.0112,-62479773.6065,-60873626.3224,2.0,1592413023510.0,0.25,0.250003495741,0.00782678820604,77,0.125226860254,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-75308518.3487,638967.521155,-75308518.3487,-74856700.0815,-75760336.6158,-75715154.7891,-74901881.9082,2.0,408279493091.0,0.125018050542,0.124995105963,0.00195687562387,25,0.125226860254,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-96180022.9791,4292403.44125,-96180022.9791,-93144835.3982,-99215210.56,-98911691.8019,-93448354.1563,2.0,18424727302500.0,0.249963898917,0.250003495741,0.0155946083013,88,0.249546279492,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-124681501.28,176818.009369,-124681501.28,-124556472.067,-124806530.494,-124794027.572,-124568974.988,2.0,31264608437.2,0.249963898917,0.250003495741,0.0156513159678,58,0.250453720508,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-134017807.156,1453413.09765,-134017807.156,-132990088.899,-135045525.414,-134942753.588,-133092860.725,2.0,2112409632420.0,0.25,0.250003495741,0.0155968605555,69,0.249546279492,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-135903331.797,1488710.56849,-135903331.797,-134850654.459,-136956009.135,-136850741.401,-134955922.193,2.0,2216259156730.0,0.25,0.125001398296,0.003913383159,102,0.125226860254,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-142933158.312,712945.705662,-142933158.312,-142429029.569,-143437287.055,-143386874.181,-142479442.443,2.0,508291579221.0,0.125018050542,0.249996504259,0.00391384975812,50,0.125226860254,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-150820386.435,6256412.16516,-150820386.435,-146396434.967,-155244337.903,-154801942.756,-146838830.114,2.0,39142693180300.0,0.25,0.124995105963,0.00779801591193,14,0.249546279492,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-166228862.901,198347.650408,-166228862.901,-166088609.932,-166369115.869,-166355090.573,-166102635.229,2.0,39341790422.4,0.249963898917,0.125001398296,0.00779728234506,113,0.249546279492,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-169953225.408,1181221.78232,-169953225.408,-169117975.476,-170788475.341,-170704950.347,-169201500.469,2.0,1395284899020.0,0.249963898917,0.249996504259,0.0078254391352,28,0.125226860254,1.83230531396e-13
