smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1619817983.86,417508.388151,-1619775952.19,-1619362594.44,-1620357436.6,-1620285590.83,-1619409221.22,4.0,174313254176.0,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,63,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1646897573.84,293813.311465,-1646911372.79,-1646602960.83,-1647164588.93,-1647160231.96,-1646615597.17,4.0,86326261994.1,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,68,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1674297350.11,199704.867173,-1674287092.98,-1674116285.31,-1674498929.17,-1674489906.6,-1674119153.61,4.0,39882033972.7,3.46688419418e-13,0.00779907001867,0.249546279492,0.250018051845,73,0.125002976198
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1709789092.61,338262.069992,-1709779794.56,-1709386533.92,-1710210247.41,-1710152101.44,-1709439101.06,4.0,114421227995.0,3.46688419418e-13,0.00779824473773,0.249546279492,0.250018051845,52,0.12498974865
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1716379541.03,662382.611789,-1716460911.22,-1715580353.28,-1717015988.38,-1716986731.36,-1715658432.42,4.0,438750724401.0,3.46688419418e-13,0.0155973147564,0.249546279492,0.250018051845,57,0.249992724848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1744839499.71,278214.345064,-1744887795.98,-1744458195.07,-1745124211.8,-1745092251.86,-1744519132.77,4.0,77403221799.5,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,62,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1773387975.66,145860.577983,-1773458556.45,-1773169383.51,-1773465406.23,-1773465354.38,-1773211783.84,4.0,21275308209.4,3.46688419418e-13,0.0155982225654,0.249546279492,0.250018051845,67,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1801503489.87,396723.494231,-1801519743.15,-1801016113.23,-1801958359.95,-1801910059.47,-1801074165.67,4.0,157389530875.0,3.46688419418e-13,0.00779907001867,0.249546279492,0.250018051845,72,0.125002976198
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1845270795.77,605138.990826,-1845193853.72,-1844713681.04,-1845981794.61,-1845918802.99,-1844730507.42,4.0,366193198218.0,3.46688419418e-13,0.0078270161323,0.125226860254,0.250018051845,56,0.249992724848
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1852226412.1,389830.038003,-1852351834.2,-1851677347.34,-1852524632.67,-1852518280.09,-1851758953.17,4.0,151967458529.0,3.46688419418e-13,0.00391330099566,0.125226860254,0.250018051845,51,0.12498974865
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1874836026.04,932338.263797,-1874610604.29,-1873973832.49,-1876149063.09,-1875939157.21,-1874048485.32,4.0,869254638140.0,3.46688419418e-13,0.00782747168739,0.125226860254,0.250018051845,61,0.250007275152
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1904454639.56,291910.219191,-1904418745.04,-1904163579.05,-1904817489.12,-1904777991.81,-1904181539.64,4.0,85211576068.1,3.46688419418e-13,0.00782747168739,0.125226860254,0.250018051845,66,0.250007275152
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1933858970.67,982804.772276,-1933655397.55,-1932905939.46,-1935219148.1,-1935009792.77,-1932993150.92,4.0,965905220409.0,3.46688419418e-13,0.00391371513664,0.125226860254,0.250018051845,71,0.125002976198
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2048357795.71,302299.079209,-2048364570.32,-2048006321.17,-2048695721.03,-2048666266.33,-2048039840.64,4.0,91384733290.8,3.46688419418e-13,0.00782547179608,0.250453720508,0.249981948155,79,0.12498974865
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2074702145.11,692249.295089,-2074586823.25,-2074010037.07,-2075624896.89,-2075499287.79,-2074066453.06,4.0,479209086551.0,3.46688419418e-13,0.0156517717545,0.250453720508,0.249981948155,84,0.249992724848
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2101270603.36,248895.808368,-2101297836.94,-2100941765.31,-2101544974.25,-2101511173.15,-2100991906.56,4.0,61949123423.1,3.46688419418e-13,0.0156526827331,0.250453720508,0.249981948155,89,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2129010975.15,184681.319109,-2128962536.33,-2128857885.61,-2129260942.31,-2129227658.59,-2128862106.04,4.0,34107189627.8,3.46688419418e-13,0.0156526827331,0.250453720508,0.249981948155,94,0.250007275152
