smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,656563967.024,6747262.70449,656563967.024,661335002.237,651792931.811,652270035.332,660857898.715,2.0,45525554003400.0,1.83804491715e-14,0.111128939092,0.0555548058612,2,0.0556451612903,0.000343539127373
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,585039373.764,158577.88355,585039373.764,585151505.26,584927242.267,584938455.416,585140292.111,2.0,25146945151.3,1.83804491715e-14,0.055548424363,0.111110410739,101,0.0556451612903,0.000343442394382
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,546772046.611,1146270.73211,546772046.611,547582582.418,545961510.803,546042564.384,547501528.838,2.0,1313936591300.0,1.83804491715e-14,0.111128939092,0.0555548058612,13,0.111290322581,0.000687078254746
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,481890177.111,941011.063519,481890177.111,482555572.415,481224781.807,481291321.337,482489032.885,2.0,885501821666.0,1.83804491715e-14,0.111128939092,0.111110410739,112,0.111290322581,0.00137416639139
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,476808554.343,1011640.72352,476808554.343,477523892.359,476093216.328,476164750.129,477452358.558,2.0,1023416953480.0,1.83804491715e-14,0.111096848726,0.0555548058612,24,0.111290322581,0.000686879849244
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,474004846.863,11137577.628,474004846.863,481880303.53,466129390.196,466916935.863,481092757.863,2.0,124045635421000.0,1.83804491715e-14,0.111128939092,0.0555548058612,3,0.0556451612903,0.000343539127373
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,471218148.736,1555073.13628,471218148.736,472317751.496,470118545.977,470228506.253,472207791.22,2.0,2418252459180.0,1.83804491715e-14,0.111128939092,0.111110410739,102,0.0556451612903,0.000687083195693
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,379626835.451,18978850.4324,379626835.451,393046909.291,366206761.612,367548768.996,391704901.907,2.0,360196763737000.0,1.83804491715e-14,0.111128939092,0.111110410739,123,0.111290322581,0.00137416639139
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,366771046.611,1596654.40702,366771046.611,367900051.769,365642041.452,365754941.968,367787151.253,2.0,2549305295460.0,1.83804491715e-14,0.111128939092,0.111110410739,113,0.111290322581,0.00137416639139
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,366501386.188,13401721.2713,366501386.188,375977834.178,357024938.197,357972582.996,375030189.379,2.0,179606133033000.0,1.83804491715e-14,0.111096848726,0.0555548058612,14,0.111290322581,0.000686879849244
