npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2951884506.28,62004342.194,2931005524.56,3068894352.51,2877386207.16,2888284165.11,3048110552.77,10.0,3844538450910000.0,55,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-385.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2936677396.99,71039620.0142,2939781515.77,3031705396.37,2832963401.68,2843003960.27,3022021419.09,10.0,5046627611760000.0,67,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,924208.0,ref,south_texas_project,west_south_central,covid,2911624220.05,31654525.1599,2907659508.25,2968903330.61,2861294635.95,2868985305.19,2957793829.56,10.0,1002008963100000.0,11,5.9062379305600004e-15,0.0555555555556,0.111110623539,0.00034293402326900004,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,2900288045.38,37267239.1439,2907433828.85,2945195344.48,2838046781.32,2844467342.49,2944275501.91,10.0,1388847113410000.0,21,5.9062379305600004e-15,0.0555555555556,0.11111122465500001,0.00034293587856599995,0.0555555555556
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,2889296727.87,59122701.9786,2892513988.21,2991903208.22,2800074000.6,2814794284.2,2969809544.78,10.0,3495493889250000.0,32,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,924208.0,ref,south_texas_project,west_south_central,covid,2885603625.55,31041767.5555,2897436108.94,2918668752.52,2824918856.23,2836008864.26,2916013245.17,10.0,963591332971000.0,12,5.9062379305600004e-15,0.111111111111,0.111110623539,0.0006858680465369999,0.0555555555556
1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,2881039955.65,32357963.4754,2876381143.47,2931311674.06,2831235990.8,2836201960.74,2929220330.07,10.0,1047037800270000.0,43,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2876912351.41,71234792.1296,2883335730.18,3002039554.21,2759241115.9,2772581938.24,2977161802.77,10.0,5074395609750000.0,66,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,2847804117.39,46751277.8366,2830796006.87,2920340353.77,2783713455.57,2792950363.54,2913422688.6,10.0,2185681979350000.0,31,5.9062379305600004e-15,0.0555555555556,0.11111128476700001,0.00034293606409500004,0.0555555555556
1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2829599269.32,71527200.1146,2829118454.01,2919338539.84,2672522564.18,2722568576.18,2905794569.22,10.0,5116140356240000.0,54,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
