smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1643538785.66,558615.910747,-1643538785.66,-1643143784.56,-1643933786.76,-1643894286.65,-1643183284.67,2.0,312051735739.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,146,0.00291481851283
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1664393047.08,317202.548764,-1664393047.08,-1664168751.01,-1664617343.16,-1664594913.55,-1664191180.62,2.0,100617456942.0,0.142857142857,0.142822580645,0.142859494415,2.43433201164e-13,171,0.00291479452315
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1671362214.85,989007.196271,-1671362214.85,-1670662881.15,-1672061548.54,-1671991615.17,-1670732814.52,2.0,978135234276.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,154,0.00291481851283
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1685350160.06,483172.559929,-1685350160.06,-1685008505.47,-1685691814.65,-1685657649.19,-1685042670.93,2.0,233455722669.0,0.142857142857,0.0714516129032,0.142848912404,2.43433201164e-13,137,0.0014581121704
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1692977819.71,430944.943379,-1692977819.71,-1692673095.61,-1693282543.8,-1693252071.39,-1692703568.02,2.0,185713544224.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,179,0.00291481851283
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1700069675.98,363684.816732,-1700069675.98,-1699812511.98,-1700326839.98,-1700301123.58,-1699838228.38,2.0,132266645922.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,162,0.00291481851283
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1714197247.04,988015.7617,-1714197247.04,-1713498614.39,-1714895879.68,-1714826016.42,-1713568477.66,2.0,976175145367.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,145,0.00145823218654
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1720965050.28,800762.37467,-1720965050.28,-1720398825.77,-1721531274.78,-1721474652.33,-1720455448.22,2.0,641220380687.0,0.142857142857,0.142822580645,0.0714309229865,2.43433201164e-13,187,0.00145742125126
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1726269395.52,532710.192514,-1726269395.52,-1725892712.53,-1726646078.51,-1726608410.21,-1725930380.83,2.0,283780149209.0,0.142857142857,0.142822580645,0.142859494415,2.43433201164e-13,170,0.00291479452315
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1728398436.97,542911.273177,-1728398436.97,-1728014540.73,-1728782333.22,-1728743943.59,-1728052930.35,2.0,294752650543.0,0.142857142857,0.142903225806,0.071417989418,2.43433201164e-13,196,0.00145798015263
