smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-805967052.167,142235.764514,-805933892.847,-805843066.693,-806157356.28,-806132651.039,-805847876.342,4.0,20231012706.8,0.250007275152,0.249546279492,0.0155982225654,68,3.46688419418e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-837901533.856,210146.748483,-837804793.793,-837780278.985,-838216268.853,-838154824.702,-837783679.098,4.0,44161655898.2,0.12498974865,0.249546279492,0.00779824473773,52,3.46688419418e-13,0.250018051845
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-847729009.728,215313.664714,-847701479.706,-847524441.756,-847988637.744,-847963410.054,-847533151.433,4.0,46359974212.5,0.125002976198,0.249546279492,0.00779907001867,73,3.46688419418e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-856619829.387,180042.11864,-856596447.795,-856435596.443,-856850825.516,-856822647.582,-856449745.421,4.0,32415164484.2,0.249992724848,0.249546279492,0.0155973147564,57,3.46688419418e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-898219624.479,379173.753112,-898372879.235,-897655677.613,-898477061.834,-898462053.867,-897762638.433,4.0,143772735049.0,0.250007275152,0.249546279492,0.0155982225654,62,3.46688419418e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-940280626.312,81656.2380915,-940248144.701,-940226333.278,-940399882.568,-940379974.503,-940226752.377,4.0,6667741219.26,0.250007275152,0.249546279492,0.0155982225654,67,3.46688419418e-13,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-982636794.842,473785.848619,-982621259.467,-982084571.767,-983220088.667,-983147934.511,-982147404.697,4.0,224473030352.0,0.125002976198,0.249546279492,0.00779907001867,72,3.46688419418e-13,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-994788674.334,204239.400833,-994847391.947,-994511986.673,-994947926.768,-994946399.891,-994548744.118,4.0,41713732852.7,0.12498974865,0.125226860254,0.00391330099566,51,3.46688419418e-13,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-998415528.305,681969.799875,-998419409.259,-997600699.929,-999222594.774,-999132101.33,-997693521.945,4.0,465082807941.0,0.249992724848,0.125226860254,0.0078270161323,56,3.46688419418e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1014212373.7,428884.990628,-1014140566.93,-1013816383.62,-1014751977.31,-1014692704.34,-1013832572.53,4.0,183942335186.0,0.12498974865,0.250453720508,0.00782547179608,79,3.46688419418e-13,0.249981948155
