hours,price
1.0,14.18
2.0,13.4
3.0,13.48
4.0,14.2
5.0,15.13
6.0,16.83
7.0,15.68
8.0,16.68
9.0,17.82
10.0,19.11
11.0,20.24
12.0,21.24
13.0,21.97
14.0,21.72
15.0,21.68
16.0,20.97
17.0,21.24
18.0,25.6
19.0,30.57
20.0,22.91
21.0,21.51
22.0,19.93
23.0,19.73
24.0,18.53
25.0,17.51
26.0,16.38
27.0,15.9
28.0,16.83
29.0,16.99
30.0,17.74
31.0,17.28
32.0,19.61
33.0,20.3
34.0,21.66
35.0,23.56
36.0,24.88
37.0,26.57
38.0,25.94
39.0,24.13
40.0,24.27
41.0,24.96
42.0,33.25
43.0,37.48
44.0,32.16
45.0,28.78
46.0,23.64
47.0,20.18
48.0,18.78
49.0,19.91
50.0,18.93
51.0,17.45
52.0,16.22
53.0,15.61
54.0,14.22
55.0,14.73
56.0,21.6
57.0,20.68
58.0,21.15
59.0,20.3
60.0,19.98
61.0,19.51
62.0,18.75
63.0,18.89
64.0,18.01
65.0,19.64
66.0,24.27
67.0,29.73
68.0,23.85
69.0,22.7
70.0,21.24
71.0,18.71
72.0,18.21
73.0,16.54
74.0,16.84
75.0,15.65
76.0,16.14
77.0,18.0
78.0,18.81
79.0,24.1
80.0,31.51
81.0,29.14
82.0,31.02
83.0,31.7
84.0,30.31
85.0,29.37
86.0,29.51
87.0,27.99
88.0,26.68
89.0,28.63
90.0,40.29
91.0,48.21
92.0,40.7
93.0,41.0
94.0,36.45
95.0,30.63
96.0,27.83
97.0,27.72
98.0,23.53
99.0,23.74
100.0,23.78
101.0,24.15
102.0,26.2
103.0,31.35
104.0,43.08
105.0,39.37
106.0,36.43
107.0,35.14
108.0,33.15
109.0,31.04
110.0,31.1
111.0,29.2
112.0,25.59
113.0,28.71
114.0,36.75
115.0,46.64
116.0,43.32
117.0,37.41
118.0,32.7
119.0,28.78
120.0,29.5
121.0,27.9
122.0,26.18
123.0,25.23
124.0,26.03
125.0,26.86
126.0,31.42
127.0,37.39
128.0,55.2
129.0,53.76
130.0,51.38
131.0,49.49
132.0,43.9
133.0,38.42
134.0,38.12
135.0,35.33
136.0,33.94
137.0,45.7
138.0,57.22
139.0,73.1
140.0,62.19
141.0,54.63
142.0,44.37
143.0,36.9
144.0,34.05
145.0,42.42
146.0,35.33
147.0,33.52
148.0,33.82
149.0,34.9
150.0,35.55
151.0,35.54
152.0,46.14
153.0,49.72
154.0,53.3
155.0,53.24
156.0,48.28
157.0,41.2
158.0,37.25
159.0,32.83
160.0,31.34
161.0,32.12
162.0,44.49
163.0,58.95
164.0,57.74
165.0,51.69
166.0,44.19
167.0,41.13
168.0,40.58
169.0,35.37
170.0,31.17
171.0,26.57
172.0,25.08
173.0,22.74
174.0,22.37
175.0,20.83
176.0,22.83
177.0,23.16
178.0,21.91
179.0,21.36
180.0,20.33
181.0,20.39
182.0,19.0
183.0,19.16
184.0,18.86
185.0,19.4
186.0,22.74
187.0,32.14
188.0,24.74
189.0,24.17
190.0,23.42
191.0,22.09
192.0,21.97
193.0,22.1
194.0,21.72
195.0,22.91
196.0,24.18
197.0,24.96
198.0,28.44
199.0,36.68
200.0,62.81
201.0,58.32
202.0,49.5
203.0,45.8
204.0,41.06
205.0,39.28
206.0,33.79
207.0,33.21
208.0,29.3
209.0,27.03
210.0,36.54
211.0,48.93
212.0,38.24
213.0,32.82
214.0,27.76
215.0,26.53
216.0,25.55
217.0,22.3
218.0,20.4
219.0,20.33
220.0,19.8
221.0,20.32
222.0,20.06
223.0,22.35
224.0,31.82
225.0,30.65
226.0,27.78
227.0,25.88
228.0,24.28
229.0,21.97
230.0,20.55
231.0,19.53
232.0,18.71
233.0,19.52
234.0,29.59
235.0,37.78
236.0,36.96
237.0,36.05
238.0,30.53
239.0,27.4
240.0,24.24
241.0,23.04
242.0,21.63
243.0,20.62
244.0,19.7
245.0,19.05
246.0,19.8
247.0,21.9
248.0,34.67
249.0,36.06
250.0,34.06
251.0,30.14
252.0,27.64
253.0,25.23
254.0,23.66
255.0,23.14
256.0,22.43
257.0,23.78
258.0,35.44
259.0,44.78
260.0,42.91
261.0,38.29
262.0,31.02
263.0,25.05
264.0,23.81
265.0,20.18
266.0,19.83
267.0,19.86
268.0,19.96
269.0,20.26
270.0,20.89
271.0,25.53
272.0,37.53
273.0,36.08
274.0,32.72
275.0,29.93
276.0,27.79
277.0,26.56
278.0,24.15
279.0,24.88
280.0,24.64
281.0,25.62
282.0,33.44
283.0,40.7
284.0,39.44
285.0,36.46
286.0,31.22
287.0,28.55
288.0,25.92
289.0,24.5
290.0,23.98
291.0,23.85
292.0,24.05
293.0,25.44
294.0,26.28
295.0,35.28
296.0,54.07
297.0,53.85
298.0,46.77
299.0,42.7
300.0,37.0
301.0,31.99
302.0,31.32
303.0,28.97
304.0,28.87
305.0,29.75
306.0,38.29
307.0,41.07
308.0,36.07
309.0,35.27
310.0,30.19
311.0,26.94
312.0,24.7
313.0,23.81
314.0,22.8
315.0,22.84
316.0,22.42
317.0,22.68
318.0,23.39
319.0,27.15
320.0,33.99
321.0,39.41
322.0,42.58
323.0,42.42
324.0,37.83
325.0,32.41
326.0,29.62
327.0,26.76
328.0,26.57
329.0,27.38
330.0,36.17
331.0,46.85
332.0,41.51
333.0,36.81
334.0,32.7
335.0,28.87
336.0,27.44
337.0,22.45
338.0,22.86
339.0,21.11
340.0,22.12
341.0,21.92
342.0,21.74
343.0,22.49
344.0,24.2
345.0,25.55
346.0,27.03
347.0,27.88
348.0,27.34
349.0,27.11
350.0,25.47
351.0,24.72
352.0,24.0
353.0,24.98
354.0,32.32
355.0,39.03
356.0,33.93
357.0,32.11
358.0,27.45
359.0,24.84
360.0,23.03
361.0,21.65
362.0,20.98
363.0,20.63
364.0,20.71
365.0,20.91
366.0,21.54
367.0,24.56
368.0,33.62
