smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,745799657.058,390124.921668,745799657.058,746075517.035,745523797.08,745551383.078,746047931.038,2.0,152197454507.0,1,0.0999985085,0.1,0.0999993581762,3.6761913905299995e-14,0.000999978666857
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,563193.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,508020175.544,534579.385205,508020175.544,508398180.252,507642170.836,507679971.306,508360379.781,2.0,285775119086.0,37,0.199998970155,0.1,0.0999993581762,3.6761913905299995e-14,0.00199997686514
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,324685548.645,4556344.63286,324685548.645,327907370.832,321463726.458,321785908.676,327585188.614,2.0,20760276413400.0,2,0.0999985085,0.1,0.199998716352,3.6761913905299995e-14,0.00199995733371
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1126387.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,273719314.239,881055.128079,273719314.239,274342314.295,273096314.183,273158614.189,274280014.289,2.0,776258138714.0,73,0.20000074575,0.1,0.0999993581762,3.6761913905299995e-14,0.00199999462098
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,563193.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,234607173.593,1932573.14623,234607173.593,235973709.17,233240638.017,233377291.574,235837055.613,2.0,3734838965520.0,44,0.199998970155,0.2,0.199998716352,3.6761913905299995e-14,0.00799990746055
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,563193.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,148265120.955,1381425.09358,148265120.955,149241936.006,147288305.903,147385987.408,149144254.501,2.0,1908335289170.0,38,0.199998970155,0.1,0.199998716352,3.6761913905299995e-14,0.00399995373027
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,82491356.6346,594468.307838,82491356.6346,82911709.2063,82071004.063,82113039.3201,82869673.9491,2.0,353392569024.0,8,0.0999985085,0.2,0.199998716352,3.6761913905299995e-14,0.00399991466743
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,42547411.7644,15880089.7041,42547411.7644,53776330.8801,31318492.6488,32441384.5604,52653438.9685,2.0,252177249011000.0,9,0.0999985085,0.2,0.199998716352,3.6761913905299995e-14,0.00399991466743
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1689580.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,36214209.3156,885310.312123,36214209.3156,36840218.2407,35588200.3904,35650801.2829,36777617.3482,2.0,783774348752.0,109,0.20000074575,0.1,0.0999993581762,3.6761913905299995e-14,0.00199999462098
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,1126387.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3581665.21373,2879214.62634,-3581665.21373,-1545753.02695,-5617577.4005,-5413986.18182,-1749344.24563,2.0,8289876864510.0,80,0.20000074575,0.2,0.199998716352,3.6761913905299995e-14,0.0079999784839
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,563193.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-35009724.0876,5667153.97561,-35009724.0876,-31002441.0814,-39017007.0938,-38616278.7931,-31403169.382,2.0,32116634183300.0,51,0.199998970155,0.2,0.199998716352,3.6761913905299995e-14,0.00799990746055
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,1126387.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-91423769.8273,2209373.33561,-91423769.8273,-89861506.9595,-92986032.695,-92829806.4083,-90017733.2463,2.0,4881330536100.0,74,0.20000074575,0.1,0.199998716352,3.6761913905299995e-14,0.00399998924195
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-99857977.2091,14588969.3533,-99857977.2091,-89542018.0489,-110173936.369,-109142340.453,-90573613.9649,2.0,212838026792000.0,3,0.0999985085,0.1,0.199998716352,3.6761913905299995e-14,0.00199995733371
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,563193.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-144279560.897,18357528.8575,-144279560.897,-131298827.756,-157260294.038,-155962220.724,-132596901.07,2.0,336998865752000.0,45,0.199998970155,0.2,0.199998716352,3.6761913905299995e-14,0.00799990746055
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,2252774.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-199664646.383,637815.628878,-199664646.383,-199213642.627,-200115650.14,-200070549.764,-199258743.003,2.0,406808776441.0,145,0.20000074575,0.1,0.0999993581762,3.6761913905299995e-14,0.00199999462098
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-208273577.908,6802692.53526,-208273577.908,-203463347.886,-213083807.93,-212602784.928,-203944370.888,2.0,46276625729300.0,16,0.0999985085,0.2,0.200001925471,3.6761913905299995e-14,0.00399997884885
