smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,708139912.682,20449.8697122,708139912.682,708154372.924,708125452.44,708126898.465,708152926.899,2.0,418197171.246,0.0833064516129,0.00115704112867,0.166665546899,8,0.0833344030397,3.47754823353e-14
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,695783146.392,878118.747237,695783146.392,696404070.113,695162222.671,695224315.044,696341977.741,2.0,771092534250.0,0.166693548387,0.00231518133658,0.0833320176068,51,0.166668806079,3.47754823353e-14
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,576016364.61,683812.902569,576016364.61,576499893.351,575532835.87,575581188.744,576451540.477,2.0,467600085720.0,0.0833064516129,0.0011570306341,0.0833320176068,50,0.166668806079,3.47754823353e-14
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,499332461.266,1784083.03168,499332461.266,500593998.476,498070924.056,498197077.777,500467844.755,2.0,3182952263920.0,0.0833064516129,0.0011570527893,0.16666722655,15,0.0833344030397,3.47754823353e-14
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,472090900.841,5983605.65341,472090900.841,476321948.975,467859852.708,468282957.521,475898844.162,2.0,35803536615500.0,0.166693548387,0.00463040467174,0.166665546899,58,0.166668806079,3.47754823353e-14
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,414830178.149,9713794.94189,414830178.149,421698868.424,407961487.875,408648356.902,421011999.396,2.0,94357812173100.0,0.0833064516129,0.00231408225733,0.166665546899,57,0.166668806079,3.47754823353e-14
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,354402514.033,4141644.87882,354402514.033,357331099.212,351473928.854,351766787.372,357038240.694,2.0,17153222302300.0,0.166693548387,0.00231513675899,0.0833320176068,100,0.16666559696,3.47754823353e-14
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1488410.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,291238588.775,1728223.69075,291238588.775,292460627.466,290016550.084,290138753.953,292338423.597,2.0,2986757125280.0,0.0833064516129,0.0011570527893,0.16666722655,22,0.0833344030397,3.47754823353e-14
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,270978105.415,712283.082234,270978105.415,271481765.613,270474445.218,270524811.238,271431399.593,2.0,507347189237.0,0.166693548387,0.00463045133683,0.16666722655,65,0.166668806079,3.47754823353e-14
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,268484694.418,2220077.50825,268484694.418,270054526.278,266914862.557,267071845.743,269897543.092,2.0,4928744142630.0,0.166693548387,0.00463031551576,0.166665546899,108,0.16666559696,3.47754823353e-14
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,234040279.073,5123920.06586,234040279.073,237663437.698,230417120.448,230779436.311,237301121.836,2.0,26254556841300.0,0.0833064516129,0.00115700835609,0.0833320176068,99,0.16666559696,3.47754823353e-14
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,209691936.79,3422044.60059,209691936.79,212111687.732,207272185.847,207514160.941,211869712.638,2.0,11710389248400.0,0.0833064516129,0.00231410557859,0.16666722655,64,0.166668806079,3.47754823353e-14
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,191430194.774,14495566.4436,191430194.774,201680108.103,181180281.444,182205272.777,200655116.77,2.0,210121446520000.0,0.166693548387,0.00463031551576,0.166665546899,107,0.16666559696,3.47754823353e-14
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,137537367.948,712032.863546,137537367.948,138040851.214,137033884.681,137084233.008,137990502.887,2.0,506990798770.0,0.166693548387,0.00231513675899,0.0833320176068,150,0.16666559696,3.47754823353e-14
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,496137.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,98691197.7314,3042268.39675,98691197.7314,100842406.345,96539989.1179,96755109.9792,100627285.484,2.0,9255396997880.0,0.0833064516129,0.00231403770091,0.166665546899,106,0.16666559696,3.47754823353e-14
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,81283276.3196,4862988.04806,81283276.3196,84721928.1452,77844624.494,78188489.6765,84378062.9626,2.0,23648652755600.0,0.0833064516129,0.0011570527893,0.16666722655,29,0.0833344030397,3.47754823353e-14
