smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,344384662.567,1595889.69564,344384662.567,345513126.993,343256198.141,343369044.584,345400280.55,2.0,2546863920640.0,0.111290322581,0.111103979461,0.00137387033564,223,0.111111428379,3.4776821570799994e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,332403452.86,1964151.19666,332403452.86,333792317.49,331014588.229,331153474.692,333653431.027,2.0,3857889923350.0,0.110483870968,0.111136071887,0.000682134767588,405,0.0555541185209,3.4776821570799994e-14
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,328702395.511,17740314.2004,328702395.511,341246691.982,316158099.039,317412528.686,339992262.335,2.0,314718747928000.0,0.110483870968,0.111136071887,0.00136428809678,314,0.111109748728,3.4776821570799994e-14
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,317338848.34,2045584.18079,317338848.34,318785294.786,315892401.895,316037046.539,318640650.142,2.0,4184414640710.0,0.111290322581,0.111136071887,0.000687113853483,302,0.0555541185209,3.4776821570799994e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,302270905.281,3869932.83289,302270905.281,305007361.03,299534449.532,299808095.107,304733715.455,2.0,14976380131100.0,0.0556451612903,0.111103979461,0.000686936206245,131,0.111111596344,3.4776821570799994e-14
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,287764273.429,13557379.4362,287764273.429,297350788.364,278177758.495,279136409.988,296392136.87,2.0,183802537178000.0,0.111290322581,0.111103979461,0.00137387033564,222,0.111111428379,3.4776821570799994e-14
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,277229746.313,1743863.14808,277229746.313,278462843.771,275996648.856,276119958.602,278339534.025,2.0,3041058679220.0,0.111290322581,0.111136071887,0.00137424640405,313,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,250817464.346,557435.728473,250817464.346,251211630.93,250423297.762,250462714.421,251172214.271,2.0,310734591378.0,0.0556451612903,0.111103979461,0.000686935167818,221,0.111111428379,3.4776821570799994e-14
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,249488196.756,7304673.42908,249488196.756,254653380.872,244323012.64,244839531.051,254136862.46,2.0,53358253905500.0,0.110483870968,0.111136071887,0.000682134767588,404,0.0555541185209,3.4776821570799994e-14
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,234021138.899,5913693.72497,234021138.899,238202751.834,229839525.964,230257687.258,237784590.541,2.0,34971773472700.0,0.0556451612903,0.111136071887,0.000343556926741,301,0.0555541185209,3.4776821570799994e-14
