cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-593795729.871,0.0,0.0,0.0,0.0,0.0,-610418743.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-22954522.7343,29056357.8915,-27106080.0,-19174130.0186,-24972504.3,0.0,-23597123.0774,29869776.0473,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2390932.36063,6021081.02548,32609088.691,136217384.415,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-42683101.5807,54029242.5073,-27106080.0,-19174143.5622,-24972504.3,0.0,-43877993.5868,55541764.034,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2709951.89559,6021081.02548,32609088.691,136217384.415,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-37595215.72,47588880.6582,-27106080.0,-19174149.8616,-24972504.3,0.0,-38647674.915,48921107.4873,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,3487151.50469,5732069.13625,34062997.104,130890447.595,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-33135329.4718,41943455.0275,-27106080.0,-19174163.4052,-24972504.3,0.0,-34062936.3897,43117640.9996,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2504886.82094,4961370.76499,31155180.278,123280537.851,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-29185551.5018,36943736.0783,-27106080.0,-19174162.8802,-24972504.3,0.0,-30002586.3679,37977957.4277,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2063994.58437,4913202.11679,34270698.3058,129368465.646,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-25677741.2376,32503469.921,-27106080.0,-19174149.9665,-24972504.3,0.0,-26396576.7159,33413388.248,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2137307.65413,4816864.82038,34270698.3058,127846483.697,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-23798790.4299,30125051.1771,-27106080.0,-19174149.1266,-24972504.3,0.0,-24465025.6234,30968386.8651,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2618995.1498,4865033.46859,34478399.5077,127085492.723,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-23291045.6351,29482336.247,-27106080.0,-19174132.4334,-24972504.3,0.0,-23943066.7679,30307679.453,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,1912082.25732,4961370.76499,35101503.1132,127085492.723,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-22832767.6489,28902237.5302,-27106080.0,-19174139.6776,-24972504.3,0.0,-23471959.5194,29711341.1639,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,1493751.60728,5009539.4132,35932307.9206,128607474.671,0.0,-192.261130388,243.368519478,0.0,0.0
