smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-319548723.834,404559.66592,-319548723.834,-319262656.951,-319834790.717,-319806184.029,-319291263.639,2.0,163668523289.0,8,3.66466187075e-13,0.250453720508,0.12498986221,0.249963898917,0.00782491388941
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-335631019.983,279576.080046,-335631019.983,-335433329.841,-335828710.125,-335808941.111,-335453098.855,2.0,78162784534.1,33,3.66466187075e-13,0.250453720508,0.249993707579,0.249963898917,0.0156507031859
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-375361803.704,1265.79568801,-375361803.704,-375360908.652,-375362698.757,-375362609.252,-375360998.157,2.0,1602238.72378,58,3.66466187075e-13,0.250453720508,0.250006292421,0.249963898917,0.0156514910523
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-414380504.87,485163.608667,-414380504.87,-414037442.392,-414723567.348,-414689261.1,-414071748.64,2.0,235383727174.0,83,3.66466187075e-13,0.250453720508,0.250006292421,0.249963898917,0.0156514910523
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-454396423.802,241407.597508,-454396423.802,-454225722.853,-454567124.751,-454550054.656,-454242792.948,2.0,58277628134.7,108,3.66466187075e-13,0.250453720508,0.125003845369,0.249963898917,0.00782578929651
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-478613497.36,139716.163205,-478613497.36,-478514703.114,-478712291.607,-478702412.182,-478524582.539,2.0,19520606260.8,3,3.66466187075e-13,0.125226860254,0.12498986221,0.249963898917,0.00391245694471
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-479436518.353,890481.661335,-479436518.353,-478806852.732,-480066183.974,-480003217.412,-478869819.294,2.0,792957589174.0,28,3.66466187075e-13,0.125226860254,0.249993707579,0.249963898917,0.00782535159296
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-519543530.355,874045.183717,-519543530.355,-518925487.078,-520161573.631,-520099769.304,-518987291.406,2.0,763954983179.0,53,3.66466187075e-13,0.125226860254,0.250006292421,0.249963898917,0.00782574552616
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-559279610.335,1207406.66592,-559279610.335,-558425844.894,-560133375.776,-560047999.232,-558511221.438,2.0,1457830856910.0,78,3.66466187075e-13,0.125226860254,0.250006292421,0.249963898917,0.00782574552616
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-599390861.006,1222896.19597,-599390861.006,-598526142.813,-600255579.198,-600169107.379,-598612614.632,2.0,1495475106130.0,103,3.66466187075e-13,0.125226860254,0.125003845369,0.249963898917,0.00391289464826
