smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,615815964.767,17065.1603112,615815964.767,615828031.657,615803897.876,615805104.565,615826824.968,2.0,291219696.447,0.249993707579,0.00391380597435,0.125226860254,0.125018050542,3.66466187075e-13,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,576216300.861,81720.3243341,576216300.861,576274085.857,576158515.866,576164294.365,576268307.357,2.0,6678211409.27,0.250006292421,0.00391400299785,0.125226860254,0.125018050542,3.66466187075e-13,51
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,536674685.87,63025.9572973,536674685.87,536719251.952,536630119.788,536634576.396,536714795.343,2.0,3972271293.24,0.250006292421,0.00391400299785,0.125226860254,0.125018050542,3.66466187075e-13,76
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,497070039.135,5228.18981693,497070039.135,497073736.023,497066342.246,497066711.935,497073366.334,2.0,27333968.7619,0.125003845369,0.00195701244467,0.125226860254,0.125018050542,3.66466187075e-13,101
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,167096430.338,211602.81901,167096430.338,167246056.126,166946804.55,166961767.129,167231093.548,2.0,44775753012.8,0.249993707579,0.0156529635417,0.250453720508,0.25,3.66466187075e-13,32
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,127439022.225,23379.7248108,127439022.225,127455554.187,127422490.263,127424143.459,127453900.991,2.0,546611532.228,0.250006292421,0.0156537515218,0.250453720508,0.25,3.66466187075e-13,57
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,87788967.4949,58501.4009668,87788967.4949,87830334.2322,87747600.7576,87751737.4313,87826197.5585,2.0,3422413915.08,0.250006292421,0.0156537515218,0.250453720508,0.25,3.66466187075e-13,82
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,48217206.5495,305636.016461,48217206.5495,48433323.8493,48001089.2497,48022700.9797,48411712.1194,2.0,93413374557.9,0.125003845369,0.0078269195376,0.250453720508,0.25,3.66466187075e-13,107
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,47992697.92,223695.108268,47992697.92,48150874.248,47834521.5921,47850339.2249,48135056.6152,2.0,50039501463.0,0.12498986221,0.00391302200204,0.125226860254,0.25,3.66466187075e-13,2
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,33749616.8952,287611.688956,33749616.8952,33952989.0708,33546244.7196,33566581.9372,33932651.8533,2.0,82720483624.0,0.249993707579,0.00782648177084,0.125226860254,0.25,3.66466187075e-13,27
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-5556051.82545,605876.058843,-5556051.82545,-5127632.75568,-5984470.89521,-5941628.98824,-5170474.66266,2.0,367085798679.0,0.250006292421,0.00782687576092,0.125226860254,0.25,3.66466187075e-13,52
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-45228498.4029,369652.11497,-45228498.4029,-44967114.8857,-45489881.9201,-45463743.5684,-44993253.2375,2.0,136642686102.0,0.250006292421,0.00782687576092,0.125226860254,0.25,3.66466187075e-13,77
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-84992920.9564,157189.86486,-84992920.9564,-84881770.9371,-85104070.9758,-85092955.9739,-84892885.939,2.0,24708653614.6,0.125003845369,0.0039134597688,0.125226860254,0.25,3.66466187075e-13,102
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-272641138.914,190906.675492,-272641138.914,-272506147.51,-272776130.319,-272762631.179,-272519646.65,2.0,36445358747.5,0.249993707579,0.0155939977396,0.249546279492,0.249963898917,3.66466187075e-13,38
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-312088679.608,599371.592421,-312088679.608,-311664859.891,-312512499.326,-312470117.354,-311707241.863,2.0,359246305801.0,0.250006292421,0.0155947827514,0.249546279492,0.249963898917,3.66466187075e-13,63
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-351549200.581,76611.3723346,-351549200.581,-351495028.16,-351603373.002,-351597955.76,-351500445.402,2.0,5869302370.99,0.250006292421,0.0155947827514,0.249546279492,0.249963898917,3.66466187075e-13,88
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-391007474.453,36756.4954987,-391007474.453,-390981483.686,-391033465.22,-391030866.144,-390984082.763,2.0,1351039961.35,0.125003845369,0.00779743498747,0.249546279492,0.249963898917,3.66466187075e-13,113
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393671095.678,398955.057368,-393671095.678,-393388991.852,-393953199.505,-393924989.122,-393417202.235,2.0,159165137800.0,0.12498986221,0.00782491388941,0.250453720508,0.249963898917,3.66466187075e-13,8
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-409613165.066,675042.136278,-409613165.066,-409135838.193,-410090491.938,-410042759.251,-409183570.881,2.0,455681885751.0,0.249993707579,0.0156507031859,0.250453720508,0.249963898917,3.66466187075e-13,33
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-448866860.271,457916.989425,-448866860.271,-448543064.062,-449190656.479,-449158276.858,-448575443.683,2.0,209687969204.0,0.250006292421,0.0156514910523,0.250453720508,0.249963898917,3.66466187075e-13,58
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489868583.218,61871.9211542,-489868583.218,-489824833.163,-489912333.273,-489907958.267,-489829208.168,2.0,3828134627.31,0.250006292421,0.0156514910523,0.250453720508,0.249963898917,3.66466187075e-13,83
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-528434083.589,124589.541864,-528434083.589,-528345985.479,-528522181.699,-528513371.888,-528354795.29,2.0,15522553941.8,0.125003845369,0.00782578929651,0.250453720508,0.249963898917,3.66466187075e-13,108
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-552653386.564,356419.792877,-552653386.564,-552401359.712,-552905413.417,-552880210.731,-552426562.397,2.0,127035068754.0,0.12498986221,0.00391245694471,0.125226860254,0.249963898917,3.66466187075e-13,3
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-553087153.873,301842.280713,-553087153.873,-552873719.149,-553300588.596,-553279245.124,-552895062.621,2.0,91108762426.2,0.249993707579,0.00782535159296,0.125226860254,0.249963898917,3.66466187075e-13,28
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-593625441.88,396447.843564,-593625441.88,-593345110.922,-593905772.839,-593877739.743,-593373144.017,2.0,157170892667.0,0.250006292421,0.00782574552616,0.125226860254,0.249963898917,3.66466187075e-13,53
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-632862082.954,843802.043507,-632862082.954,-632265424.807,-633458741.101,-633399075.286,-632325090.622,2.0,712001888627.0,0.250006292421,0.00782574552616,0.125226860254,0.249963898917,3.66466187075e-13,78
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-659924559.667,76378.0615944,-659924559.667,-659870552.221,-659978567.112,-659973166.367,-659875952.966,2.0,5833608292.92,0.12498986221,0.00779768877217,0.249546279492,0.25,3.66466187075e-13,19
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-673913543.852,710463.664181,-673913543.852,-673411170.177,-674415917.527,-674365680.159,-673461407.545,2.0,504758618121.0,0.125003845369,0.00391289464826,0.125226860254,0.249963898917,3.66466187075e-13,103
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-699047502.032,108021.17641,-699047502.032,-698971119.525,-699123884.538,-699116246.287,-698978757.776,2.0,11668574553.1,0.249993707579,0.0155962499057,0.249546279492,0.25,3.66466187075e-13,44
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-738833595.954,175835.32426,-738833595.954,-738709261.604,-738957930.304,-738945496.869,-738721695.039,2.0,30918061257.7,0.250006292421,0.0155970350308,0.249546279492,0.25,3.66466187075e-13,69
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-778521477.769,56235.050285,-778521477.769,-778481713.583,-778561241.954,-778557265.536,-778485690.002,2.0,3162380880.56,0.250006292421,0.0155970350308,0.249546279492,0.25,3.66466187075e-13,94
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-817574025.643,701663.797296,-817574025.643,-817077874.414,-818070176.872,-818020561.749,-817127489.537,2.0,492332084436.0,0.125003845369,0.00779856113348,0.249546279492,0.25,3.66466187075e-13,119
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-822313813.132,84730.7459322,-822313813.132,-822253899.447,-822373726.817,-822367735.448,-822259890.815,2.0,7179299306.23,0.12498986221,0.00779768877217,0.249546279492,0.25,3.66466187075e-13,14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-840777744.655,716595.71428,-840777744.655,-840271034.966,-841284454.344,-841233783.375,-840321705.935,2.0,513509417725.0,0.249993707579,0.0155962499057,0.249546279492,0.25,3.66466187075e-13,39
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-880042114.525,410809.257959,-880042114.525,-879751628.512,-880332600.537,-880303551.935,-879780677.114,2.0,168764246425.0,0.250006292421,0.0155970350308,0.249546279492,0.25,3.66466187075e-13,64
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-920650355.741,608310.314299,-920650355.741,-920220215.393,-921080496.089,-921037482.055,-920263229.428,2.0,370041438482.0,0.250006292421,0.0155970350308,0.249546279492,0.25,3.66466187075e-13,89
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-959866859.03,84099.1764907,-959866859.03,-959807391.932,-959926326.128,-959920379.418,-959813338.642,2.0,7072671486.42,0.125003845369,0.00779856113348,0.249546279492,0.25,3.66466187075e-13,114
