npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,625088663.803,707772.346753,625088663.803,625589134.429,624588193.178,624638240.24,625539087.367,2.0,500941694829.0,0.25,0.00391623444301,0.124986205628,0.125333333333,1.0406674226900002e-12,51
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,616709869.326,718004.871449,616709869.326,617217575.439,616202163.212,616252933.824,617166804.828,2.0,515530995424.0,0.25,0.0156660903685,0.249990803752,0.250666666667,1.0406674226900002e-12,84
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,605844090.209,371610.917946,605844090.209,606106858.809,605581321.609,605607598.469,606080581.949,2.0,138094674336.0,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,61
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,588979106.249,658049.026537,588979106.249,589444417.178,588513795.32,588560326.413,589397886.085,2.0,433028521326.0,0.25,0.0156672429649,0.250009196248,0.250666666667,1.0406674226900002e-12,89
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,576295494.475,1327918.70929,576295494.475,577234474.799,575356514.151,575450412.183,577140576.767,2.0,1763368098490.0,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,66
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558537869.145,868437.66532,558537869.145,559151947.307,557923790.983,557985198.799,559090539.491,2.0,754183978547.0,0.25,0.0156672429649,0.250009196248,0.250666666667,1.0406674226900002e-12,94
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,547787565.884,399783.473638,547787565.884,548070255.489,547504876.278,547533145.239,548041986.528,2.0,159826825794.0,0.25,0.00391681074122,0.125004598124,0.125333333333,1.0406674226900002e-12,71
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,545476918.689,894097.599091,545476918.689,546109141.164,544844696.213,544907918.461,546045918.917,2.0,799410516701.0,0.25,0.00779080681749,0.124986205628,0.249333333333,1.0406674226900002e-12,78
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,538624981.995,1229215.88976,538624981.995,539494168.886,537755795.104,537842713.793,539407250.197,2.0,1510971703640.0,0.25,0.0155827601005,0.249990803752,0.249333333333,1.0406674226900002e-12,83
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,528451137.339,1255214.44591,528451137.339,529338707.986,527563566.693,527652323.758,529249950.921,2.0,1575563305210.0,0.25,0.00783362148244,0.125004598124,0.250666666667,1.0406674226900002e-12,99
