npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1344365422.78,12616616.3667,1344365422.78,1353286717.77,1335444127.79,1336336257.29,1352394588.27,2.0,159179008544000.0,0.00391746643102,1.74117872884e-13,0.125354107649,50,0.249995200952,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1329086537.39,3550117.32229,1329086537.39,1331596849.42,1326576225.36,1326827256.56,1331345818.22,2.0,12603333002000.0,0.00781310024112,1.74117872884e-13,0.25,107,0.125002399524,0.250014408391
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1322010375.56,2622461.96323,1322010375.56,1323864736.2,1320156014.93,1320341450.99,1323679300.14,2.0,6877306748580.0,0.0077910000469,1.74117872884e-13,0.124645892351,52,0.250005865503,0.250014408391
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1317875400.65,2586768.40089,1317875400.65,1319704522.13,1316046279.17,1316229191.32,1319521609.98,2.0,6691370759870.0,0.0156243993987,1.74117872884e-13,0.25,88,0.250004799048,0.249985591609
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1314582893.04,1894635.27065,1314582893.04,1315922602.49,1313243183.59,1313377154.53,1315788631.54,2.0,3589642808780.0,0.0156244660483,1.74117872884e-13,0.25,69,0.250005865503,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1298667852.33,1710408.1942,1298667852.33,1299877293.56,1297458411.1,1297579355.22,1299756349.44,2.0,2925496190800.0,0.0156237995523,1.74117872884e-13,0.25,33,0.249995200952,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1288333428.58,16470698.0366,1288333428.58,1299979970.86,1276686886.31,1277851540.54,1298815316.63,2.0,271283893812000.0,0.00391763354631,1.74117872884e-13,0.125354107649,75,0.250005865503,0.125007204196
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1278265426.57,4454363.18264,1278265426.57,1281415136.98,1275115716.16,1275430687.2,1281100165.94,2.0,19841351362800.0,0.00781153320336,1.74117872884e-13,0.25,8,0.124991734973,0.249985591609
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1269853684.93,618927.212216,1269853684.93,1270291332.56,1269416037.3,1269459802.07,1270247567.8,2.0,383070894022.0,0.00779096681268,1.74117872884e-13,0.124645892351,77,0.250004799048,0.250014408391
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1266698641.04,211762.048267,1266698641.04,1266848379.42,1266548902.66,1266563876.5,1266833405.59,2.0,44843165086.1,0.0156243993987,1.74117872884e-13,0.25,94,0.250004799048,0.249985591609
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1256314089.29,37074.0191489,1256314089.29,1256340304.58,1256287874.0,1256290495.53,1256337683.05,2.0,1374482895.85,0.00781219969937,1.74117872884e-13,0.25,113,0.125002399524,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1250756327.8,2573251.85952,1250756327.8,1252575891.64,1248936763.96,1249118720.34,1252393935.25,2.0,6621625132530.0,0.0156244660483,1.74117872884e-13,0.25,58,0.250005865503,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1236515422.99,11487996.5223,1236515422.99,1244638663.23,1228392182.75,1229204506.77,1243826339.21,2.0,131974064095000.0,0.00391761683478,1.74117872884e-13,0.125354107649,100,0.250004799048,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1235032256.12,3065326.64711,1235032256.12,1237199769.38,1232864742.87,1233081494.19,1236983018.06,2.0,9396227453480.0,0.0156237995523,1.74117872884e-13,0.25,39,0.249995200952,0.249985591609
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1225103465.69,14660954.0351,1225103465.69,1235470325.71,1214736605.67,1215773291.68,1234433639.71,2.0,214943573221000.0,0.00781153320336,1.74117872884e-13,0.25,14,0.124991734973,0.249985591609
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1214046220.09,1659767.20341,1214046220.09,1215219852.74,1212872587.45,1212989950.71,1215102489.47,2.0,2754827169520.0,0.00389548340634,1.74117872884e-13,0.124645892351,102,0.125002399524,0.250014408391
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1205347335.93,3415426.91739,1205347335.93,1207762407.46,1202932264.4,1203173771.55,1207520900.31,2.0,11665141028000.0,0.00781219969937,1.74117872884e-13,0.25,119,0.125002399524,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1200291899.59,8563550.14742,1200291899.59,1206347243.97,1194236555.21,1194842089.65,1205741709.53,2.0,73334391127500.0,0.0156243993987,1.74117872884e-13,0.25,83,0.250004799048,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1195035519.78,2724481.08958,1195035519.78,1196962018.83,1193109020.72,1193301670.63,1196769368.92,2.0,7422797207460.0,0.00390621683414,1.74117872884e-13,0.25,20,0.124991734973,0.125007204196
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1190300554.32,6001143.5042,1190300554.32,1194544003.59,1186057105.05,1186481449.98,1194119658.66,2.0,36013723357900.0,0.00781280028334,1.74117872884e-13,0.25,45,0.249995200952,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1183660843.55,1329726.10679,1183660843.55,1184601101.9,1182720585.2,1182814611.04,1184507076.06,2.0,1768171519080.0,0.0156244660483,1.74117872884e-13,0.25,64,0.250005865503,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1178430767.06,3131321.86398,1178430767.06,1180644945.98,1176216588.14,1176438006.03,1180423528.09,2.0,9805176615830.0,0.00195880841739,1.74117872884e-13,0.125354107649,125,0.125002399524,0.125007204196
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1162747348.2,4725542.42349,1162747348.2,1166088811.29,1159405885.11,1159740031.42,1165754664.99,2.0,22330751196200.0,0.00778976974847,1.74117872884e-13,0.124645892351,28,0.249995200952,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1148867998.83,2430159.39395,1148867998.83,1150586381.01,1147149616.64,1147321454.86,1150414542.79,2.0,5905674680020.0,0.00781219969937,1.74117872884e-13,0.25,108,0.125002399524,0.249985591609
