npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,212018315.866,7251262.63697,212018315.866,217145732.849,206890898.884,207403640.582,216632991.151,2.0,52580809830300.0,2.78193391732e-13,0.249993815983,0.250420168067,0.00782543667679,109,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,201589542.09,6607680.00481,201589542.09,206261877.429,196917206.75,197384440.284,205794643.895,2.0,43661435046000.0,2.78193391732e-13,0.124991342377,0.250420168067,0.00391254412062,104,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,154142923.456,14117453.3073,154142923.456,164125470.423,144160376.489,145158631.186,163127215.726,2.0,199302487883000.0,2.78193391732e-13,0.250006184017,0.250420168067,0.00782582382741,114,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,95935262.5692,31136835.3657,95935262.5692,117952330.001,73918195.1374,76119901.8805,115750623.258,2.0,969502516593000.0,2.78193391732e-13,0.250006184017,0.250420168067,0.00782582382741,119,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,74870631.5469,1008333.9874,74870631.5469,75583631.3471,74157631.7467,74228931.7267,75512331.367,2.0,1016737430150.0,2.78193391732e-13,0.125002473607,0.250420168067,0.00391289255617,124,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,40104422.5795,15417328.0662,40104422.5795,51006119.8029,29202725.3562,30292895.0785,49915950.0806,2.0,237694004700000.0,2.78193391732e-13,0.249993815983,0.249579831933,0.00779917682217,108,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,29165748.7683,12997971.0987,29165748.7683,38356702.2739,19974795.2628,20893890.6133,37437606.9233,2.0,168947252682000.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00389941477793,103,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,18613923.5913,8240763.6752,18613923.5913,24441023.4682,12786823.7145,13369533.7021,23858313.4805,2.0,67910185950500.0,2.78193391732e-13,0.250006184017,0.249579831933,0.00779956267363,113,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-48129275.6941,3631691.66518,-48129275.6941,-45561281.8905,-50697269.4977,-50440470.1174,-45818081.2709,2.0,13189184350900.0,2.78193391732e-13,0.250006184017,0.249579831933,0.00779956267363,118,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-78678385.4656,11201281.8135,-78678385.4656,-70757883.1373,-86598887.7939,-85806837.5611,-71549933.3701,2.0,125468714265000.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00389976204424,123,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-103299771.22,36145977.1257,-103299771.22,-77740705.6815,-128858836.758,-126302930.204,-80296612.2354,2.0,1306531662370000.0,2.78193391732e-13,0.249993815983,0.249579831933,0.00779917682217,107,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-132215176.706,52379186.7492,-132215176.706,-95177498.5623,-169252854.849,-165549087.035,-98881266.3767,2.0,2743579204500000.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00389941477793,102,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-153482744.261,45875377.6662,-153482744.261,-121043953.624,-185921534.899,-182677655.835,-124287832.688,2.0,2104550276010000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.00779956267363,112,0.125
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160667899.78,429399.983169,-160667899.78,-160364268.14,-160971531.42,-160941168.256,-160394631.304,2.0,184384345545.0,2.78193391732e-13,0.249993815983,0.249579831933,0.0155983536443,83,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-210443348.814,40764581.3948,-210443348.814,-181618436.878,-239268260.751,-236385769.557,-184500928.071,2.0,1661751096300000.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00779882955587,78,0.25
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-220456676.294,13622014.2274,-220456676.294,-210824457.66,-230088894.928,-229125673.064,-211787679.524,2.0,185559271612000.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00389976204424,122,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-225734419.967,44370253.6257,-225734419.967,-194359912.745,-257108927.188,-253971476.466,-197497363.467,2.0,1968719406810000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.00779956267363,117,0.125
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-226150423.99,19022243.707,-226150423.99,-212699666.472,-239601181.509,-238256105.757,-214044742.224,2.0,361845755647000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,88,0.25
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-232881389.148,17835337.3049,-232881389.148,-220269901.195,-245492877.101,-244231728.306,-221531049.99,2.0,318099256780000.0,2.78193391732e-13,0.249993815983,0.125210084034,0.0039127183384,106,0.125
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-250417460.866,6460892.38753,-250417460.866,-245848920.047,-254986001.686,-254529147.604,-246305774.129,2.0,41743130443300.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,93,0.25
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-254454136.366,6165266.47958,-254454136.366,-250094634.631,-258813638.102,-258377687.928,-250530584.804,2.0,38010510764200.0,2.78193391732e-13,0.124991342377,0.125210084034,0.00195627206031,101,0.125
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-293130753.72,5202676.13503,-293130753.72,-289451906.144,-296809601.295,-296441716.538,-289819790.902,2.0,27067838966000.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00779952408848,98,0.25
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-308331603.118,47391279.9634,-308331603.118,-274820907.687,-341842298.549,-338491229.006,-278171977.23,2.0,2245933416570000.0,2.78193391732e-13,0.250006184017,0.125210084034,0.0039129119137,111,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-314343720.179,27381910.6861,-314343720.179,-294981785.451,-333705654.907,-331769461.434,-296917978.924,2.0,749769032820000.0,2.78193391732e-13,0.249993815983,0.249579831933,0.0155983536443,82,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-323265639.258,7077105.1388,-323265639.258,-318261370.223,-328269908.292,-327769481.389,-318761797.126,2.0,50085417145600.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00779882955587,77,0.25
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-331973821.199,26576712.6504,-331973821.199,-313181247.462,-350766394.935,-348887137.562,-315060504.836,2.0,706321655302000.0,2.78193391732e-13,0.250006184017,0.125210084034,0.0039129119137,116,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-334456833.174,7315713.76376,-334456833.174,-329283842.362,-339629823.985,-339112524.904,-329801141.443,2.0,53519667873300.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,87,0.25
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-369626331.95,16655895.5045,-369626331.95,-357848835.292,-381403828.608,-380226078.942,-359026584.958,2.0,277418855057000.0,2.78193391732e-13,0.125002473607,0.125210084034,0.00195644627809,121,0.125
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-384702452.134,6123525.65045,-384702452.134,-380372465.622,-389032438.647,-388599439.995,-380805464.273,2.0,37497566391700.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00779882955587,53,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-395037741.45,15394258.9052,-395037741.45,-384152356.587,-405923126.313,-404834587.827,-385240895.073,2.0,236983207241000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,92,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-425303154.634,14717474.1156,-425303154.634,-414896328.885,-435709980.383,-434669297.808,-415937011.46,2.0,216604044344000.0,2.78193391732e-13,0.249993815983,0.125210084034,0.00782543667679,81,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-432364732.537,2811687.45256,-432364732.537,-430376569.273,-434352895.801,-434154079.475,-430575385.599,2.0,7905586330880.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00779952408848,97,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-436544218.497,1528049.29717,-436544218.497,-435463724.477,-437624712.517,-437516663.115,-435571773.879,2.0,2334934654580.0,2.78193391732e-13,0.249993815983,0.249579831933,0.0155983536443,58,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-474647151.665,857418.928366,-474647151.665,-474040864.926,-475253438.403,-475192809.729,-474101493.6,2.0,735167218721.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,63,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-482284863.012,10123729.7486,-482284863.012,-475126305.056,-489443420.968,-488727565.172,-475842160.851,2.0,102489904023000.0,2.78193391732e-13,0.124991342377,0.125210084034,0.00391254412062,76,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-484741385.472,5905822.50367,-484741385.472,-480565338.331,-488917432.613,-488499827.899,-480982943.045,2.0,34878739444900.0,2.78193391732e-13,0.250006184017,0.125210084034,0.00782582382741,86,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-517621070.091,1545358.47368,-517621070.091,-516528336.635,-518713803.548,-518604530.202,-516637609.981,2.0,2388132812180.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,68,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-537451897.393,14421629.0192,-537451897.393,-527254265.718,-547649529.068,-546629765.901,-528274028.885,2.0,207983383567000.0,2.78193391732e-13,0.249993815983,0.249579831933,0.0155983536443,57,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-546631105.808,30643691.1132,-546631105.808,-524962744.021,-568299467.595,-566132631.416,-527129580.2,2.0,939035805041000.0,2.78193391732e-13,0.250006184017,0.125210084034,0.00782582382741,91,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-549004019.969,624088.624271,-549004019.969,-548562722.67,-549445317.267,-549401187.537,-548606852.4,2.0,389486610945.0,2.78193391732e-13,0.124991342377,0.249579831933,0.00779882955587,52,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-562229763.065,7271709.74234,-562229763.065,-557087887.795,-567371638.334,-566857450.807,-557602075.322,2.0,52877762576800.0,2.78193391732e-13,0.125002473607,0.125210084034,0.00391289255617,96,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-570255251.045,4361244.9147,-570255251.045,-567171385.191,-573339116.898,-573030730.313,-567479771.776,2.0,19020457206000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,62,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-578883838.708,15780202.8883,-578883838.708,-567725550.238,-590042127.179,-588926298.332,-568841379.085,2.0,249014803196000.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00779952408848,73,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-623386004.378,15857499.1019,-623386004.378,-612173059.231,-634598949.526,-633477655.011,-613294353.745,2.0,251460277768000.0,2.78193391732e-13,0.250006184017,0.249579831933,0.0155991253473,67,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-644201838.031,1271047.20003,-644201838.031,-643303071.937,-645100604.126,-645010727.516,-643392948.547,2.0,1615560984710.0,2.78193391732e-13,0.249993815983,0.125210084034,0.00782543667679,56,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-659159455.823,2366995.1756,-659159455.823,-657485737.483,-660833174.162,-660665802.328,-657653109.317,2.0,5602666161300.0,2.78193391732e-13,0.125002473607,0.249579831933,0.00779952408848,72,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-695232748.609,15917.5701639,-695232748.609,-695221493.187,-695244004.031,-695242878.488,-695222618.729,2.0,253369039.924,2.78193391732e-13,0.124991342377,0.125210084034,0.00391254412062,51,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-702535912.934,4248385.04019,-702535912.934,-699531851.063,-705539974.805,-705239568.618,-699832257.25,2.0,18048775449700.0,2.78193391732e-13,0.250006184017,0.125210084034,0.00782582382741,61,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-737723886.924,1866130.9906,-737723886.924,-736404333.046,-739043440.802,-738911485.414,-736536288.434,2.0,3482444874080.0,2.78193391732e-13,0.250006184017,0.125210084034,0.00782582382741,66,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-787952635.512,13357701.7253,-787952635.512,-778507314.041,-797397956.983,-796453424.836,-779451846.188,2.0,178428195381000.0,2.78193391732e-13,0.125002473607,0.125210084034,0.00391289255617,71,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-895816130.887,7879551.00258,-895816130.887,-890244446.941,-901387814.834,-900830646.439,-890801615.336,2.0,62087324002300.0,2.78193391732e-13,0.249993815983,0.125210084034,0.00782543667679,31,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-913635818.017,6998245.56532,-913635818.017,-908687311.121,-918584324.912,-918089474.223,-909182161.81,2.0,48975440992600.0,2.78193391732e-13,0.124991342377,0.125210084034,0.00391254412062,26,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-937348902.111,2448529.57632,-937348902.111,-935617530.244,-939080273.978,-938907136.791,-935790667.43,2.0,5995297086110.0,2.78193391732e-13,0.250006184017,0.125210084034,0.00782582382741,36,0.25
