cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-517897386.754,0.0,0.0,0.0,0.0,0.0,-559736398.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-18456873.4964,25342404.9107,-23316080.0,-15206093.825,-21480823.05,0.0,-19947935.9651,27389723.9669,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1694119.06311,3323192.06697,25529507.6362,117071977.742,0.0,-178.190448229,244.666275201,0.0,0.0
2,0.0,-34319886.1257,47123281.7873,-23316080.0,-15205202.5331,-21480823.05,0.0,-37092462.648,50930197.2374,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1165799.71035,3323192.06697,25529507.6362,117071977.742,0.0,-331.338668658,454.948055276,0.0,0.0
3,0.0,-30228907.3333,41506120.1885,-23316080.0,-15207457.2312,-21480823.05,0.0,-32670988.8268,44859245.9519,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1167727.06489,3055808.79721,27176572.6449,112244267.319,0.0,-291.842632405,400.717605939,0.0,0.0
4,0.0,-26642879.5493,36582286.9001,-23316080.0,-15207144.5076,-21480823.05,0.0,-28795259.1363,39537634.4039,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1139098.76234,2406449.42781,24705975.1318,104399237.883,0.0,-257.221606352,353.180840797,0.0,0.0
5,0.0,-23467010.7598,32221626.747,-23316080.0,-15206382.9557,-21480823.05,0.0,-25362823.6668,34824692.6634,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1402095.2011,2368251.81784,27505985.6467,108020020.7,0.0,-226.560428379,311.081186844,0.0,0.0
6,0.0,-20646511.678,28348910.7209,-23316080.0,-15206584.6324,-21480823.05,0.0,-22314466.9077,30639114.2492,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1251921.56106,2291856.59791,27670692.1476,105606165.489,0.0,-199.33013958,273.692351476,0.0,0.0
7,0.0,-19135717.5846,26274498.9491,-23316080.0,-15210332.8864,-21480823.05,0.0,-20681621.3536,28397118.4314,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1035274.12082,2330054.20788,28000105.1493,103192310.277,0.0,-184.744295627,253.665104527,0.0,0.0
8,0.0,-18727458.9789,25713935.1626,-23316080.0,-15205191.5844,-21480823.05,0.0,-20240381.0468,27791268.7722,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,4695029.23056,2368251.81784,28658931.1528,101985382.672,0.0,-180.802794703,248.253185092,0.0,0.0
9,0.0,-18358974.7845,25207984.0512,-23316080.0,-15205233.3117,-21480823.05,0.0,-19842128.3787,27244443.7439,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1703594.6413,2444647.03777,29317757.1564,103192310.277,0.0,-177.245292736,243.368519478,0.0,0.0
