cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-455123080.493,0.0,0.0,0.0,0.0,0.0,-522286396.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-100028134.703,137344685.849,-106569983.232,0.0,-16219717.1424,22270653.7724,-20223440.0,-13481095.391,-18631611.15,0.0,-18613289.4331,25557173.463,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,8412124.65111,6979390.93689,17478916.8335,108712061.557,0.0,-178.190448229,244.666275201,0.0,0.0
2,0.0,-185998684.612,255387456.559,-106569983.232,0.0,-30159975.1132,41411472.0763,-20223440.0,-13481095.3429,-18631611.15,0.0,-34610735.8807,47522636.1124,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,5853796.53561,6979390.93689,17478916.8335,108712061.557,0.0,-331.338668658,454.948055276,0.0,0.0
3,0.0,-163827379.282,224944911.825,-106569983.232,0.0,-26564863.5759,36475166.2445,-20223440.0,-13481095.3487,-18631611.15,0.0,-30485087.3875,41857870.9152,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,5824534.88282,6559411.53626,16448946.404,102077029.48,0.0,-291.842632405,400.717605939,0.0,0.0
4,0.0,-144392686.278,198259901.522,-106569983.232,0.0,-23413497.9705,32148150.4469,-20223440.0,-13481095.3797,-18631611.15,0.0,-26868669.1968,36892309.758,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,5707212.3968,2142437.03391,21942403.2302,92540999.1676,0.0,-257.221606352,353.180840797,0.0,0.0
5,0.0,-127180874.585,174627041.857,-106569983.232,0.0,-20622576.0163,28316045.608,-20223440.0,-13481095.36,-18631611.15,0.0,-23665885.9631,32494694.4434,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,6999274.52043,2083861.38723,24345368.8533,95592174.7531,0.0,-226.560428379,311.081186844,0.0,0.0
6,0.0,-111895010.37,153638624.702,-106569983.232,0.0,-18143949.4322,24912741.2222,-20223440.0,-13481095.3438,-18631611.15,0.0,-20821484.0786,28589158.4218,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,6221406.66219,2028379.27622,24475957.7396,93602431.6054,0.0,-199.33013958,273.692351476,0.0,0.0
7,0.0,-103707171.021,142396225.485,-106569983.232,0.0,-16816278.5859,23089768.7572,-20223440.0,-13481095.4203,-18631611.15,0.0,-19297886.5018,26497166.692,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,5103571.97593,2067515.84523,24837369.9738,91712338.7674,0.0,-184.744295627,253.665104527,0.0,0.0
8,0.0,-101494588.981,139358216.368,-106569983.232,0.0,-16457504.9774,22597150.8683,-20223440.0,-13481095.2444,-18631611.15,0.0,-18886168.0386,25931852.3116,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,21241594.6295,2113863.95297,25368027.2973,90341692.4902,0.0,-180.802794703,248.253185092,0.0,0.0
9,0.0,-99497566.7528,136616183.925,-106569983.232,0.0,-16133684.7265,22152526.0559,-20223440.0,-13481095.3853,-18631611.15,0.0,-18514561.0617,25421613.4309,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,8465582.44986,2160271.48412,25942827.3706,91402141.8679,0.0,-177.245292736,243.368519478,0.0,0.0
10,0.0,-97210033.4272,133475262.155,-106569983.232,0.0,-15762757.6508,21643220.7206,-20223440.0,-13481095.3726,-18631611.15,0.0,-18088895.6227,24837149.0082,-27050057.67,-4598720.6252,-15828620.9704,440497476.0,5856425.46537,2193191.85646,26258537.4376,92097947.0324,0.0,-173.170273344,237.773271103,0.0,0.0
11,0.0,-95297314.7345,130848983.571,-106569983.232,0.0,-15452607.349,21217365.576,-20223440.0,-13481095.3823,-18631611.15,0.0,-17732975.8933,24348449.6681,-27050057.67,-4598720.6252,-15828620.9704,0.0,5814945.17912,2308103.4347,26132800.2912,91842683.0546,0.0,-169.762949973,233.094809794,0.0,0.0
12,0.0,-93106348.7601,127840654.62,-106569983.232,0.0,-15097338.819,20729560.3721,-20223440.0,-13481095.3602,-18631611.15,0.0,-17325279.7592,23788658.1892,-27050057.67,-4598720.6252,-15828620.9704,0.0,5711821.63336,2365496.86833,26982045.9995,93386555.172,0.0,-165.859955978,227.735762705,0.0,0.0
13,0.0,-91274374.761,125325243.39,-106569983.232,0.0,-14800281.3945,20321682.5408,-20223440.0,-13481095.3683,-18631611.15,0.0,-16984385.0461,23320589.1063,-27050057.67,-4598720.6252,-15828620.9704,0.0,7004262.02354,2415853.12401,27345244.3679,93932526.5878,0.0,-162.596471469,223.254800864,0.0,0.0
14,0.0,-89175899.5837,122443909.905,-106569983.232,0.0,-14460010.3907,19854469.8485,-20223440.0,-13481095.3732,-18631611.15,0.0,-16593899.6496,22784429.0122,-27050057.67,-4598720.6252,-15828620.9704,0.0,6224970.26075,2442306.90039,27543179.9774,94407871.6534,0.0,-158.858240885,218.121983915,0.0,0.0
15,0.0,-87421261.6718,120034685.805,-106569983.232,0.0,-14175493.1325,19463810.425,-20223440.0,-13481095.3822,-18631611.15,0.0,-16267395.6775,22336119.288,-27050057.67,-4598720.6252,-15828620.9704,0.0,5098254.24982,2482232.78427,27889404.1564,94562496.3393,0.0,-155.732523136,213.830184177,0.0,0.0
16,0.0,-42705686.4138,58637493.3596,-106569983.232,0.0,-6924793.27,9508160.46959,-20223440.0,-13481095.2507,-18631611.15,0.0,-7946697.23688,10911296.4944,-27050057.67,-4598720.6252,-15828620.9704,0.0,22446393.7717,2501377.67699,28108599.8889,95096996.7471,0.0,-76.0760502687,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-20223440.0,-13481095.3807,-18631611.15,0.0,0.0,0.0,-27050057.67,-4598720.6252,-15828620.9704,0.0,8536522.29152,2536458.20748,28491404.3334,96074703.2635,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-20223440.0,-13481095.3255,-18631611.15,0.0,0.0,0.0,-27050057.67,-4598720.6252,-15828620.9704,0.0,5852438.04957,2568113.68222,28987661.8157,97302568.9518,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-20223440.0,-13481095.3489,-18631611.15,0.0,0.0,0.0,-27050057.67,-4598720.6252,-15828620.9704,0.0,5839705.64195,2621739.98457,29338236.9861,98040781.9055,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-20223440.0,-13481095.3674,-18631611.15,0.0,0.0,0.0,-27050057.67,-4598720.6252,-15828620.9704,0.0,5698249.62145,2621853.74912,29519835.1846,98430168.4373,0.0,0.0,0.0,0.0,0.0
