npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
769.0,-620.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,671558184.396,680498.705706,671558184.396,672039369.645,671076999.146,671125117.671,671991251.12,2.0,463078488468.0,9,0.250017396145,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00779982814726
769.0,-323.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,669220325.429,46742503.0654,669220325.429,702272266.317,636168384.542,639473578.631,698967072.228,2.0,2184861592820000.0,44,0.250017396145,0.249999099172,4.2140306427499993e-14,0.250420168067,0.0156522931903
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,649812525.674,5000278.33986,649812525.674,653348256.396,646276794.952,646630368.024,652994683.324,2.0,25002783476100.0,52,0.249982603855,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782511390512
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,639456164.062,4574215.996,639456164.062,642690623.211,636221704.913,636545150.828,642367177.297,2.0,20923451978100.0,76,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-769.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,606287211.468,1186892.76578,606287211.468,607126471.391,605447951.544,605531877.537,607042545.398,2.0,1408714437470.0,28,0.249982603855,0.249999099172,4.2140306427499993e-14,0.125210084034,0.0078250575127
769.0,-472.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,597901059.449,7809282.62577,597901059.449,603423056.15,592379062.748,592931262.418,602870856.48,2.0,60984895129200.0,39,0.250017396145,0.249999099172,4.2140306427499993e-14,0.249579831933,0.0155997687165
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,587906257.36,1123566.26591,587906257.36,588700738.685,587111776.034,587191224.166,588621290.553,2.0,1262401153890.0,63,0.249982603855,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155977102672
769.0,-174.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,567397589.084,8133975.79218,567397589.084,573149178.524,561645999.643,562221158.587,572574019.58,2.0,66161562187700.0,50,0.125008698073,0.249999099172,4.2140306427499993e-14,0.125210084034,0.00391307329758
769.0,-472.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,528439088.455,4665015.96722,528439088.455,531737752.88,525140424.031,525470290.473,531407886.438,2.0,21762373974400.0,15,0.125008698073,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00389991407363
769.0,-769.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,513588120.804,8217513.27401,513588120.804,519398780.164,507777461.443,508358527.379,518817714.228,2.0,67527524408500.0,4,0.250017396145,0.124998648759,4.2140306427499993e-14,0.125210084034,0.00391304509745
769.0,-620.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,476755018.583,671244.025378,476755018.583,477229659.785,476280377.381,476327841.501,477182195.665,2.0,450568541605.0,58,0.249982603855,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155977102672
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,474789397.546,1428899.30257,474789397.546,475799781.932,473779013.159,473880051.598,475698743.494,2.0,2041753216890.0,82,0.249982603855,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155977102672
769.0,-620.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,461123351.491,18768913.2096,461123351.491,474394977.297,447851725.685,449178888.266,473067814.716,2.0,352272103069000.0,34,0.250017396145,0.249999099172,4.2140306427499993e-14,0.249579831933,0.0155997687165
769.0,-323.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,421585479.192,44335663.1877,421585479.192,452935527.28,390235431.104,393370435.912,449800522.472,2.0,1965651030290000.0,45,0.125008698073,0.249999099172,4.2140306427499993e-14,0.250420168067,0.00782614659516
769.0,-323.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,406333155.743,39418107.677,406333155.743,434205966.983,378460344.503,381247625.627,431418685.859,2.0,1553787212830000.0,69,0.250017396145,0.250000900828,4.2140306427499993e-14,0.250420168067,0.0156524059909
