cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-364306919.23,0.0,0.0,0.0,0.0,0.0,-447874715.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-12703323.0888,17826723.3916,-15827040.0,-10099218.9734,-14581260.9,0.0,-15617318.5561,21915967.6623,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,397461.715451,3044419.23018,15534100.3332,76554657.5472,0.0,-174.349187708,244.666275201,0.0,0.0
2,0.0,-23621368.0454,33148144.8855,-15827040.0,-10113658.773,-14581260.9,0.0,-29039836.8141,40751946.1327,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,464301.896698,3044419.23018,15534100.3332,76554657.5472,0.0,-324.19598419,454.948055276,0.0,0.0
3,0.0,-20805667.6853,29196839.3002,-15827040.0,-10106677.8606,-14581260.9,0.0,-25578247.3407,35894256.7228,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,323668.654784,2866828.10842,16628051.0609,72947370.0188,0.0,-285.551365992,400.717605939,0.0,0.0
4,0.0,-18337510.2504,25733244.8084,-15827040.0,-10101640.3636,-14581260.9,0.0,-22543923.1219,31636153.6934,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,314982.425518,2435535.38414,14987124.9694,67736843.5889,0.0,-251.676667152,353.180840797,0.0,0.0
5,0.0,-16151653.1859,22665805.7619,-15827040.0,-10102097.2419,-14581260.9,0.0,-19856655.7152,27865079.5891,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,335628.98259,2384795.06364,16846841.2065,70141701.9412,0.0,-221.676453745,311.081186844,0.0,0.0
6,0.0,-14210386.6375,19941603.4766,-15827040.0,-10105041.0805,-14581260.9,0.0,-17470085.0613,24515976.7911,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,421917.821349,2359424.90339,16956236.2792,68538463.0397,0.0,-195.033169662,273.692351476,0.0,0.0
7,0.0,-13170551.5054,18482390.5493,-15827040.0,-10102620.3758,-14581260.9,0.0,-16191723.7704,22722037.2866,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,358550.47363,2384795.06364,17175026.4248,67336033.8635,0.0,-180.761753486,253.665104527,0.0,0.0
8,0.0,-12889559.1167,18088070.61,-15827040.0,-10100352.1662,-14581260.9,0.0,-15846274.9759,22237264.9115,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,287801.170593,2410165.22389,17612606.7158,66133604.6874,0.0,-176.905219697,248.253185092,0.0,0.0
9,0.0,-12635942.2852,17732167.1137,-15827040.0,-10101859.6718,-14581260.9,0.0,-15534481.3751,21799721.2674,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,478661.60155,2460905.5444,18050187.0069,66935224.1381,0.0,-173.42440698,243.368519478,0.0,0.0
