smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,228679361.106,750656.00251,228679361.106,229210155.056,228148567.157,228201646.552,229157075.661,2.0,563484434104.0,38,0.249963898917,0.249546279492,1.83230531396e-13,0.249996504259,0.0155941721897
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,191299728.874,878705.503247,191299728.874,191921067.494,190678390.254,190740524.116,191858933.632,2.0,772123361436.0,107,0.25,0.250453720508,1.83230531396e-13,0.125001398296,0.00782676631801
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,170028486.065,1133843.0456,170028486.065,170830234.171,169226737.958,169306912.769,170750059.36,2.0,1285600052050.0,77,0.25,0.125226860254,1.83230531396e-13,0.250003495741,0.00782678820604
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,150879744.177,8044874.55193,150879744.177,156568329.526,145191158.827,145760017.362,155999470.991,2.0,64720006556300.0,63,0.249963898917,0.249546279492,1.83230531396e-13,0.250003495741,0.0155946083013
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,135345556.146,2035158.22193,135345556.146,136784630.326,133906481.967,134050389.384,136640722.908,2.0,4141868988290.0,8,0.249963898917,0.250453720508,1.83230531396e-13,0.124995105963,0.00782524217136
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,127015401.771,4821941.20147,127015401.771,130425029.093,123605774.449,123946737.181,130084066.361,2.0,23251116950400.0,19,0.25,0.249546279492,1.83230531396e-13,0.124995105963,0.00779801591193
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,125914653.123,1561823.70997,125914653.123,127019029.26,124810276.987,124920714.601,126908591.646,2.0,2439293301040.0,33,0.249963898917,0.250453720508,1.83230531396e-13,0.249996504259,0.0156508782704
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,96316815.8956,1678153.11622,96316815.8956,97503449.344,95130182.4473,95248845.7921,97384785.9991,2.0,2816197881490.0,102,0.25,0.125226860254,1.83230531396e-13,0.125001398296,0.003913383159
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,76695464.2026,4673462.31973,76695464.2026,80000101.1005,73390827.3047,73721290.9945,79669637.4107,2.0,21841250053900.0,88,0.249963898917,0.249546279492,1.83230531396e-13,0.250003495741,0.0155946083013
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,50506465.2946,6324547.4854,50506465.2946,54978595.7094,46034334.8797,46481547.9212,54531382.668,2.0,39999900895100.0,44,0.25,0.249546279492,1.83230531396e-13,0.249996504259,0.015596424381
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,50262044.675,1122497.71516,50262044.675,51055770.4213,49468318.9288,49547691.5034,50976397.8467,2.0,1260001120550.0,58,0.249963898917,0.250453720508,1.83230531396e-13,0.250003495741,0.0156513159678
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1984389.83058,3298275.14434,1984389.83058,4316622.55136,-347842.890207,-114619.618129,4083399.27928,2.0,10878618927800.0,113,0.249963898917,0.249546279492,1.83230531396e-13,0.125001398296,0.00779728234506
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3416203.48092,4078986.04448,-3416203.48092,-531924.788506,-6300482.17334,-6012054.3041,-820352.657748,2.0,16638127151100.0,28,0.249963898917,0.125226860254,1.83230531396e-13,0.249996504259,0.0078254391352
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-23439025.8168,4250304.07551,-23439025.8168,-20433606.9829,-26444444.6507,-26143902.7673,-20734148.8663,2.0,18065084734300.0,3,0.249963898917,0.125226860254,1.83230531396e-13,0.124995105963,0.00391262108568
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-25189424.7584,8274279.49197,-25189424.7584,-19338625.6202,-31040223.8966,-30455143.9828,-19923705.534,2.0,68463701111200.0,69,0.25,0.249546279492,1.83230531396e-13,0.250003495741,0.0155968605555
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-26490297.7549,2535431.75829,-26490297.7549,-24697476.7654,-28283118.7445,-28103836.6455,-24876758.8644,2.0,6428414200920.0,83,0.249963898917,0.250453720508,1.83230531396e-13,0.250003495741,0.0156513159678
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-29027787.2862,3829985.67699,-29027787.2862,-26319578.4421,-31735996.1302,-31465175.2458,-26590399.3266,2.0,14668790285900.0,25,0.125018050542,0.125226860254,1.83230531396e-13,0.124995105963,0.00195687562387
