smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,515557818.659,25547.3423591,515557818.659,515575883.358,515539753.96,515541560.43,515574076.888,2.0,652666701.614,1.83230531396e-13,26,0.125226860254,0.249996504259,0.00391384975812,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,463432597.657,453374.921058,463432597.657,463753182.138,463112013.176,463144071.624,463721123.69,2.0,205548819044.0,1.83230531396e-13,51,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,411045936.203,602466.726159,411045936.203,411471944.51,410619927.895,410662528.726,411429343.679,2.0,362966156128.0,1.83230531396e-13,76,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,358443646.357,451339.66654,358443646.357,358762791.696,358124501.019,358156415.552,358730877.162,2.0,203707494592.0,1.83230531396e-13,101,0.125226860254,0.125001398296,0.00195697413424,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,305351938.271,3413992.06724,305351938.271,307765995.213,302937881.33,303179287.024,307524589.519,2.0,11655341835200.0,1.83230531396e-13,32,0.250453720508,0.249996504259,0.0156531386514,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,251963556.638,667019.061733,251963556.638,252435210.339,251491902.936,251539068.306,252388044.969,2.0,444914428715.0,1.83230531396e-13,57,0.250453720508,0.250003495741,0.0156535764121,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,230257195.583,1911182.93522,230257195.583,231608605.997,228905785.17,229040926.211,231473464.955,2.0,3652620211860.0,1.83230531396e-13,27,0.125226860254,0.249996504259,0.00782656932572,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,218772425.343,3234459.75119,218772425.343,221059533.767,216485316.92,216714027.762,220830822.924,2.0,10461729882100.0,1.83230531396e-13,2,0.125226860254,0.124995105963,0.00391318616671,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,200769452.347,1112699.42239,200769452.347,201556249.654,199982655.04,200061334.771,201477569.923,2.0,1238100004580.0,1.83230531396e-13,82,0.250453720508,0.250003495741,0.0156535764121,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,177452637.866,3261273.07145,177452637.866,179758706.17,175146569.561,175377176.392,179528099.339,2.0,10635902046600.0,1.83230531396e-13,52,0.125226860254,0.250003495741,0.00782678820604,0.25
