npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,204809759.183,2802726.381,204809759.183,206791586.013,202827932.354,203026115.037,206593403.33,2.0,7855275166740.0,1.74117872884e-13,10,0.25,0.124991734973,0.125007204196,0.00390621683414
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,166275320.099,3155524.24384,166275320.099,168506612.69,164044027.508,164267156.767,168283483.431,2.0,9957333253460.0,1.74117872884e-13,44,0.25,0.249995200952,0.249985591609,0.0156237995523
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,159004892.53,432030.51416,159004892.53,159310384.236,158699400.823,158729949.994,159279835.065,2.0,186650365165.0,1.74117872884e-13,60,0.25,0.250005865503,0.125007204196,0.00781313356976
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,121493140.709,350687.220196,121493140.709,121741114.02,121245167.397,121269964.729,121716316.689,2.0,122981526409.0,1.74117872884e-13,69,0.25,0.250005865503,0.249985591609,0.0156244660483
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,116843489.71,3396864.0111,116843489.71,119245435.287,114441544.133,114681738.691,119005240.729,2.0,11538685109900.0,1.74117872884e-13,85,0.25,0.250004799048,0.125007204196,0.00781310024112
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,67718818.8285,11469144.3924,67718818.8285,75828728.6027,59608909.0542,60419900.0316,75017737.6253,2.0,131541273093000.0,1.74117872884e-13,110,0.25,0.125002399524,0.125007204196,0.00390655012056
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,54440322.3797,3150188.26612,54440322.3797,56667841.8646,52212802.8947,52435554.8432,56445089.9162,2.0,9923686111990.0,1.74117872884e-13,94,0.25,0.250004799048,0.249985591609,0.0156243993987
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,43544818.7211,11812238.5821,43544818.7211,51897332.7235,35192304.7188,36027556.119,51062081.3233,2.0,139528980320000.0,1.74117872884e-13,30,0.124645892351,0.249995200952,0.125007204196,0.00389533385232
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,43105966.606,5046789.28601,43105966.606,46674585.5333,39537347.6786,39894209.5714,46317723.6406,2.0,25470082097400.0,1.74117872884e-13,39,0.25,0.249995200952,0.249985591609,0.0156237995523
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,22974488.5032,5144572.68222,22974488.5032,26612250.7331,19336726.2733,19700502.4963,26248474.5101,2.0,26466628082700.0,1.74117872884e-13,14,0.25,0.124991734973,0.249985591609,0.00781153320336
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,10482411.2898,8363891.74004,10482411.2898,16396575.8563,4568246.72331,5159663.17996,15805159.3996,2.0,69954685039000.0,1.74117872884e-13,119,0.25,0.125002399524,0.249985591609,0.00781219969937
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,7732783.41874,3060549.84895,7732783.41874,9896918.9711,5568647.86639,5785061.42162,9680505.41586,2.0,9366965377940.0,1.74117872884e-13,5,0.124645892351,0.124991734973,0.125007204196,0.00194757553204
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-13308220.3113,2962177.66384,-13308220.3113,-11213644.3981,-15402796.2245,-15193338.6332,-11423101.9895,2.0,8774496512120.0,1.74117872884e-13,55,0.124645892351,0.250005865503,0.125007204196,0.00389550002345
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-16910726.167,2419088.56233,-16910726.167,-15200172.2403,-18621280.0937,-18450224.7011,-15371227.633,2.0,5851989472400.0,1.74117872884e-13,64,0.25,0.250005865503,0.249985591609,0.0156244660483
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-61781652.7015,1994861.44595,-61781652.7015,-60371072.6456,-63192232.7575,-63051174.7519,-60512130.6512,2.0,3979472188520.0,1.74117872884e-13,89,0.25,0.250004799048,0.249985591609,0.0156243993987
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-68459817.7164,6823577.7642,-68459817.7164,-63634819.6074,-73284815.8255,-72802316.0146,-64117319.4183,2.0,46561213504100.0,1.74117872884e-13,80,0.124645892351,0.250004799048,0.125007204196,0.00389548340634
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-114681875.783,8953784.77433,-114681875.783,-108350593.852,-121013157.714,-120380029.521,-108983722.045,2.0,80170261785100.0,1.74117872884e-13,105,0.124645892351,0.125002399524,0.125007204196,0.00194774170317
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-116990351.044,1878316.03245,-116990351.044,-115662181.04,-118318521.047,-118185704.047,-115794998.04,2.0,3528071117770.0,1.74117872884e-13,114,0.25,0.125002399524,0.249985591609,0.00781219969937
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-120716572.834,3226893.70269,-120716572.834,-118434814.415,-122998331.254,-122770155.412,-118662990.257,2.0,10412842968500.0,1.74117872884e-13,34,0.25,0.249995200952,0.249985591609,0.0156237995523
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-157111167.808,15705937.0422,-157111167.808,-146005393.22,-168216942.395,-167106364.936,-147115970.679,2.0,246676458373000.0,1.74117872884e-13,9,0.25,0.124991734973,0.249985591609,0.00781153320336
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-170030012.103,8578964.28522,-170030012.103,-163963768.282,-176096255.925,-175489631.543,-164570392.664,2.0,73598628207200.0,1.74117872884e-13,59,0.25,0.250005865503,0.249985591609,0.0156244660483
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-220535921.396,14415665.0487,-220535921.396,-210342506.885,-230729335.907,-229709994.456,-211361848.336,2.0,207811398795000.0,1.74117872884e-13,84,0.25,0.250004799048,0.249985591609,0.0156243993987
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-268098093.215,3108028.05837,-268098093.215,-265900385.499,-270295800.931,-270076030.16,-266120156.27,2.0,9659838411610.0,1.74117872884e-13,109,0.25,0.125002399524,0.249985591609,0.00781219969937
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-278850495.453,5723750.09785,-278850495.453,-274803192.945,-282897797.961,-282493067.71,-275207923.196,2.0,32761315182700.0,1.74117872884e-13,29,0.124645892351,0.249995200952,0.249985591609,0.00778976974847
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-310382146.247,3994894.39127,-310382146.247,-307557329.332,-313206963.161,-312924481.469,-307839811.024,2.0,15959181197400.0,1.74117872884e-13,13,0.25,0.124991734973,0.249985591609,0.00781153320336
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-333504560.998,3028012.81141,-333504560.998,-331363432.606,-335645689.391,-335431576.552,-331577545.445,2.0,9168861586050.0,1.74117872884e-13,54,0.124645892351,0.250005865503,0.249985591609,0.00779010205243
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-348960099.337,2793295.01267,-348960099.337,-346984941.491,-350935257.182,-350737741.397,-347182457.276,2.0,7802497027810.0,1.74117872884e-13,4,0.124645892351,0.124991734973,0.249985591609,0.00389470210706
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-361175163.545,5894884.25815,-361175163.545,-357006850.912,-365343476.178,-364926644.915,-357423682.175,2.0,34749660417000.0,1.74117872884e-13,38,0.25,0.249995200952,0.249985591609,0.0156237995523
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-377829141.589,2771976.97354,-377829141.589,-375869057.874,-379789225.304,-379593216.933,-376065066.245,2.0,7683856341850.0,1.74117872884e-13,79,0.124645892351,0.250004799048,0.249985591609,0.00779006882203
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-408902760.638,6375314.44072,-408902760.638,-404394732.565,-413410788.711,-412959985.904,-404845535.372,2.0,40644634218100.0,1.74117872884e-13,63,0.25,0.250005865503,0.249985591609,0.0156244660483
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-434983225.277,2096500.939,-434983225.277,-433500775.247,-436465675.308,-436317430.305,-433649020.25,2.0,4395316187240.0,1.74117872884e-13,104,0.124645892351,0.125002399524,0.249985591609,0.00389503441102
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-461401152.25,3576250.41679,-461401152.25,-458872361.329,-463929943.171,-463677064.079,-459125240.421,2.0,12789567043600.0,1.74117872884e-13,88,0.25,0.250004799048,0.249985591609,0.0156243993987
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-472396101.231,680233.257299,-472396101.231,-471915103.682,-472877098.78,-472828999.026,-471963203.437,2.0,462717284336.0,1.74117872884e-13,33,0.25,0.249995200952,0.249985591609,0.0156237995523
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-500599562.181,4250830.41884,-500599562.181,-497593771.167,-503605353.196,-503304774.095,-497894350.268,2.0,18069559249800.0,1.74117872884e-13,8,0.25,0.124991734973,0.249985591609,0.00781153320336
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-521948423.068,1342355.55231,-521948423.068,-520999234.355,-522897611.782,-522802692.911,-521094153.226,2.0,1801918428830.0,1.74117872884e-13,113,0.25,0.125002399524,0.249985591609,0.00781219969937
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-528254033.688,712882.66959,-528254033.688,-527749949.518,-528758117.858,-528707709.441,-527800357.935,2.0,508201700602.0,1.74117872884e-13,58,0.25,0.250005865503,0.249985591609,0.0156244660483
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-584240573.575,3749655.11968,-584240573.575,-581589167.013,-586891980.137,-586626839.481,-581854307.669,2.0,14059913516500.0,1.74117872884e-13,83,0.25,0.250004799048,0.249985591609,0.0156243993987
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-619851940.307,3474809.90496,-619851940.307,-617394878.66,-622309001.954,-622063295.789,-617640584.824,2.0,12074303875600.0,1.74117872884e-13,28,0.124645892351,0.249995200952,0.249985591609,0.00778976974847
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-632972744.374,6091950.37125,-632972744.374,-628665084.955,-637280403.792,-636849637.85,-629095850.897,2.0,37111859325800.0,1.74117872884e-13,108,0.25,0.125002399524,0.249985591609,0.00781219969937
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-668519553.671,2840169.53826,-668519553.671,-666511250.53,-670527856.811,-670327026.497,-666712080.844,2.0,8066563006060.0,1.74117872884e-13,53,0.124645892351,0.250005865503,0.249985591609,0.00779010205243
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-685777005.194,7693718.70775,-685777005.194,-680336724.523,-691217285.865,-690673257.798,-680880752.591,2.0,59193307554000.0,1.74117872884e-13,3,0.124645892351,0.124991734973,0.249985591609,0.00389470210706
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-727810980.621,3645296.62535,-727810980.621,-725233366.657,-730388594.584,-730130833.187,-725491128.054,2.0,13288187486800.0,1.74117872884e-13,78,0.124645892351,0.250004799048,0.249985591609,0.00779006882203
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-779473539.853,3946612.73158,-779473539.853,-776682863.228,-782264216.479,-781985148.816,-776961930.891,2.0,15575752053100.0,1.74117872884e-13,103,0.124645892351,0.125002399524,0.249985591609,0.00389503441102
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-829462927.18,1942604.23074,-829462927.18,-828089298.555,-830836555.805,-830699192.942,-828226661.418,2.0,3773711197290.0,1.74117872884e-13,7,0.25,0.124991734973,0.250014408391,0.00781243366828
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-873699088.305,497393.676968,-873699088.305,-873347377.863,-874050798.747,-874015627.703,-873382548.908,2.0,247400469888.0,1.74117872884e-13,32,0.25,0.249995200952,0.250014408391,0.0156256005667
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-923058174.467,193400.99265,-923058174.467,-922921419.313,-923194929.62,-923181254.105,-922935094.829,2.0,37403943958.0,1.74117872884e-13,57,0.25,0.250005865503,0.250014408391,0.0156262671395
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-978197903.528,994774.216588,-978197903.528,-977494491.934,-978901315.122,-978830973.963,-977564833.093,2.0,989575741987.0,1.74117872884e-13,82,0.25,0.250004799048,0.250014408391,0.0156262004822
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-984660462.334,1765687.53673,-984660462.334,-983411932.703,-985908991.965,-985784139.002,-983536785.667,2.0,3117652477360.0,1.74117872884e-13,27,0.124645892351,0.249995200952,0.250014408391,0.00779066770464
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1011388290.97,1736860.11566,-1011388290.97,-1010160145.4,-1012616436.53,-1012493621.97,-1010282959.96,2.0,3016683061350.0,1.74117872884e-13,2,0.124645892351,0.124991734973,0.250014408391,0.00389515106407
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1029194849.24,1176483.81133,-1029194849.24,-1028362949.56,-1030026748.92,-1029943558.96,-1028446139.53,2.0,1384114158330.0,1.74117872884e-13,107,0.25,0.125002399524,0.250014408391,0.00781310024112
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1037185032.8,3095560.44896,-1037185032.8,-1034996141.02,-1039373924.59,-1039155035.41,-1035215030.19,2.0,9582494493160.0,1.74117872884e-13,52,0.124645892351,0.250005865503,0.250014408391,0.0077910000469
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1090874411.57,294925.235752,-1090874411.57,-1090665867.94,-1091082955.2,-1091062100.84,-1090686722.3,2.0,86980894683.1,1.74117872884e-13,77,0.124645892351,0.250004799048,0.250014408391,0.00779096681268
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1144725062.35,2021969.66845,-1144725062.35,-1143295313.89,-1146154810.82,-1146011835.97,-1143438288.74,2.0,4088361340140.0,1.74117872884e-13,102,0.124645892351,0.125002399524,0.250014408391,0.00389548340634
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1333220871.17,11778.1250439,-1333220871.17,-1333212542.78,-1333229199.57,-1333228366.73,-1333213375.62,2.0,138724229.549,1.74117872884e-13,1,0.124645892351,0.124991734973,0.125007204196,0.00194757553204
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1380754400.34,87767.7841507,-1380754400.34,-1380692339.15,-1380816461.54,-1380810255.42,-1380698545.27,2.0,7703183934.72,1.74117872884e-13,26,0.124645892351,0.249995200952,0.125007204196,0.00389533385232
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1433674436.08,172888.65538,-1433674436.08,-1433552185.34,-1433796686.82,-1433784461.74,-1433564410.41,2.0,29890487159.0,1.74117872884e-13,51,0.124645892351,0.250005865503,0.125007204196,0.00389550002345
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1486505182.14,134876.694874,-1486505182.14,-1486409809.91,-1486600554.36,-1486591017.14,-1486419347.13,2.0,18191722820.1,1.74117872884e-13,76,0.124645892351,0.250004799048,0.125007204196,0.00389548340634
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-1539630862.17,286855.698219,-1539630862.17,-1539428024.56,-1539833699.78,-1539813416.02,-1539448308.32,2.0,82286191600.6,1.74117872884e-13,101,0.124645892351,0.125002399524,0.125007204196,0.00194774170317
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-231820222255000.0,1743401.68847,-231820222255000.0,-231820221023000.0,-231820223488000.0,-231820223365000.0,-231820221146000.0,2.0,3039449447360.0,1.74117872884e-13,6,0.25,0.124991734973,0.125007204196,0.00390621683414
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-231820275721000.0,1386846.85056,-231820275721000.0,-231820274740000.0,-231820276702000.0,-231820276603000.0,-231820274838000.0,2.0,1923344186920.0,1.74117872884e-13,31,0.25,0.249995200952,0.125007204196,0.00781280028334
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-231820327988000.0,2382435.49871,-231820327988000.0,-231820326303000.0,-231820329673000.0,-231820329504000.0,-231820326472000.0,2.0,5675998905500.0,1.74117872884e-13,56,0.25,0.250005865503,0.125007204196,0.00781313356976
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-231820383928000.0,779972.256735,-231820383928000.0,-231820383376000.0,-231820384479000.0,-231820384424000.0,-231820383432000.0,2.0,608356721277.0,1.74117872884e-13,81,0.25,0.250004799048,0.125007204196,0.00781310024112
