smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,163939444.884,15827333.1569,163939444.884,175131059.487,152747830.281,153866991.741,174011898.027,2.0,250504474859000.0,2.6175466018599997e-14,0.00391331593177,0.125226860254,0.124999250922,0.25,2
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-17679992.5081,2117063.21368,-17679992.5081,-16183002.7535,-19176982.2627,-19027283.2872,-16332701.7289,2.0,4481956650730.0,2.6175466018599997e-14,0.00391389666791,0.125226860254,0.249999500615,0.125018050542,26
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-27020734.6604,1426038.43827,-27020734.6604,-26012373.2105,-28029096.1103,-27928259.9653,-26113209.3555,2.0,2033585627410.0,2.6175466018599997e-14,0.00782550166399,0.250453720508,0.124999250922,0.249963898917,8
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-58829377.1626,19820483.2141,-58829377.1626,-44814179.0755,-72844575.2497,-71443055.441,-46215698.8842,2.0,392851554840000.0,2.6175466018599997e-14,0.00779827450171,0.249546279492,0.124999250922,0.25,19
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-178403038.725,31939364.5524,-178403038.725,-155818497.463,-200987579.987,-198729125.861,-158076951.59,2.0,1020123008010000.0,2.6175466018599997e-14,0.00391275083199,0.125226860254,0.124999250922,0.249963898917,3
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-199315761.133,20276976.0445,-199315761.133,-184977773.87,-213653748.396,-212219949.67,-186411572.596,2.0,411155757507000.0,2.6175466018599997e-14,0.00195694051577,0.125226860254,0.124999250922,0.125018050542,25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-211705413.421,27982869.6072,-211705413.421,-191918536.565,-231492290.278,-229513602.592,-193897224.251,2.0,783040991451000.0,2.6175466018599997e-14,0.00779827450171,0.249546279492,0.124999250922,0.25,14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-223597755.557,4312947.42735,-223597755.557,-220548041.184,-226647469.93,-226342498.492,-220853012.621,2.0,18601515511100.0,2.6175466018599997e-14,0.0156533262635,0.250453720508,0.249999500615,0.25,32
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-244720586.839,1170576.32927,-244720586.839,-243892864.379,-245548309.299,-245465537.053,-243975636.625,2.0,1370248942650.0,2.6175466018599997e-14,0.00782666313177,0.125226860254,0.249999500615,0.25,27
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-321802682.509,26520300.2178,-321802682.509,-303049998.386,-340555366.632,-338680098.22,-304925266.798,2.0,703326323640000.0,2.6175466018599997e-14,0.00389970030317,0.249546279492,0.124999250922,0.125018050542,20
