smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,846042213.751,900086.837203,846042213.751,846678671.257,845405756.244,845469401.995,846615025.506,2.0,810156314505.0,0.0833064516129,0.000578489936133,1.28667840979e-13,1,0.0833283616224,0.0833344030397
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,789334085.859,477151.766903,789334085.859,789671483.109,788996688.609,789030428.334,789637743.384,2.0,227673808659.0,0.0833064516129,0.00115701870173,1.28667840979e-13,50,0.16666231642,0.0833344030397
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,732444149.635,617306.6166,732444149.635,732880651.329,732007647.94,732051298.109,732837001.16,2.0,381067458898.0,0.0833064516129,0.00115706184557,1.28667840979e-13,99,0.166668531058,0.0833344030397
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,671640865.668,4068423.24099,671640865.668,674517675.33,668764056.005,669051736.972,674229994.364,2.0,16552067667800.0,0.166693548387,0.00231503518814,1.28667840979e-13,9,0.0833283616224,0.16666559696
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,615675500.164,870511.252294,615675500.164,616291044.574,615059955.754,615121510.195,616229490.133,2.0,757789840371.0,0.166693548387,0.00463022576632,1.28667840979e-13,58,0.16666231642,0.16666559696
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,555745133.874,979911.908972,555745133.874,556438036.23,555052231.518,555121521.754,556368745.994,2.0,960227349346.0,0.166693548387,0.0046303984219,1.28667840979e-13,107,0.166668531058,0.16666559696
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,551253892.252,382139.133765,551253892.252,551524105.425,550983679.079,551010700.396,551497084.107,2.0,146030317554.0,0.0833064516129,0.00115695759524,1.28667840979e-13,2,0.0833283616224,0.16666559696
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,548959083.773,983728.022634,548959083.773,549654684.529,548263483.017,548333043.093,549585124.453,2.0,967720822516.0,0.0833064516129,0.0023139928479,1.28667840979e-13,51,0.16666231642,0.16666559696
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,490731158.663,1375376.15915,490731158.663,491703696.472,489758620.854,489855874.635,491606442.691,2.0,1891659579150.0,0.0833064516129,0.00231407913393,1.28667840979e-13,100,0.166668531058,0.16666559696
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,446338979.597,1590282.08187,446338979.597,447463478.841,445214480.353,445326930.277,447351028.917,2.0,2528997099920.0,0.166693548387,0.00463022576632,1.28667840979e-13,66,0.16666231642,0.16666559696
