smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,80710035.3585,2614483.54767,80897562.675,83279790.6795,77765225.4045,77994124.1732,83163408.3008,4.0,6835524221020.0,0.250018051845,0.250003306843,0.0155979749784,1.7334191682000001e-13,0.249546279492,63
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,79318681.6633,576695.908661,79366425.6936,79962925.2348,78578950.0314,78678419.7804,79892101.9039,4.0,332578171066.0,0.250018051845,0.125001984106,0.00779900812097,1.7334191682000001e-13,0.249546279492,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,62784773.834,406117.674911,62769720.6391,63248336.9263,62351317.1313,62381982.2057,63208639.935,4.0,164931565875.0,0.250018051845,0.250003306843,0.00782734744372,1.7334191682000001e-13,0.125226860254,41
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,59559832.5592,791037.65478,59473835.6872,60488196.8877,58803461.9745,58834589.4168,60405471.3222,4.0,625740571280.0,0.250018051845,0.249996693157,0.0155975623434,1.7334191682000001e-13,0.249546279492,57
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-10910568.2431,3569856.26187,-10121461.0309,-7823291.28279,-15576059.6276,-15010835.664,-7915050.91909,4.0,12743873730400.0,0.249981948155,0.249996693157,0.015652020206,1.7334191682000001e-13,0.250453720508,84
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-18890097.9531,1982089.06518,-18713033.0549,-16720182.7086,-21414142.9942,-21094093.5201,-16933993.2438,4.0,3928677062290.0,0.250018051845,0.250003306843,0.0155979749784,1.7334191682000001e-13,0.249546279492,68
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-37139800.7365,1960711.29012,-37800205.158,-34331902.5714,-38626890.0584,-38582625.5184,-34772409.7644,4.0,3844388763200.0,0.250018051845,0.125001984106,0.00391368407525,1.7334191682000001e-13,0.125226860254,46
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-38359915.5431,3672116.48388,-38334107.1996,-33981381.4975,-42790066.2758,-42258089.5748,-34497873.1924,4.0,13484439471200.0,0.250018051845,0.250003306843,0.0155979749784,1.7334191682000001e-13,0.249546279492,62
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-82014881.0577,2404011.32802,-82077573.0538,-79662263.8698,-84242114.2535,-84194721.6852,-79747271.6357,4.0,5779270465260.0,0.250018051845,0.124994709051,0.00391345630072,1.7334191682000001e-13,0.125226860254,51
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-82592268.4234,4474671.10565,-81707050.4722,-78444165.8604,-88510806.889,-87755725.8502,-78668116.1284,4.0,20022681503800.0,0.124990974078,0.124994709051,0.00195644559034,1.7334191682000001e-13,0.125226860254,105
