smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,558099567.413,121127.813818,558099567.413,558185217.712,558013917.115,558022482.144,558176652.682,2.0,14671947280.4,1.2866453778e-13,0.111106553709,0.0003434304723,0.0556451612903,101,0.055548424363
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,521188279.069,95087.7172412,521188279.069,521255516.239,521121041.9,521127765.616,521248792.522,2.0,9041673970.14,1.2866453778e-13,0.111112146884,0.000343447760809,0.0556451612903,201,0.055548424363
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,485066068.426,347800.660718,485066068.426,485312000.632,484820136.221,484844729.441,485287407.411,2.0,120965299596.0,1.2866453778e-13,0.111112146884,0.000343447760809,0.0556451612903,301,0.055548424363
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,448408034.644,139967.944363,448408034.644,448507006.927,448309062.362,448318959.59,448497109.699,2.0,19591025449.1,1.2866453778e-13,0.111112768348,0.000343449681755,0.0556451612903,401,0.055548424363
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,447543665.621,1450131.58339,447543665.621,448569063.497,446518267.745,446620807.532,448466523.71,2.0,2102881609150.0,1.2866453778e-13,0.111106553709,0.00137411868928,0.111290322581,112,0.111128939092
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,446979.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,411757252.953,337526.251433,411757252.953,411995920.055,411518585.852,411542452.562,411972053.345,2.0,113923970406.0,1.2866453778e-13,0.111112768348,0.000343449681755,0.0556451612903,501,0.055548424363
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,411446622.455,2013555.09457,411446622.455,412870420.916,410022823.993,410165203.839,412728041.07,2.0,4054404118870.0,1.2866453778e-13,0.111112146884,0.0013741878633,0.111290322581,212,0.111128939092
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,405357631.802,1746957.01403,405357631.802,406592916.953,404122346.651,404245875.166,406469388.438,2.0,3051858808860.0,1.2866453778e-13,0.111106553709,0.000687059344642,0.0556451612903,102,0.111128939092
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,404331670.133,352706.219538,404331670.133,404581071.092,404082269.173,404107209.269,404556130.997,2.0,124401677301.0,1.2866453778e-13,0.0555501695353,0.000343510457318,0.0556451612903,2,0.111128939092
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,375542514.025,200752.532522,375542514.025,375684467.503,375400560.548,375414755.896,375670272.155,2.0,40301579314.2,1.2866453778e-13,0.111112768348,0.000343449681755,0.0556451612903,601,0.055548424363
