smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,498444597.25,41872.8832702,498444597.25,498474205.849,498414988.65,498417949.51,498471244.989,2.0,1753338353.36,0.111101719985,0.000343415531252,101,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,478680073.912,39251.1714547,478680073.912,478707828.682,478652319.143,478655094.62,478705053.205,2.0,1540654460.57,0.111114149417,0.000343453950639,201,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,458878975.421,37598.2338502,458878975.421,458905561.387,458852389.455,458855048.052,458902902.791,2.0,1413627188.66,0.111114149417,0.000343453950639,301,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,439092773.567,11083.2148906,439092773.567,439100610.583,439084936.551,439085720.252,439099826.882,2.0,122837652.311,0.111112906473,0.000343450108701,401,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,223489.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,419290506.972,53405.3587132,419290506.972,419328270.263,419252743.68,419256520.01,419324493.934,2.0,2852132339.28,0.111112906473,0.000343450108701,501,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,399624107.075,125902.370849,399624107.075,399713133.495,399535080.655,399543983.297,399704230.853,2.0,15851406985.5,0.111114149417,0.000343453950639,601,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,379701434.27,43303.204517,379701434.27,379732054.259,379670814.28,379673876.279,379728992.26,2.0,1875167521.44,0.111114149417,0.000343453950639,701,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,359944275.568,91715.9778127,359944275.568,360009128.558,359879422.578,359885907.877,360002643.259,2.0,8411820586.15,0.111114149417,0.000343453950639,801,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,340192961.829,15730.0414713,340192961.829,340204084.648,340181839.01,340182951.292,340202972.366,2.0,247434204.688,0.0555570747083,0.00017172697532,901,0.055548424363,2.5733227401400003e-13,0.0556451612903
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,44698.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,287233905.444,70395.2310291,287233905.444,287283682.39,287184128.499,287189106.194,287278704.695,2.0,4955488551.65,0.111101719985,0.00137405890783,112,0.111128939092,2.5733227401400003e-13,0.111290322581
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,267386523.712,78428.0993648,267386523.712,267441980.752,267331066.671,267336612.375,267436435.048,2.0,6150966769.97,0.111114149417,0.00137421262977,212,0.111128939092,2.5733227401400003e-13,0.111290322581
