npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-10174664.1788,40628433.4911,-10174664.1788,18553976.6517,-38903305.0093,-36030440.9263,15681112.5687,2.0,1650669607940000.0,0.25,0.25,39,0.249999659503,0.0156249787189,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-18939691.5372,5962645.23829,-18939691.5372,-14723464.6554,-23155918.419,-22734295.7309,-15145087.3436,2.0,35553138237700.0,0.25,0.250025424591,8,0.124999523304,0.00781326472195,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-134564306.315,43756341.2628,-134564306.315,-103623900.688,-165504711.942,-162410671.379,-106717941.251,2.0,1914617400700000.0,0.25,0.124987287705,70,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-226213417.137,20661386.3752,-226213417.137,-211603610.722,-240823223.551,-239362242.91,-213064591.363,2.0,426892886943000.0,0.25,0.25,34,0.249999659503,0.0156249787189,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-279991764.666,21441248.123,-279991764.666,-264830512.721,-295153016.611,-293636891.416,-266346637.915,2.0,459727121074000.0,0.125,0.250025424591,3,0.124999523304,0.00390663236098,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-293700329.866,35804902.2076,-293700329.866,-268382440.715,-319018219.017,-316486430.102,-270914229.631,2.0,1281991022090000.0,0.125,0.25,29,0.249999659503,0.00781248935947,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-305533944.15,11434143.2287,-305533944.15,-297448783.936,-313619104.364,-312810588.343,-298257299.958,2.0,130739631375000.0,0.25,0.124987287705,65,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-547996878.802,68033339.7041,-547996878.802,-499890042.951,-596103714.654,-591293031.069,-504700726.536,2.0,4628535311290000.0,0.25,0.124987287705,60,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-562955119.199,16661635.7243,-562955119.199,-551173563.593,-574736674.806,-573558519.245,-552351719.154,2.0,277610105010000.0,0.25,0.25,7,0.124999523304,0.00781247020653,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-586952815.619,7190265.75961,-586952815.619,-581868529.941,-592037101.296,-591528672.728,-582376958.509,2.0,51699921693800.0,0.25,0.25,69,0.250000340497,0.0156250212811,8.656992832709999e-15
