smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,823124208.197,18795.0461013,823132142.681,823136370.592,823096176.833,823101528.242,823135779.874,4.0,353253757.951,0.124990974078,0.125226860254,6,0.00391294293863,3.46688419418e-13,0.249992724848
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,783329288.691,38394.0607169,783329856.789,783372175.906,783285265.28,783289261.741,783368520.303,4.0,1474103898.33,0.124990974078,0.125226860254,11,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,743559200.214,72534.2108667,743574551.612,743629754.081,743457943.55,743474476.964,743622431.506,4.0,5261211746.05,0.124990974078,0.125226860254,16,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,703798373.06,49699.0919154,703812603.759,703841529.332,703726755.389,703739244.103,703837579.037,4.0,2469999737.21,0.124990974078,0.125226860254,21,0.00195657498961,3.46688419418e-13,0.125002976198
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,483780368.809,782660.463096,483859081.017,484539742.322,482863570.878,482945138.362,484505402.162,4.0,612557400494.0,0.250018051845,0.249546279492,32,0.0155973147564,3.46688419418e-13,0.249992724848
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,443851763.266,244270.575339,443905024.868,444087374.57,443509628.755,443566010.222,444062950.065,4.0,59668113976.7,0.250018051845,0.249546279492,37,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,404399798.98,583691.545958,404522610.735,404968036.356,403585938.092,403717783.88,404909877.622,4.0,340695820822.0,0.250018051845,0.249546279492,42,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,395110218.279,569481.681328,395182173.637,395664745.717,394411780.125,394483961.331,395635737.726,4.0,324309385368.0,0.250018051845,0.125226860254,31,0.0078270161323,3.46688419418e-13,0.249992724848
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,375367134.206,335640.562683,375347358.649,375716612.604,375057206.922,375064142.048,375697812.144,4.0,112654587318.0,0.250018051845,0.125226860254,26,0.00391330099566,3.46688419418e-13,0.12498974865
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,364206116.331,236540.855442,364118072.529,364552438.177,364035882.087,364041996.246,364493497.738,4.0,55951576293.1,0.250018051845,0.249546279492,47,0.00779907001867,3.46688419418e-13,0.125002976198
