smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-181944173.562,2399313.38331,-181702132.06,-179667892.241,-184704537.887,-184475442.981,-179751762.246,4.0,5756704711310.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-183911509.668,2493639.1089,-183604846.364,-181349193.363,-187087152.581,-186707757.927,-181544590.034,4.0,6218236005430.0,0.250018051845,0.00779855422245,0.124994709051,1.7334191682000001e-13,0.249546279492,52
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-199231355.978,2735818.21047,-198350588.512,-197003682.891,-203220563.998,-202507266.461,-197188519.948,4.0,7484701280720.0,0.250018051845,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.249546279492,57
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-207597290.052,1639041.66006,-207504829.812,-205692519.788,-209686980.797,-209382730.307,-205941294.134,4.0,2686457563420.0,0.250018051845,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.249546279492,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-220206435.668,1228144.46208,-220303276.084,-218729912.165,-221489278.339,-221398871.43,-218878423.323,4.0,1508338819750.0,0.250018051845,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,41
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-237080755.853,1410033.4092,-237035130.482,-235736189.385,-238516573.063,-238447730.823,-235777656.402,4.0,1988194215070.0,0.249981948155,0.015652020206,0.249996693157,1.7334191682000001e-13,0.250453720508,84
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-264592737.942,3131332.28294,-263518627.37,-262146057.782,-269187639.248,-268347314.347,-262341916.339,4.0,9805241866160.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,68
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-270229770.215,6387498.63291,-268499018.921,-265048098.824,-278872944.194,-277725660.327,-265156931.914,4.0,40800138785500.0,0.124990974078,0.00195644559034,0.124994709051,1.7334191682000001e-13,0.125226860254,105
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-280471929.338,1851888.48758,-280496082.664,-278406659.428,-282488892.595,-282338229.453,-278571814.566,4.0,3429490970440.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,62
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-301261329.397,930482.78963,-301354256.302,-300262304.397,-302074500.588,-302068244.527,-300324316.601,4.0,865798221797.0,0.250018051845,0.00391368407525,0.125001984106,1.7334191682000001e-13,0.125226860254,46
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-310261613.95,6131905.80798,-308945198.865,-304480318.234,-318675739.837,-317456018.367,-304910190.654,4.0,37600268838000.0,0.249981948155,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.250453720508,89
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-320626193.273,2031324.34911,-321346525.218,-317639363.639,-322172359.017,-322066639.476,-318177282.346,4.0,4126278611300.0,0.250018051845,0.00782714037597,0.249996693157,1.7334191682000001e-13,0.125226860254,56
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-320637731.384,5865777.42028,-321106212.831,-314159593.218,-326178906.655,-326000035.316,-314619553.426,4.0,34407344744200.0,0.249981948155,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249546279492,78
