smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-682959249.928,2185526.7427,-682020254.228,-681591489.223,-686205002.032,-685619779.796,-681613314.039,4.0,4776527143080.0,21,0.124990974078,0.125226860254,4.95258127397e-14,0.125000566882,0.00195653727845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-721533274.782,8222486.0751,-718501609.987,-715625641.304,-733504237.852,-731518833.835,-715792046.444,4.0,67609277255200.0,42,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-748952227.743,5102181.69261,-747647067.899,-744297914.933,-756216860.242,-754984675.875,-744747003.394,4.0,26032258024400.0,63,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-797405615.059,19156594.832,-798336556.878,-778904257.986,-814045088.493,-814012646.642,-779495264.929,4.0,366975125558000.0,84,0.249981948155,0.250453720508,4.95258127397e-14,0.249999055196,0.0156521680907
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-811181889.914,2514467.46126,-810354627.938,-809240480.286,-814777823.495,-814214917.2,-809307029.395,4.0,6322546613740.0,41,0.250018051845,0.125226860254,4.95258127397e-14,0.250000944804,0.00782727349068
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-811823169.688,26465160.4682,-807860558.116,-786107467.914,-845464094.605,-841588218.436,-787605777.14,4.0,700404718610000.0,77,0.249981948155,0.249546279492,4.95258127397e-14,0.124998488314,0.00779766383568
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-814484411.625,14868382.8091,-819012977.578,-793926608.601,-825985082.743,-825809408.561,-796819422.354,4.0,221068807358000.0,105,0.124990974078,0.125226860254,4.95258127397e-14,0.124998488314,0.00195650474422
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-844611995.466,14227174.6582,-840098401.72,-833156188.03,-865094990.392,-861765821.177,-833777200.998,4.0,202412498755000.0,62,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-887651093.947,11288825.2854,-886226088.024,-875572280.065,-902579919.676,-900453484.571,-876843711.616,4.0,127437576324000.0,83,0.249981948155,0.249546279492,4.95258127397e-14,0.249999055196,0.0155954573367
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-959345286.657,22313496.1433,-957940692.839,-937759851.674,-983739909.277,-982066136.303,-938590868.357,4.0,497892110136000.0,76,0.249981948155,0.125226860254,4.95258127397e-14,0.124998488314,0.00391300948845
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-959788590.629,29456989.4825,-950989088.205,-935746125.508,-1001430060.6,-995101883.069,-936794601.583,4.0,867714229373000.0,104,0.124990974078,0.250453720508,4.95258127397e-14,0.124998488314,0.00391300948845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-967076855.121,12939503.1843,-965282960.617,-954528072.115,-983213427.134,-981460578.043,-955204584.504,4.0,167430742657000.0,61,0.250018051845,0.125226860254,4.95258127397e-14,0.250000944804,0.00782727349068
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-997499320.112,4843053.2821,-995917996.78,-993604907.301,-1004556379.59,-1003327350.15,-993885142.74,4.0,23455165093300.0,47,0.250018051845,0.249546279492,4.95258127397e-14,0.125000566882,0.00779891969886
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1006110204.29,6293078.33114,-1007408140.73,-998302769.392,-1011321766.3,-1011289142.51,-999114155.04,4.0,39602834881800.0,82,0.249981948155,0.249546279492,4.95258127397e-14,0.249999055196,0.0155954573367
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1032987920.36,8073188.18687,-1034747434.84,-1021899405.17,-1040557406.59,-1040005608.46,-1023506911.99,4.0,65176367500600.0,68,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1079442834.52,27314053.6643,-1079601370.75,-1046147558.05,-1112421038.54,-1108185351.47,-1050478366.85,4.0,746057527574000.0,89,0.249981948155,0.250453720508,4.95258127397e-14,0.250000944804,0.015652286397
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1081374808.16,19066502.0456,-1083148310.54,-1061359253.79,-1097843357.76,-1097793228.99,-1062473483.99,4.0,363531500255000.0,110,0.124990974078,0.125226860254,4.95258127397e-14,0.249999055196,0.00391304202267
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1088355434.99,5631374.82666,-1086037447.24,-1084713893.3,-1096632952.2,-1095215076.38,-1084740976.46,4.0,31712382438400.0,46,0.250018051845,0.125226860254,4.95258127397e-14,0.125000566882,0.00391363970343
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1094219337.32,9028299.45761,-1094002819.4,-1083636147.97,-1105235562.52,-1103903640.59,-1084838159.15,4.0,81510191096300.0,103,0.124990974078,0.249546279492,4.95258127397e-14,0.124998488314,0.00389883191784
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1125187731.56,2929399.44721,-1124798382.78,-1122307455.86,-1128846704.82,-1128445040.94,-1122475510.48,4.0,8581381121310.0,81,0.249981948155,0.125226860254,4.95258127397e-14,0.249999055196,0.00782608404535
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1132499745.44,9118152.95481,-1134120260.09,-1120327504.43,-1141430957.16,-1140761786.94,-1121968983.44,4.0,83140713307400.0,67,0.250018051845,0.249546279492,4.95258127397e-14,0.250000944804,0.0155978276082
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1167309571.88,10287654.1531,-1169605462.2,-1154346318.57,-1175681044.56,-1175649721.35,-1155755175.97,4.0,105835827974000.0,88,0.249981948155,0.249546279492,4.95258127397e-14,0.250000944804,0.0155955752144
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1218247450.26,30125271.4261,-1228148791.15,-1174759851.38,-1241932367.37,-1240779562.11,-1181853461.17,4.0,907531978497000.0,109,0.124990974078,0.250453720508,4.95258127397e-14,0.249999055196,0.00782608404535
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1248067066.02,11258372.0832,-1247085450.39,-1235397152.44,-1262700210.86,-1260561191.41,-1236947202.5,4.0,126750941965000.0,66,0.250018051845,0.125226860254,4.95258127397e-14,0.250000944804,0.00782727349068
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1252953644.2,14307908.3133,-1248954390.3,-1240425803.54,-1273479992.67,-1270010155.78,-1241496088.1,4.0,204716240301000.0,102,0.124990974078,0.249546279492,4.95258127397e-14,0.124998488314,0.00389883191784
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1285127852.23,15003342.7985,-1283698644.63,-1272098204.25,-1301015915.41,-1300092063.14,-1272164531.96,4.0,225100295131000.0,87,0.249981948155,0.249546279492,4.95258127397e-14,0.250000944804,0.0155955752144
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1317140378.48,16357304.0041,-1316406951.36,-1302974294.45,-1332773316.76,-1332321133.44,-1302986421.5,4.0,267561394281000.0,73,0.250018051845,0.249546279492,4.95258127397e-14,0.125000566882,0.00779891969886
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1342680449.15,30256713.8361,-1337466048.64,-1312555357.39,-1383234341.92,-1377623580.85,-1315037478.16,4.0,915468732162000.0,108,0.124990974078,0.249546279492,4.95258127397e-14,0.249999055196,0.00779772866837
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1343628807.01,16034106.7433,-1340693841.44,-1327434517.01,-1365693028.13,-1362179484.85,-1329187080.95,4.0,257092579056000.0,94,0.249981948155,0.250453720508,4.95258127397e-14,0.250000944804,0.015652286397
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1374619873.43,22873522.2587,-1375458965.9,-1345801675.92,-1401759886.0,-1397926853.25,-1350138164.15,4.0,523198020518000.0,115,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1408847856.68,14541466.5855,-1413989134.66,-1387843506.35,-1419569651.07,-1419266683.83,-1391231240.37,4.0,211454250457000.0,101,0.124990974078,0.125226860254,4.95258127397e-14,0.124998488314,0.00195650474422
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1409472047.85,5231921.04093,-1407842017.95,-1405434765.89,-1416769389.59,-1415715957.19,-1405510180.36,4.0,27372997778600.0,72,0.250018051845,0.249546279492,4.95258127397e-14,0.125000566882,0.00779891969886
