npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2313582335.64,9423745.65845,2313582335.64,2320245930.1,2306918741.18,2307585100.63,2319579570.65,2.0,88806982235100.0,1.17734560967e-13,0.25,0.125,31,0.249994792742,0.00781233727318
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2256243724.59,3892747.0607,2256243724.59,2258996312.43,2253491136.74,2253766395.53,2258721053.65,2.0,15153479678600.0,1.17734560967e-13,0.25,0.125,36,0.250004260484,0.00781263314013
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2217979119.91,4090017.84423,2217979119.91,2220871199.26,2215087040.55,2215376248.49,2220581991.32,2.0,16728245966100.0,1.17734560967e-13,0.25,0.25,78,0.124993135887,0.00781207099292
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2217950579.09,34389649.467,2217950579.09,2242267733.43,2193633424.75,2196065140.18,2239836017.99,2.0,1182647990460000.0,1.17734560967e-13,0.25,0.25,52,0.124993135887,0.00781207099292
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2213741961.51,59443845.3791,2213741961.51,2255775107.68,2171708815.34,2175912129.96,2251571793.06,2.0,3533570753460000.0,1.17734560967e-13,0.25,0.25,57,0.249994792742,0.0156246745464
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2199720864.36,6391161.36483,2199720864.36,2204240097.9,2195201630.82,2195653554.17,2203788174.55,2.0,40846943591300.0,1.17734560967e-13,0.25,0.125,41,0.250005207258,0.00781266272682
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2187293228.65,9366397.22723,2187293228.65,2193916271.64,2180670185.65,2181332489.95,2193253967.34,2.0,87729397018200.0,1.17734560967e-13,0.25,0.25,88,0.250004260484,0.0156252662803
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2176668712.72,12908304.7965,2176668712.72,2185796262.57,2167541162.86,2168453917.85,2184883507.58,2.0,166624332719000.0,1.17734560967e-13,0.25,0.25,62,0.250004260484,0.0156252662803
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2166927908.33,36396453.7124,2166927908.33,2192664087.56,2141191729.1,2143765347.02,2190090469.63,2.0,1324701842840000.0,1.17734560967e-13,0.25,0.125,26,0.124993135887,0.00390603549646
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2148879975.6,36628775.0781,2148879975.6,2174780430.85,2122979520.36,2125569565.88,2172190385.32,2.0,1341667163720000.0,1.17734560967e-13,0.125,0.25,109,0.249994792742,0.00781233727318
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2147228256.57,79958787.6378,2147228256.57,2203767657.52,2090688855.61,2096342795.71,2198113717.43,2.0,6393407720510000.0,1.17734560967e-13,0.25,0.25,83,0.249994792742,0.0156246745464
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2128848222.95,26436152.4867,2128848222.95,2147541405.64,2110155040.25,2112024358.52,2145672087.37,2.0,698870158300000.0,1.17734560967e-13,0.125,0.25,114,0.250004260484,0.00781263314013
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2117612235.88,72310976.7207,2117612235.88,2168743817.87,2066480653.88,2071593812.08,2163630659.67,2.0,5228877354300000.0,1.17734560967e-13,0.25,0.25,67,0.250005207258,0.0156253254536
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2093759352.82,110623525.501,2093759352.82,2171981997.86,2015536707.77,2023358972.28,2164159733.35,2.0,1.22375643943e+16,1.17734560967e-13,0.125,0.25,104,0.124993135887,0.00390603549646
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2079060139.17,13742725.5027,2079060139.17,2088777713.57,2069342564.78,2070314322.22,2087805956.13,2.0,188862504243000.0,1.17734560967e-13,0.25,0.125,46,0.125002603629,0.00390633136341
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2044667528.52,4044552.06102,2044667528.52,2047527458.71,2041807598.34,2042093591.35,2047241465.69,2.0,16358401374300.0,1.17734560967e-13,0.25,0.25,72,0.125002603629,0.00781266272682
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2033261768.41,6542445.39776,2033261768.41,2037887975.92,2028635560.9,2029098181.66,2037425355.17,2.0,42803591782600.0,1.17734560967e-13,0.25,0.125,56,0.249994792742,0.00781233727318
