smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,7079458.79931,21884809.3219,7079458.79931,22554355.8758,-8395438.27715,-6847948.5695,21006866.1681,2.0,478944879054000.0,8.74780185431e-15,0.125,0.00390623461174,0.25,0.124999507576,15
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-43695884.7638,41899649.7246,-43695884.7638,-14068358.3142,-73323411.2134,-70360658.5684,-17031110.9592,2.0,1755580647040000.0,8.74780185431e-15,0.25,0.00390623461174,0.125,0.124999507576,4
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-62594521.2991,33443714.6438,-62594521.2991,-38946243.8864,-86242798.7118,-83877970.9705,-41311071.6277,2.0,1118482049180000.0,8.74780185431e-15,0.25,0.00781248900839,0.125,0.249999648268,28
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-149176311.667,34055567.9727,-149176311.667,-125095388.617,-173257234.718,-170849142.413,-127503480.922,2.0,1159781709950000.0,8.74780185431e-15,0.25,0.0156249780168,0.25,0.249999648268,44
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-210449482.847,4602618.71463,-210449482.847,-207194939.943,-213704025.751,-213378571.461,-207520394.233,2.0,21184099032300.0,8.74780185431e-15,0.25,0.0156249780168,0.25,0.249999648268,39
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-229022237.843,34446437.7971,-229022237.843,-204664928.089,-253379547.597,-250943816.621,-207100659.064,2.0,1186557076910000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,57
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-279053272.656,10344512.6023,-279053272.656,-271738597.646,-286367947.665,-285636480.164,-272470065.147,2.0,107008940980000.0,8.74780185431e-15,0.125,0.00390624450419,0.125,0.249999648268,50
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-311342681.4,28895335.3798,-311342681.4,-290910593.808,-331774768.991,-329731560.232,-292953802.567,2.0,834940406708000.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,52
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-314828976.188,202188343.591,-314828976.188,-171860227.358,-457797725.018,-443500850.135,-186157102.241,2.0,4.08801262841e+16,8.74780185431e-15,0.125,0.00390623461174,0.25,0.124999507576,10
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-385042553.567,31451848.7234,-385042553.567,-362802738.054,-407282369.08,-405058387.529,-365026719.605,2.0,989218788123000.0,8.74780185431e-15,0.25,0.0156249780168,0.25,0.249999648268,34
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-536502543.915,26346602.4639,-536502543.915,-517872682.651,-555132405.178,-553269419.052,-519735668.778,2.0,694143461390000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,63
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-544892890.898,23573125.9366,-544892890.898,-528224173.694,-561561608.101,-559894736.381,-529891045.415,2.0,555692266422000.0,8.74780185431e-15,0.125,0.00195311730587,0.125,0.124999507576,5
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-578592196.961,15693313.7886,-578592196.961,-567495348.361,-589689045.56,-588579360.7,-568605033.221,2.0,246280097666000.0,8.74780185431e-15,0.125,0.00781248900839,0.25,0.249999648268,45
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-607339475.054,72066733.8273,-607339475.054,-556380598.866,-658298351.241,-653202463.622,-561476486.485,2.0,5193614124540000.0,8.74780185431e-15,0.25,0.00781248900839,0.125,0.249999648268,29
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-633908048.913,23688652.9373,-633908048.913,-617157641.784,-650658456.042,-648983415.329,-618832682.497,2.0,561152277983000.0,8.74780185431e-15,0.125,0.00390625549581,0.125,0.250000351732,76
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-640065016.464,27160243.7047,-640065016.464,-620859823.962,-659270208.967,-657349689.716,-622780343.212,2.0,737678838099000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,58
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-740583406.985,41606768.7213,-740583406.985,-711162978.679,-770003835.291,-767061792.46,-714105021.509,2.0,1731123203430000.0,8.74780185431e-15,0.125,0.00781248900839,0.25,0.249999648268,40
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-777742934.043,11362428.2321,-777742934.043,-769708483.989,-785777384.096,-784973939.091,-770511928.994,2.0,129104775329000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,69
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-863561276.873,18022643.6203,-863561276.873,-850817343.354,-876305210.392,-875030817.04,-852091736.706,2.0,324815683063000.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,53
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-938591737.132,30792619.7883,-938591737.132,-916818066.869,-960365407.395,-958188040.369,-918995433.896,2.0,948185433427000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,82
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-982862092.226,19110285.2147,-982862092.226,-969349079.961,-996375104.492,-995023803.266,-970700381.187,2.0,365203000986000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,64
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1004478749.62,74651305.9572,-1004478749.62,-951692304.951,-1057265194.28,-1051986549.82,-956970949.417,2.0,5572817481120000.0,8.74780185431e-15,0.125,0.00781248900839,0.25,0.249999648268,35
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1109455807.31,19285101.0386,-1109455807.31,-1095819181.59,-1123092433.03,-1121728770.45,-1097182844.16,2.0,371915122069000.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,77
