npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,767506719.79,18933822.2005,773227143.834,783254101.543,740318489.948,744747858.011,782256987.906,4.0,358489623120000.0,3.9741070500699994e-14,56,0.25,0.125210084034,0.249999116588,0.00782560259907
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,719644956.453,8782917.4851,721721184.294,727548141.776,707589315.449,709298322.258,727084871.672,4.0,77139639550100.0,3.9741070500699994e-14,83,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,714562235.316,4649630.21385,713683985.931,720821827.917,710059141.485,710394638.493,719959381.277,4.0,21619061125500.0,3.9741070500699994e-14,63,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,643638757.509,15361727.5856,639481850.193,664421247.268,631170082.382,631433183.016,661664002.244,4.0,235982674414000.0,3.9741070500699994e-14,110,0.125,0.125210084034,0.249999116588,0.00391280129954
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,637961761.954,9308247.65924,637216923.208,649708336.576,627704864.826,628712278.038,648254020.116,4.0,86643474485700.0,3.9741070500699994e-14,76,0.25,0.125210084034,0.124998763223,0.00391277641181
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,635084735.523,7722418.0333,635980083.194,641752189.415,626626586.287,627199115.29,641716869.015,4.0,59635740281000.0,3.9741070500699994e-14,103,0.125,0.249579831933,0.124998763223,0.00389964628962
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,599374777.2,8147215.65103,599956132.249,607397056.179,590189788.124,590906734.118,607028923.214,4.0,66377122864400.0,3.9741070500699994e-14,42,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,595954867.508,18464270.3711,598588920.275,614406204.066,572235425.416,575097218.361,613124842.781,4.0,340929280336000.0,3.9741070500699994e-14,62,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,578252074.572,14191258.0087,580916561.878,590239387.417,560935787.116,562649430.252,590124436.664,4.0,201391803870000.0,3.9741070500699994e-14,82,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,543333146.336,12686814.1991,547872174.637,552811255.63,524776980.439,527950895.073,552360757.977,4.0,160955254522000.0,3.9741070500699994e-14,89,0.25,0.250420168067,0.250000883412,0.0156513158103
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,510162850.087,27437762.2241,511311282.079,542333987.493,475694848.695,480429587.878,538288307.505,4.0,752830795864000.0,3.9741070500699994e-14,109,0.125,0.250420168067,0.249999116588,0.00782560259907
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,502856391.291,2219113.67039,503393558.379,504830489.358,499807959.047,500239399.497,504721349.162,4.0,4924465482130.0,3.9741070500699994e-14,41,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,501317303.821,2162929.74849,501583584.441,503419600.194,498682446.209,498948879.948,503312934.827,4.0,4678265096880.0,3.9741070500699994e-14,21,0.125,0.125210084034,0.125000353365,0.00195641309363
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,471382272.04,20589209.1087,473229072.814,491467518.793,447603423.738,449622212.755,490556810.24,4.0,423915531721000.0,3.9741070500699994e-14,61,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,448470398.836,32570617.0278,455687407.674,475887334.874,406619445.124,411435880.661,475401104.64,4.0,1060845093570000.0,3.9741070500699994e-14,102,0.125,0.249579831933,0.124998763223,0.00389964628962
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,447624677.222,17705444.139,454184329.749,460599462.545,421530586.844,426188096.56,459877744.345,4.0,313482752158000.0,3.9741070500699994e-14,81,0.25,0.125210084034,0.249999116588,0.00782560259907
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,431534535.212,11564894.8682,433429033.944,443547446.317,415732626.642,418362951.861,442053820.338,4.0,133746793313000.0,3.9741070500699994e-14,88,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,408167808.118,25089891.4105,411426281.685,433751424.342,376067244.758,379938992.762,431834760.478,4.0,629502650992000.0,3.9741070500699994e-14,68,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,374917748.584,35317561.3267,380752586.621,411060880.582,327104940.511,334194497.849,407472226.066,4.0,1247330138060000.0,3.9741070500699994e-14,108,0.125,0.249579831933,0.249999116588,0.00779934218767
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,360232931.604,54718308.765,382882939.047,396349580.035,278816268.287,293915950.158,394839902.63,4.0,2994093314110000.0,3.9741070500699994e-14,115,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,322398569.254,3907555.55521,321715917.098,327707835.099,318454607.721,318830964.295,326921887.232,4.0,15268990417000.0,3.9741070500699994e-14,47,0.25,0.249579831933,0.125000353365,0.00779939179609
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,301969952.634,2328801.40286,302523498.388,304144050.757,298688763.003,299220991.822,303943949.39,4.0,5423315973940.0,3.9741070500699994e-14,87,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,301511545.568,30137856.9601,304629259.079,330556582.213,266231081.9,269355957.559,329302334.661,4.0,908290422147000.0,3.9741070500699994e-14,101,0.125,0.125210084034,0.124998763223,0.0019563882059
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,287459184.196,13609319.4289,288051005.727,302018398.35,271716326.977,273132007.432,300957810.815,4.0,185213575318000.0,3.9741070500699994e-14,67,0.25,0.249579831933,0.250000883412,0.0155987946163
