smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-204509155.763,935401.373581,-204509155.763,-203847727.109,-205170584.417,-205104441.552,-203913869.974,2.0,874975729697.0,33,0.249963898917,3.66466187075e-13,0.250453720508,0.0156507031859,0.249993707579
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-204532921.405,279536.102083,-204532921.405,-204335259.532,-204730583.279,-204710817.091,-204355025.719,2.0,78140432367.8,8,0.249963898917,3.66466187075e-13,0.250453720508,0.00782491388941,0.12498986221
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-242315587.343,540847.75152,-242315587.343,-241933150.23,-242698024.455,-242659780.744,-241971393.941,2.0,292516290325.0,58,0.249963898917,3.66466187075e-13,0.250453720508,0.0156514910523,0.250006292421
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-280909727.44,59897.0561574,-280909727.44,-280867373.825,-280952081.054,-280947845.693,-280871609.187,2.0,3587657336.33,83,0.249963898917,3.66466187075e-13,0.250453720508,0.0156514910523,0.250006292421
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-320288260.474,160714.902556,-320288260.474,-320174617.877,-320401903.072,-320390538.812,-320185982.137,2.0,25829279903.5,108,0.249963898917,3.66466187075e-13,0.250453720508,0.00782578929651,0.125003845369
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-340400164.984,69022.0775267,-340400164.984,-340351359.005,-340448970.963,-340444090.365,-340356239.602,2.0,4764047186.1,28,0.249963898917,3.66466187075e-13,0.125226860254,0.00782535159296,0.249993707579
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-363354612.641,1834783.09325,-363354612.641,-362057225.074,-364652000.208,-364522261.452,-362186963.831,2.0,3366428999280.0,3,0.249963898917,3.66466187075e-13,0.125226860254,0.00391245694471,0.12498986221
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-378499504.5,2500890.21014,-378499504.5,-376731108.073,-380267900.926,-380091061.284,-376907947.716,2.0,6254451843170.0,53,0.249963898917,3.66466187075e-13,0.125226860254,0.00782574552616,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-386824539.792,282432.609791,-386824539.792,-386624829.779,-387024249.806,-387004278.805,-386644800.78,2.0,79768179073.6,19,0.25,3.66466187075e-13,0.249546279492,0.00779768877217,0.12498986221
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-417877534.966,1352707.59462,-417877534.966,-416921026.253,-418834043.679,-418738392.808,-417016677.124,2.0,1829817836530.0,78,0.249963898917,3.66466187075e-13,0.125226860254,0.00782574552616,0.250006292421
