smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-63206391.0179,25893956.7672,-58555530.3391,-41661760.6342,-94052742.7592,-91221415.0956,-41702571.8905,4.0,670496997059000.0,4.95258127397e-14,0.250018051845,0.125226860254,56,0.249999055196,0.00782721432901
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-75881462.8817,19362807.4346,-69127603.7197,-60985044.2194,-104285599.868,-99244942.2626,-61973386.3276,4.0,374918311750000.0,4.95258127397e-14,0.249981948155,0.250453720508,84,0.249999055196,0.0156521680907
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-84515791.0779,1623028.09839,-84798847.084,-82326771.8209,-86138698.3227,-85997418.5627,-82637885.1845,4.0,2634220208160.0,4.95258127397e-14,0.124990974078,0.125226860254,21,0.125000566882,0.00195653727845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-88505049.8418,8464366.38608,-84651243.9375,-83557741.7803,-101159969.712,-98766501.127,-83638926.8226,4.0,71645498317900.0,4.95258127397e-14,0.250018051845,0.249546279492,42,0.250000944804,0.0155978276082
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-95340283.0366,19051525.9779,-90350033.8944,-78507409.3125,-122153655.045,-118026314.575,-79640600.2976,4.0,362960642087000.0,4.95258127397e-14,0.250018051845,0.249546279492,63,0.250000944804,0.0155978276082
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-156647654.52,14766312.0328,-161650862.291,-135158252.528,-168130640.968,-167500962.884,-138789855.276,4.0,218043971050000.0,4.95258127397e-14,0.249981948155,0.249546279492,77,0.124998488314,0.00779766383568
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-200197064.127,7093138.71712,-198173958.44,-194025632.035,-210414707.594,-208633208.948,-194593267.269,4.0,50312616860300.0,4.95258127397e-14,0.250018051845,0.125226860254,41,0.250000944804,0.00782727349068
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-208399175.814,23004717.5955,-201842207.199,-188732202.952,-241180085.905,-235952614.495,-190025493.193,4.0,529217031649000.0,4.95258127397e-14,0.249981948155,0.249546279492,83,0.249999055196,0.0155954573367
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-210500329.032,15431228.0387,-205075577.653,-198993083.865,-232857076.956,-229201522.182,-199393787.813,4.0,238122798781000.0,4.95258127397e-14,0.250018051845,0.249546279492,62,0.250000944804,0.0155978276082
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-245919052.511,25182190.6283,-244864720.651,-223125316.612,-270821452.13,-269852982.87,-223461186.756,4.0,634142724839000.0,4.95258127397e-14,0.124990974078,0.250453720508,104,0.124998488314,0.00391300948845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-330573747.252,14637217.0812,-329102378.335,-314463252.207,-349626980.133,-346970437.74,-316236973.25,4.0,214248123882000.0,4.95258127397e-14,0.249981948155,0.125226860254,76,0.124998488314,0.00391300948845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-337185026.87,7133286.68592,-338456680.741,-327483531.532,-344343214.467,-343673911.191,-328915827.13,4.0,50883778943500.0,4.95258127397e-14,0.250018051845,0.125226860254,61,0.250000944804,0.00782727349068
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-339238875.243,14803055.0281,-333082373.565,-329577204.733,-361213549.11,-357239252.791,-329857600.045,4.0,219130438164000.0,4.95258127397e-14,0.249981948155,0.249546279492,82,0.249999055196,0.0155954573367
