npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,752515053.921,264534.293328,752515053.921,752702107.913,752327999.928,752346705.327,752683402.514,2.0,69978392346.5,0.00779081278539,1.0563053673200001e-12,13,0.12498630137,0.25,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,732687846.587,29095.3209487,732687846.587,732708420.085,732667273.088,732669330.438,732706362.736,2.0,846537701.105,0.0155827640791,1.0563053673200001e-12,38,0.24999086758,0.25,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,711622377.841,367513.413217,711622377.841,711882249.068,711362506.614,711388493.737,711856261.945,2.0,135066108894.0,0.0155839025875,1.0563053673200001e-12,63,0.25000913242,0.25,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,690215727.366,257896.953103,690215727.366,690398088.05,690033366.681,690051602.75,690379851.982,2.0,66510838420.0,0.0155839025875,1.0563053673200001e-12,88,0.25000913242,0.25,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,668939410.175,207448.6613,668939410.175,669086098.53,668792721.819,668807390.655,669071429.694,2.0,43034947075.0,0.00779195129376,1.0563053673200001e-12,113,0.12500456621,0.25,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,666632220.012,24808.7673399,666632220.012,666649762.46,666614677.564,666616431.809,666648008.215,2.0,615474936.924,0.00783247488584,1.0563053673200001e-12,8,0.12498630137,0.25,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,661312569.034,15275.7213939,661312569.034,661323370.6,661301767.468,661302847.624,661322290.444,2.0,233347664.105,0.0156660943683,1.0563053673200001e-12,33,0.24999086758,0.25,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,639210474.964,537817.764436,639210474.964,639590769.552,638830180.375,638868209.834,639552740.093,2.0,289247947742.0,0.015667238965,1.0563053673200001e-12,58,0.25000913242,0.25,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,618560065.233,324133.929176,618560065.233,618789262.532,618330867.933,618353787.663,618766342.802,2.0,105062804043.0,0.015667238965,1.0563053673200001e-12,83,0.25000913242,0.25,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,597062574.216,379626.092476,597062574.216,597331010.4,596794138.032,596820981.65,597304166.782,2.0,144115970089.0,0.0078336194825,1.0563053673200001e-12,108,0.12500456621,0.25,0.250666666667
