smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,842847823.377,628885.49296,842847823.377,843292512.574,842403134.181,842447603.1,843248043.654,2.0,395496963255.0,2.43433201164e-13,0.00781194885362,0.25,27,0.25,0.124991181658
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,791528542.205,1003701.71782,791528542.205,792238266.496,790818817.914,790889790.343,792167294.067,2.0,1007417138360.0,2.43433201164e-13,0.0156246325691,0.25,32,0.25,0.249994121105
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,738624348.909,1235751.97117,738624348.909,739498157.508,737750540.31,737837921.17,739410776.648,2.0,1527082934250.0,2.43433201164e-13,0.0156253674309,0.25,37,0.25,0.250005878895
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,688642429.559,471790.727651,688642429.559,688976035.982,688308823.136,688342183.779,688942675.34,2.0,222586490697.0,2.43433201164e-13,0.0156253674309,0.25,42,0.25,0.250005878895
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,686526245.235,1888855.88085,686526245.235,687861868.037,685190622.433,685324184.713,687728305.757,2.0,3567776538610.0,2.43433201164e-13,0.00781231628454,0.25,31,0.125,0.249994121105
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,658212451.852,1422631.36569,658212451.852,659218404.138,657206499.567,657307094.795,659117808.91,2.0,2023880002630.0,2.43433201164e-13,0.00390597442681,0.25,26,0.125,0.124991181658
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,638638086.981,2471276.15178,638638086.981,640385543.106,636890630.856,637065376.469,640210797.494,2.0,6107205818360.0,2.43433201164e-13,0.00781268371546,0.25,47,0.25,0.125002939447
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,635271127.745,779957.84972,635271127.745,635822641.229,634719614.26,634774765.609,635767489.881,2.0,608334247341.0,2.43433201164e-13,0.00781268371546,0.25,36,0.125,0.250005878895
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,582721150.978,3280961.84822,582721150.978,585041141.35,580401160.606,580633159.643,584809142.312,2.0,10764710649500.0,2.43433201164e-13,0.00781268371546,0.25,41,0.125,0.250005878895
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,533324250.886,1001623.11372,533324250.886,534032505.382,532615996.39,532686821.839,533961679.932,2.0,1003248861940.0,2.43433201164e-13,0.00390634185773,0.25,46,0.125,0.125002939447
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,402397656.124,1787434.76094,402397656.124,403661563.365,401133748.884,401260139.608,403535172.641,2.0,3194923024620.0,2.43433201164e-13,0.0156246325691,0.25,57,0.25,0.249994121105
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,384481411.84,3497423.05257,384481411.84,386954463.397,382008360.283,382255665.438,386707158.241,2.0,12231968008700.0,2.43433201164e-13,0.00781194885362,0.25,52,0.25,0.124991181658
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,354579018.224,1466524.65597,354579018.224,355616007.753,353542028.695,353645727.648,355512308.8,2.0,2150694566580.0,2.43433201164e-13,0.0156253674309,0.25,62,0.25,0.250005878895
