smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-627897523.465,318775.989166,-627831024.931,-627608062.389,-628319981.609,-628266124.166,-627622020.712,4.0,101618131269.0,3.46688419418e-13,0.250018051845,0.0155982225654,0.250007275152,0.249546279492,68
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-660071864.574,276423.258572,-660068193.957,-659800929.516,-660350140.865,-660337539.548,-659811328.463,4.0,76409817879.4,3.46688419418e-13,0.250018051845,0.00779824473773,0.12498974865,0.249546279492,52
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-669781360.185,305024.602072,-669840208.361,-669410661.617,-670034362.402,-670033454.901,-669446878.023,4.0,93040007868.9,3.46688419418e-13,0.250018051845,0.00779907001867,0.125002976198,0.249546279492,73
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-678168090.245,526129.684708,-678101171.016,-677603166.425,-678866852.522,-678764583.019,-677665284.39,4.0,276812445131.0,3.46688419418e-13,0.250018051845,0.0155973147564,0.249992724848,0.249546279492,57
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-720143963.863,436405.920408,-719974069.919,-719846597.828,-720781117.786,-720674769.327,-719851009.921,4.0,190450127368.0,3.46688419418e-13,0.250018051845,0.0155982225654,0.250007275152,0.249546279492,62
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-761994114.473,419087.546868,-761877433.045,-761630151.632,-762591440.17,-762495159.429,-761656423.516,4.0,175634371940.0,3.46688419418e-13,0.250018051845,0.0155982225654,0.250007275152,0.249546279492,67
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-804769592.283,663205.284377,-805024943.511,-803786700.589,-805241781.522,-805210183.453,-803971509.394,4.0,439841249226.0,3.46688419418e-13,0.250018051845,0.00779907001867,0.125002976198,0.249546279492,72
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-816911503.771,266188.550308,-816876938.437,-816634706.834,-817257431.378,-817212861.111,-816658537.901,4.0,70856344314.9,3.46688419418e-13,0.250018051845,0.00391330099566,0.12498974865,0.125226860254,51
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-820520392.616,737334.234538,-820701846.39,-819514106.152,-821163771.531,-821133968.034,-819652781.913,4.0,543661773421.0,3.46688419418e-13,0.250018051845,0.0078270161323,0.249992724848,0.125226860254,56
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-862102744.715,334621.896311,-862110733.769,-861685084.977,-862504426.345,-862445376.323,-861748928.431,4.0,111971813491.0,3.46688419418e-13,0.250018051845,0.00782747168739,0.250007275152,0.125226860254,61
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-893224000.979,437663.752808,-893364836.444,-892585968.038,-893580362.991,-893551215.12,-892699617.189,4.0,191549560522.0,3.46688419418e-13,0.249981948155,0.00782547179608,0.12498974865,0.250453720508,79
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-905177285.347,407529.20921,-905355442.041,-904569903.318,-905428353.986,-905423041.858,-904682109.464,4.0,166080056359.0,3.46688419418e-13,0.250018051845,0.00782747168739,0.250007275152,0.125226860254,66
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-935224311.666,277681.332541,-935171959.101,-934983980.83,-935569347.631,-935533225.361,-934988691.561,4.0,77106922441.5,3.46688419418e-13,0.249981948155,0.0156517717545,0.249992724848,0.250453720508,84
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-946895582.496,673124.487995,-946793186.41,-946298816.992,-947697140.171,-947623366.039,-946311153.472,4.0,453096576338.0,3.46688419418e-13,0.250018051845,0.00391371513664,0.125002976198,0.125226860254,71
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-977280423.931,397989.159931,-977239877.306,-976867016.665,-977774924.447,-977719870.44,-976897742.697,4.0,158395371423.0,3.46688419418e-13,0.249981948155,0.0156526827331,0.250007275152,0.250453720508,89
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1018938211.8,378215.880066,-1018991398.68,-1018455760.69,-1019314289.13,-1019289403.85,-1018512558.1,4.0,143047251934.0,3.46688419418e-13,0.249981948155,0.0156526827331,0.250007275152,0.250453720508,94
