smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,122238839.06,19846.6280512,122238839.06,122252872.746,122224805.375,122226208.744,122251469.377,2.0,393888645.002,81,1.21719856843e-13,0.111112744118,0.000343471651123,0.0556451612903,0.0555519897304
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,122073996.689,547267.171502,122073996.689,122460973.017,121687020.361,121725717.994,122422275.384,2.0,299501357003.0,202,1.21719856843e-13,0.0555501992922,0.000686866977231,0.111290322581,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,122061087.589,150152.334128,122061087.589,122167261.323,121954913.856,121965531.229,122156643.949,2.0,22545723444.0,152,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,118275711.616,1677305.65158,118275711.616,119461745.817,117089677.416,117208280.836,119343142.397,2.0,2813354248830.0,212,1.21719856843e-13,0.11110627741,0.00137380664495,0.111290322581,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,117174880.407,1263557.61344,117174880.407,118068350.564,116281410.25,116370757.266,117979003.548,2.0,1596577842480.0,141,1.21719856843e-13,0.111112156236,0.000686939667721,0.0556451612903,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,86514504.1667,1882973.86644,86514504.1667,87845967.7565,85183040.5769,85316186.9359,87712821.3975,2.0,3545590581710.0,233,1.21719856843e-13,0.111112744118,0.00137388660449,0.111290322581,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,84394667.5427,165072.015606,84394667.5427,84511391.0843,84277944.0011,84289616.3553,84499718.7302,2.0,27248770336.3,162,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,83757036.1523,120585.050556,83757036.1523,83842302.6593,83671769.6454,83680296.2961,83833776.0086,2.0,14540754417.5,91,1.21719856843e-13,0.0555560781178,0.00017173491693,0.0556451612903,0.0555519897304
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,81710716.0322,2091440.64833,81710716.0322,83189587.897,80231844.1673,80379731.3538,83041700.7106,2.0,4374123985480.0,222,1.21719856843e-13,0.111112744118,0.00137388660449,0.111290322581,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,80607859.6845,1443946.04313,80607859.6845,81628883.7233,79586835.6458,79688938.0496,81526781.3194,2.0,2084980175480.0,151,1.21719856843e-13,0.111112156236,0.000686939667721,0.0556451612903,0.111103979461
