smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,205464799.706,20735598.2026,212648803.739,227887501.708,158293190.985,171125545.486,225964473.545,10.0,429965032818000.0,0.249992724848,56,0.125226860254,0.0078270161323,0.250018051845,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,192563127.424,29554280.9102,185209510.357,245319786.926,159673225.722,161152888.613,237171791.648,10.0,873455520118000.0,0.250007275152,89,0.250453720508,0.0156526827331,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,182047386.871,48398583.7399,177840646.428,259667698.618,97070859.6372,114125251.414,246316459.336,10.0,2342422908030000.0,0.12498974865,105,0.125226860254,0.00195636794902,0.124990974078,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,171831731.323,20444546.1233,165400935.094,205931757.048,143667361.52,149258376.717,201295970.047,10.0,417979466189000.0,0.125002976198,72,0.249546279492,0.00779907001867,0.250018051845,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,165929075.658,16987251.1347,168088803.399,188278227.461,131221034.756,140738715.787,187550591.916,10.0,288566701112000.0,0.250007275152,61,0.125226860254,0.00782747168739,0.250018051845,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,165281205.627,20345578.537,167071968.913,196522719.036,115442721.352,135584812.808,187793589.876,10.0,413942566005000.0,0.249992724848,83,0.249546279492,0.0155950624366,0.249981948155,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,156162082.825,36833287.3063,161077032.969,214807451.455,111929941.059,112180497.315,202713279.407,10.0,1356691053790000.0,0.250007275152,94,0.250453720508,0.0156526827331,0.249981948155,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,125858369.114,18347466.0969,126479201.066,150825686.24,92889312.4451,101641594.002,149554775.818,10.0,336629512178000.0,0.12498974865,78,0.249546279492,0.0077971186374,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,120672212.795,17836414.4707,118885193.483,152362880.38,93202389.1458,95485931.2602,146284330.394,10.0,318137681171000.0,0.250007275152,66,0.125226860254,0.00782747168739,0.250018051845,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,110444965.545,23091142.1945,105493409.749,154024071.376,71299583.9347,82289068.1801,142439096.325,10.0,533200847845000.0,0.250007275152,88,0.249546279492,0.0155959701145,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,110054654.626,51022627.5767,118607352.39,182325396.601,10525579.9241,23405711.8569,167010723.539,10.0,2603308524830000.0,0.249992724848,110,0.125226860254,0.00391294293863,0.124990974078,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,93936772.4543,20598238.5964,92713721.8731,121204667.553,52462031.3381,64104590.8826,118596919.205,10.0,424287433273000.0,0.125002976198,99,0.250453720508,0.00782629995845,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,93222117.2864,18214674.4415,90654946.8486,117189685.362,63046235.5211,69381919.9057,116429829.258,10.0,331774365010000.0,0.12498974865,51,0.125226860254,0.00391330099566,0.250018051845,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,85525550.6805,35190118.5353,82479115.1358,141960447.673,28120405.9389,37593096.7907,139132760.0,10.0,1238344442530000.0,0.250007275152,115,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,85276638.6781,17638589.0796,83513004.7445,107808181.045,55852805.7092,59131769.8514,106845347.66,10.0,311119824720000.0,0.250007275152,93,0.249546279492,0.0155959701145,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,66363481.9857,26636666.7012,60219748.9402,113815418.496,24673385.754,29434627.1919,104884465.515,10.0,709512012951000.0,0.250007275152,120,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,63020772.3244,15583784.4217,61887756.8521,87735400.1263,34001335.5294,39701552.9608,83419621.5219,10.0,242854336903000.0,0.125002976198,71,0.125226860254,0.00391371513664,0.250018051845,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,46011465.2735,29253707.6192,43460699.6363,91460177.2954,-7687217.8067,1130671.06788,83024138.4028,10.0,855779409472000.0,0.249992724848,82,0.249546279492,0.0155950624366,0.249981948155,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,40460282.4493,29432723.7475,44732042.3517,89035913.4297,-16055965.6885,-2539667.33658,79119454.4811,10.0,866285227197000.0,0.125002976198,98,0.249546279492,0.00779794379918,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,34921282.595,40276566.0796,53529689.3861,71988610.8729,-26990346.1212,-26194484.1337,71686612.8418,10.0,1622201775170000.0,0.249992724848,109,0.250453720508,0.00782588587727,0.124990974078,3.46688419418e-13
