npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2771258031.33,410682.757837,2771258031.33,2771548427.89,2770967634.76,2770996674.42,2771519388.23,2.0,168660327585.0,0.124992849434,0.124987287705,0.00195281465415,0.125,1.21200144652e-13,1
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2722820334.45,153836.128771,2722820334.45,2722929113.02,2722711555.88,2722722433.74,2722918235.17,2.0,23665554515.2,0.249995232956,0.124987287705,0.00390577826328,0.125,1.21200144652e-13,26
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2663621279.82,2801858.25037,2663621279.82,2665602492.79,2661640066.85,2661838188.15,2665404371.49,2.0,7850409655190.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,51
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2610261957.2,1696075.20341,2610261957.2,2611461263.48,2609062650.92,2609182581.55,2611341332.85,2.0,2876671095620.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,76
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2552354054.48,426767.809167,2552354054.48,2552655824.89,2552052284.07,2552082461.11,2552625647.85,2.0,182130762941.0,0.125002383522,0.124987287705,0.00195296360913,0.125,1.21200144652e-13,101
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2514528546.52,5429033.75067,2514528546.52,2518367453.1,2510689639.94,2511073530.6,2517983562.45,2.0,29474407465900.0,0.124992849434,0.25,0.00781205308962,0.25,1.21200144652e-13,7
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2465288585.81,1126001.15109,2465288585.81,2466084788.86,2464492382.76,2464572003.06,2466005168.55,2.0,1267878592260.0,0.249995232956,0.25,0.0156247020597,0.25,1.21200144652e-13,32
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2411369351.93,1260641.03609,2411369351.93,2412260759.75,2410477944.1,2410567084.88,2412171618.97,2.0,1589215821870.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,57
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2353186101.37,903721.06896,2353186101.37,2353825128.66,2352547074.07,2352610976.8,2353761225.93,2.0,816711770482.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,82
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2325875170.85,870794.766705,2325875170.85,2326490915.73,2325259425.96,2325321000.45,2326429341.24,2.0,758283525721.0,0.249995232956,0.25,0.00781235102987,0.125,1.21200144652e-13,27
