npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1150096357.58,28748848.8188,1150096357.58,1170424863.54,1129767851.63,1131800702.23,1168392012.94,2.0,826496308408000.0,0.25,8.95747037061e-15,0.249999653633,0.249974138823,0.0156233620307,33
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1110191243.76,108611487.556,1110191243.76,1186991163.12,1033391324.39,1041071316.33,1179311171.19,2.0,1.17964552291e+16,0.25,8.95747037061e-15,0.249999653633,0.25,0.015624978352,44
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1107004423.72,4734397.2551,1107004423.72,1110352148.12,1103656699.32,1103991471.76,1110017375.68,2.0,22414517369100.0,0.25,8.95747037061e-15,0.124999445812,0.125012930589,0.00390663676073,10
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,999073260.782,10745681.5592,999073260.782,1006671605.08,991474916.483,992234750.913,1005911770.65,2.0,115469672171000.0,0.25,8.95747037061e-15,0.249999653633,0.25,0.015624978352,39
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,985712610.118,2728335.62288,985712610.118,987641834.738,983783385.498,983976307.96,987448912.276,2.0,7443815271070.0,0.125,8.95747037061e-15,0.249999653633,0.249974138823,0.00781168101535,28
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,981092616.291,1448439.65047,981092616.291,982116817.79,980068414.792,980170834.942,982014397.64,2.0,2097977421060.0,0.125,8.95747037061e-15,0.249999653633,0.125012930589,0.00390664866834,50
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,915048534.228,7457810.38689,915048534.228,920322002.526,909775065.931,910302412.761,919794655.696,2.0,55618935766900.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,51
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,869236476.467,10166198.8584,869236476.467,876425064.619,862047888.316,862766747.131,875706205.804,2.0,103351599228000.0,0.125,8.95747037061e-15,0.124999445812,0.125012930589,0.00195331838036,5
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,835484124.837,12912006.9387,835484124.837,844614292.502,826353957.171,827266973.938,843701275.735,2.0,166719923186000.0,0.25,8.95747037061e-15,0.249999653633,0.25,0.015624978352,34
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,803838637.71,62643827.3136,803838637.71,848134512.802,759542762.617,763972350.126,843704925.293,2.0,3924249100490000.0,0.25,8.95747037061e-15,0.249999653633,0.125012930589,0.00781329733668,45
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,707298971.357,7188827.3992,707298971.357,712382239.96,702215702.755,702724029.615,711873913.1,2.0,51679239375500.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,57
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,603770881.687,58739107.7451,603770881.687,645305703.095,562236060.28,566389542.421,641152220.954,2.0,3450282778690000.0,0.125,8.95747037061e-15,0.249999653633,0.25,0.00781248917602,29
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,593836834.753,13054831.561,593836834.753,603067994.677,584605674.829,585528790.821,602144878.685,2.0,170428627086000.0,0.25,8.95747037061e-15,0.249999653633,0.125012930589,0.00781329733668,40
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,592352837.631,41232281.7033,592352837.631,621508463.627,563197211.635,566112774.234,618592901.027,2.0,1700101054460000.0,0.125,8.95747037061e-15,0.250000346367,0.25,0.00781251082398,52
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,512158486.697,2500734.35193,512158486.697,513926772.915,510390200.479,510567029.101,513749944.293,2.0,6253672298940.0,0.25,8.95747037061e-15,0.250000346367,0.249974138823,0.0156234053222,63
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,422223020.692,56512982.311,422223020.692,462183733.709,382262307.675,386258378.976,458187662.407,2.0,3193717169690000.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,69
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,407838395.636,26950607.2159,407838395.636,426895352.756,388781438.517,390687134.229,424989657.044,2.0,726335229306000.0,0.25,8.95747037061e-15,0.250000346367,0.249974138823,0.0156234053222,58
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,402685543.853,9665004.01098,402685543.853,409519733.729,395851353.976,396534772.964,408836314.742,2.0,93412302532200.0,0.25,8.95747037061e-15,0.249999653633,0.125012930589,0.00781329733668,35
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,325292970.71,86552866.7867,325292970.71,386495089.746,264090851.674,270211063.577,380374877.842,2.0,7491398748990000.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,75
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,226522515.932,12902422.3077,226522515.932,235645906.24,217399125.625,218311464.656,234733567.209,2.0,166472501407000.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,64
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,220849304.501,42403723.6745,220849304.501,250833265.059,190865343.943,193863739.999,247834869.003,2.0,1798075781470000.0,0.125,8.95747037061e-15,0.250000346367,0.249974138823,0.00781170266108,53
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,205734229.503,47138639.6114,205734229.503,239066281.228,172402177.778,175735382.95,235733076.055,2.0,2222051344410000.0,0.125,8.95747037061e-15,0.249999653633,0.125012930589,0.00390664866834,30
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,165863827.535,11491443.9602,165863827.535,173989505.485,157738149.585,158550717.38,173176937.69,2.0,132053284291000.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,76
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,79947901.9875,8399454.40587,79947901.9875,85887213.1561,74008590.8188,74602521.9357,85293282.0393,2.0,70550834316300.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,59
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,45305781.4975,118303628.536,45305781.4975,128959079.474,-38347516.4792,-29982186.6816,120593749.677,2.0,1.39957485248e+16,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,70
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-12016409.673,16831263.2995,-12016409.673,-114909.257943,-23917910.088,-22727760.0465,-1305059.29944,2.0,283291424257000.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,82
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-158344056.954,11755814.1439,-158344056.954,-150031441.055,-166656672.854,-165825411.264,-150862702.645,2.0,138199166187000.0,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,65
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-159271871.532,69644610.6089,-159271871.532,-110025695.097,-208518047.966,-203593430.323,-114950312.741,2.0,4850371786860000.0,0.125,8.95747037061e-15,0.250000346367,0.25,0.00781251082398,54
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-192596161.259,3778935.99285,-192596161.259,-189924049.993,-195268272.526,-195001061.399,-190191261.12,2.0,14280357238100.0,0.125,8.95747037061e-15,0.250000346367,0.25,0.00781251082398,77
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-220794344.608,35709870.1451,-220794344.608,-195543653.273,-246045035.943,-243519966.81,-198068722.407,2.0,1275194825780000.0,0.25,8.95747037061e-15,0.250000346367,0.249974138823,0.0156234053222,88
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-288602212.884,3453336.91545,-288602212.884,-286160334.934,-291044090.835,-290799903.04,-286404522.729,2.0,11925535851600.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,94
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-312423973.08,10094895.7976,-312423973.08,-305285803.806,-319562142.354,-318848325.426,-305999620.734,2.0,101906921164000.0,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,60
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-372488814.122,66085912.3097,-372488814.122,-325759017.387,-419218610.857,-414545631.184,-330431997.061,2.0,4367347805810000.0,0.25,8.95747037061e-15,0.250000346367,0.249974138823,0.0156234053222,83
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-464039692.332,14211475.8739,-464039692.332,-453990661.371,-474088723.293,-473083820.197,-454995564.467,2.0,201966046514000.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,100
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-484849295.523,1259106.23182,-484849295.523,-483958972.969,-485739618.078,-485650585.823,-484048005.224,2.0,1585348503020.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,89
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-487663022.717,60434554.2143,-487663022.717,-444929339.614,-530396705.82,-526123337.509,-449202707.924,2.0,3652335343080000.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,55
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-509956990.757,12962515.5486,-509956990.757,-500791108.111,-519122873.403,-518206285.138,-501707696.376,2.0,168026809349000.0,0.125,8.95747037061e-15,0.250000346367,0.249974138823,0.00781170266108,78
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-596589805.819,14720309.4228,-596589805.819,-586180975.205,-606998636.433,-605957753.372,-587221858.266,2.0,216687509502000.0,0.125,8.95747037061e-15,0.12500020782,0.125012930589,0.00195333028798,101
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-628529731.006,48522287.5542,-628529731.006,-594219292.438,-662840169.574,-659409125.717,-597650336.294,2.0,2354412389490000.0,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,95
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-767916735.759,1044539.9275,-767916735.759,-767178134.493,-768655337.025,-768581476.898,-767251994.619,2.0,1091063660140.0,0.25,8.95747037061e-15,0.12500020782,0.25,0.00781251298878,107
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-802270107.483,29585829.9566,-802270107.483,-781349766.493,-823190448.472,-821098414.373,-783441800.592,2.0,875321334222000.0,0.25,8.95747037061e-15,0.250000346367,0.25,0.015625021648,84
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-906028075.456,14574562.0377,-906028075.456,-895722303.806,-916333847.106,-915303269.941,-896752880.971,2.0,212417858591000.0,0.25,8.95747037061e-15,0.12500020782,0.249974138823,0.00781170482565,113
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-915108283.181,35877024.6466,-915108283.181,-889739395.764,-940477170.597,-937940281.855,-892276284.506,2.0,1287160897490000.0,0.125,8.95747037061e-15,0.12500020782,0.25,0.00390625649439,102
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-965950988.38,23580184.6928,-965950988.38,-949277279.882,-982624696.878,-980957326.028,-950944650.732,2.0,556025110147000.0,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,90
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-976484373.49,18416895.7898,-976484373.49,-963461661.589,-989507085.392,-988204814.202,-964763932.779,2.0,339182050532000.0,0.125,8.95747037061e-15,0.250000346367,0.25,0.00781251082398,79
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1074295538.86,20735855.1122,-1074295538.86,-1059633075.09,-1088958002.62,-1087491756.24,-1061099321.47,2.0,429975687235000.0,0.25,8.95747037061e-15,0.12500020782,0.25,0.00781251298878,119
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1137700570.13,48847313.6044,-1137700570.13,-1103160303.44,-1172240836.82,-1168786810.15,-1106614330.11,2.0,2386060046360000.0,0.25,8.95747037061e-15,0.250000346367,0.125012930589,0.00781331898689,85
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1151504859.75,6721411.72366,-1151504859.75,-1146752103.94,-1156257615.56,-1155782339.98,-1147227379.53,2.0,45177375559000.0,0.25,8.95747037061e-15,0.12500020782,0.249974138823,0.00781170482565,108
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1276240014.89,99946883.6325,-1276240014.89,-1205566895.72,-1346913134.07,-1339845822.15,-1212634207.64,2.0,9989379547860000.0,0.25,8.95747037061e-15,0.12500020782,0.25,0.00781251298878,114
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1288661120.77,20572934.9899,-1288661120.77,-1274113858.93,-1303208382.61,-1301753656.43,-1275568585.12,2.0,423245654097000.0,0.125,8.95747037061e-15,0.12500020782,0.249974138823,0.00390585241282,103
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1290250958.82,10100777.6139,-1290250958.82,-1283108630.47,-1297393287.16,-1296679054.33,-1283822863.3,2.0,102025708405000.0,0.125,8.95747037061e-15,0.12500020782,0.125012930589,0.00195333028798,125
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1317884766.04,1946352.35412,-1317884766.04,-1316508487.09,-1319261044.99,-1319123417.09,-1316646114.99,2.0,3788287486380.0,0.125,8.95747037061e-15,0.250000346367,0.125012930589,0.00390665949345,80
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1474624229.88,22949625.4562,-1474624229.88,-1458396394.09,-1490852065.66,-1489229282.08,-1460019177.67,2.0,526685308578000.0,0.25,8.95747037061e-15,0.12500020782,0.25,0.00781251298878,109
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1525792502.52,18046.2214468,-1525792502.52,-1525779741.92,-1525805263.13,-1525803987.07,-1525781017.98,2.0,325666108.507,0.25,8.95747037061e-15,0.12500020782,0.125012930589,0.00390666057596,120
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1646568051.95,10581731.1362,-1646568051.95,-1639085638.11,-1654050465.79,-1653302224.41,-1639833879.49,2.0,111973033839000.0,0.25,8.95747037061e-15,0.12500020782,0.125012930589,0.00390666057596,115
