smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-618684789.881,12870947.1233,-618684789.881,-609583655.89,-627785923.872,-626875810.473,-610493769.289,2.0,165661279850000.0,5.2351036610599995e-14,0.25,9,0.250453720508,0.00782659121466,0.124998601718
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-626755966.196,17756387.3711,-626755966.196,-614200304.276,-639311628.115,-638056061.923,-615455870.468,2.0,315289292471000.0,5.2351036610599995e-14,0.249963898917,28,0.125226860254,0.00782551729578,0.249999001227
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-636185679.462,3837818.626,-636185679.462,-633471931.887,-638899427.038,-638628052.28,-633743306.644,2.0,14728851806100.0,5.2351036610599995e-14,0.125018050542,20,0.249546279492,0.00389968004944,0.124998601718
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-684808327.143,1151959.12228,-684808327.143,-683993769.036,-685622885.25,-685541429.439,-684075224.846,2.0,1327009819400.0,5.2351036610599995e-14,0.249963898917,63,0.249546279492,0.0155944525465,0.250000998773
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-726058588.111,21634028.6829,-726058588.111,-710761019.725,-741356156.497,-739826399.658,-712290776.563,2.0,468031197052000.0,5.2351036610599995e-14,0.25,39,0.249546279492,0.0155965801582,0.249999001227
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-780888557.982,14678485.671,-780888557.982,-770509301.226,-791267814.738,-790229889.062,-771547226.902,2.0,215457941595000.0,5.2351036610599995e-14,0.25,82,0.250453720508,0.0156534200683,0.250000998773
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-788956671.077,12072658.7722,-788956671.077,-780420012.192,-797493329.961,-796639664.073,-781273678.08,2.0,145749089830000.0,5.2351036610599995e-14,0.25,4,0.125226860254,0.00391329560733,0.124998601718
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-793558933.14,14498070.7871,-793558933.14,-783307248.973,-803810617.308,-802785448.891,-784332417.39,2.0,210194056549000.0,5.2351036610599995e-14,0.125018050542,50,0.125226860254,0.0039138888497,0.249999001227
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-806813200.491,2193041.15861,-806813200.491,-805262486.217,-808363914.766,-808208843.338,-805417557.644,2.0,4809429523340.0,5.2351036610599995e-14,0.249963898917,58,0.250453720508,0.0156511596467,0.250000998773
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-839981078.921,13205870.9364,-839981078.921,-830643118.031,-849319039.812,-848385243.723,-831576914.12,2.0,174395027189000.0,5.2351036610599995e-14,0.125018050542,15,0.249546279492,0.00389968004944,0.124998601718
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-843570904.887,537030.334399,-843570904.887,-843191167.096,-843950642.678,-843912668.899,-843229140.875,2.0,288401580065.0,5.2351036610599995e-14,0.125018050542,101,0.125226860254,0.00195695849761,0.125000399509
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-872800210.419,13688298.2806,-872800210.419,-863121121.882,-882479298.956,-881511390.102,-864089030.735,2.0,187369509818000.0,5.2351036610599995e-14,0.25,34,0.250453720508,0.0156532949952,0.249999001227
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-901883884.508,23524348.5352,-901883884.508,-885249658.136,-918518110.88,-916854688.243,-886913080.773,2.0,553394974007000.0,5.2351036610599995e-14,0.25,77,0.125226860254,0.00782671003417,0.250000998773
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-904397907.881,2606846.98632,-904397907.881,-902554588.7,-906241227.063,-906056895.145,-902738920.618,2.0,6795651210090.0,5.2351036610599995e-14,0.25,69,0.249546279492,0.0155967047782,0.250000998773
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-943769242.757,2319274.45685,-943769242.757,-942129268.061,-945409217.453,-945245219.983,-942293265.531,2.0,5379034006190.0,5.2351036610599995e-14,0.125018050542,45,0.249546279492,0.00779941618599,0.249999001227
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-954081015.478,8911515.44063,-954081015.478,-947779622.479,-960382408.477,-959752269.177,-948409761.779,2.0,79415107448600.0,5.2351036610599995e-14,0.249963898917,53,0.125226860254,0.00782557982334,0.250000998773
