smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2015544039.59,2932963.5087,-2015544039.59,-2013470121.21,-2017617957.98,-2017410566.14,-2013677513.05,2.0,8602274943350.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,84,0.142822580645
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2080816913.53,1015243.65338,-2080816913.53,-2080099027.85,-2081534799.2,-2081463010.63,-2080170816.42,2.0,1030719675730.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,76,0.142822580645
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2108250607.99,1102713.07323,-2108250607.99,-2107470872.09,-2109030343.88,-2108952370.29,-2107548845.68,2.0,1215976121880.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,12,0.142822580645
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2139666436.58,21330.2018404,-2139666436.58,-2139651353.85,-2139681519.31,-2139680011.04,-2139652862.12,2.0,454977510.55,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145808199845,29,0.142903225806
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2151332971.24,4694888.63298,-2151332971.24,-2148013183.65,-2154652758.83,-2154320780.07,-2148345162.41,2.0,22041979276000.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291630355421,93,0.142903225806
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2164494444.75,6265694.69368,-2164494444.75,-2160063929.55,-2168924959.96,-2168481908.44,-2160506981.07,2.0,39258929994400.0,1.28667840979e-13,0.142857142857,0.14285279261,0.0014581517771,68,0.0714516129032
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2215591970.74,5349914.96274,-2215591970.74,-2211809009.59,-2219374931.89,-2218996635.78,-2212187305.71,2.0,28621590108500.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.000729040999226,4,0.0714516129032
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2218940511.19,1500142.98214,-2218940511.19,-2217879749.92,-2220001272.47,-2219895196.34,-2217985826.04,2.0,2250428966860.0,1.28667840979e-13,0.142857142857,0.142859007249,0.00145821521224,132,0.0714516129032
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2228281607.84,875289.479549,-2228281607.84,-2227662684.72,-2228900530.97,-2228838638.66,-2227724577.03,2.0,766131673009.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,85,0.142822580645
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2242722859.8,778022.831699,-2242722859.8,-2242172714.58,-2243273005.02,-2243217990.49,-2242227729.1,2.0,605319526645.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,21,0.142822580645
