smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,594452440.024,839569.424339,594452440.024,595046105.257,593858774.791,593918141.314,594986738.734,2.0,704876818286.0,0.000999941379132,0.0999993581762,1.28667840979e-13,0.1,1,0.0999947797035
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,528246212.708,164605.335673,528246212.708,528362606.257,528129819.159,528141458.514,528350966.902,2.0,27094916532.1,0.00199995111885,0.0999993581762,1.28667840979e-13,0.1,37,0.19999639551
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,463532328.445,555130.845264,463532328.445,463924865.23,463139791.659,463179045.338,463885611.551,2.0,308170255364.0,0.00200001326484,0.0999993581762,1.28667840979e-13,0.1,73,0.200002610148
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,396969958.234,154373.561295,396969958.234,397079116.826,396860799.642,396871715.501,397068200.967,2.0,23831196426.8,0.00200001326484,0.0999993581762,1.28667840979e-13,0.1,109,0.200002610148
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,334388136.037,2726851.95265,334388136.037,336316311.544,332459960.53,332652778.081,336123493.993,2.0,7435721571670.0,0.0079998044754,0.199998716352,1.28667840979e-13,0.2,44,0.19999639551
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,331653946.421,66750.4591249,331653946.421,331701146.123,331606746.719,331611466.689,331696426.153,2.0,4455623793.39,0.00200001326484,0.0999993581762,1.28667840979e-13,0.1,145,0.200002610148
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,268500548.835,1928943.14901,268500548.835,269864517.616,267136580.054,267272976.932,269728120.738,2.0,3720821672100.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,80,0.200002610148
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,265803516.364,158648.610232,265803516.364,265915697.872,265691334.856,265702553.007,265904479.722,2.0,25169381528.5,0.00100000352512,0.0999993581762,1.28667840979e-13,0.1,181,0.100000994342
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,255620408.481,1040967.3303,255620408.481,256356483.54,254884333.423,254957940.929,256282876.034,2.0,1083612982740.0,0.00199988275826,0.199998716352,1.28667840979e-13,0.1,2,0.0999947797035
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,247942279.82,836126.082059,247942279.82,248533510.242,247351049.397,247410172.44,248474387.2,2.0,699106825099.0,0.0039999022377,0.199998716352,1.28667840979e-13,0.1,38,0.19999639551
