smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1133730443.92,417722.833069,-1133730443.92,-1133435069.27,-1134025818.57,-1133996281.11,-1133464606.74,2.0,174492365267.0,0.0714285714286,1,0.0714473684211,0.0714113745622,1.07010398565e-12,0.0003644396277
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1150653870.37,1547666.9876,-1150653870.37,-1149559504.55,-1151748236.19,-1151638799.61,-1149668941.13,2.0,2395273104500.0,0.0714285714286,65,0.0714473684211,0.142844106523,1.07010398565e-12,0.000728988250394
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1169133029.04,59238.2446146,-1169133029.04,-1169091141.28,-1169174916.81,-1169170728.03,-1169095330.05,2.0,3509169625.02,0.0714285714286,129,0.0714473684211,0.14286352234,1.07010398565e-12,0.000729087336753
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1184396127.51,377550.151219,-1184396127.51,-1184129159.23,-1184663095.78,-1184636398.95,-1184155856.06,2.0,142544116685.0,0.0714285714286,193,0.0714473684211,0.142861580758,1.07010398565e-12,0.000729077428117
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1205297301.22,2261118.64451,-1205297301.22,-1203698448.89,-1206896153.55,-1206736268.31,-1203858334.12,2.0,5112657524560.0,0.0714285714286,257,0.0714473684211,0.14286352234,1.07010398565e-12,0.000729087336753
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1220045613.63,1939336.12409,-1220045613.63,-1218674295.91,-1221416931.36,-1221279799.58,-1218811427.68,2.0,3761024602190.0,0.0714285714286,321,0.0714473684211,0.14286352234,1.07010398565e-12,0.000729087336753
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,220742.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1235605460.96,413625.497213,-1235605460.96,-1235312983.57,-1235897938.35,-1235868690.62,-1235342231.31,2.0,171086051945.0,0.0714285714286,385,0.0714473684211,0.142861580758,1.07010398565e-12,0.000729077428117
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1301439239.97,2125557.22387,-1301439239.97,-1299936244.04,-1302942235.9,-1302791936.3,-1300086543.63,2.0,4517993511970.0,0.142857142857,66,0.0714473684211,0.142844106523,1.07010398565e-12,0.00145797650079
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1312618166.7,2410707.47248,-1312618166.7,-1310913539.1,-1314322794.31,-1314152331.54,-1311084001.86,2.0,5811510517850.0,0.142857142857,2,0.0714473684211,0.0714113745622,1.07010398565e-12,0.0007288792554
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1322083809.79,6550645.82015,-1322083809.79,-1317451803.71,-1326715815.87,-1326252615.27,-1317915004.32,2.0,42910960661000.0,0.142857142857,130,0.0714473684211,0.14286352234,1.07010398565e-12,0.00145817467351
