smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1079361960.97,12628.7277346,1079361960.97,1079370890.83,1079353031.11,1079353924.1,1079369997.84,2.0,159484764.196,0.0555519897304,0.000343451661238,11,0.11110627741,1.21719856843e-13,0.0556451612903
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1039455651.43,18664.0854936,1039455651.43,1039468848.93,1039442453.93,1039443773.68,1039467529.18,2.0,348348087.312,0.0555519897304,0.000343471651123,21,0.111112744118,1.21719856843e-13,0.0556451612903
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,999552706.232,42682.1835549,999552706.232,999582887.093,999522525.37,999525543.456,999579869.007,2.0,1821768793.02,0.0555519897304,0.000343471651123,31,0.111112744118,1.21719856843e-13,0.0556451612903
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,959745627.598,22974.5525193,959745627.598,959761873.06,959729382.136,959731006.682,959760248.513,2.0,527830063.461,0.0555519897304,0.00034346983386,41,0.111112156236,1.21719856843e-13,0.0556451612903
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,954876971.196,336129.123342,954876971.196,955114650.378,954639292.013,954663059.932,955090882.46,2.0,112982787559.0,0.111103979461,0.00137380664495,112,0.11110627741,1.21719856843e-13,0.111290322581
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,919556209.343,91070.0889263,919556209.343,919620605.621,919491813.066,919498252.694,919614165.993,2.0,8293761097.04,0.0555519897304,0.00034346983386,51,0.111112156236,1.21719856843e-13,0.0556451612903
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,915364144.792,684902.535969,915364144.792,915848444.02,914879845.564,914928275.487,915800014.097,2.0,469091483777.0,0.111103979461,0.00137388660449,122,0.111112744118,1.21719856843e-13,0.111290322581
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,914631054.961,45267.5820655,914631054.961,914663063.975,914599045.947,914602246.848,914659863.074,2.0,2049153986.06,0.111103979461,0.000343433488615,101,0.0555501992922,1.21719856843e-13,0.0556451612903
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,913376326.68,120316.722546,913376326.68,913461403.45,913291249.909,913299757.586,913452895.773,2.0,14476113724.2,0.111103979461,0.000686903322476,111,0.11110627741,1.21719856843e-13,0.0556451612903
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,879730119.238,12687.1077886,879730119.238,879739090.378,879721148.098,879722045.212,879738193.264,2.0,160962704.041,0.0555519897304,0.00034346983386,61,0.111112156236,1.21719856843e-13,0.0556451612903
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,875224044.7,1694201.56452,875224044.7,876422026.115,874026063.285,874145861.427,876302227.974,2.0,2870318941230.0,0.111103979461,0.00137388660449,132,0.111112744118,1.21719856843e-13,0.111290322581
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,873082617.169,1812091.79692,873082617.169,874363959.566,871801274.771,871929409.011,874235825.327,2.0,3283676680470.0,0.111103979461,0.000686943302245,121,0.111112744118,1.21719856843e-13,0.0556451612903
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,839936136.899,247968.445843,839936136.899,840111477.069,839760796.73,839778330.747,840093943.052,2.0,61488350134.0,0.0555519897304,0.000343471651123,71,0.111112744118,1.21719856843e-13,0.0556451612903
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,835243750.056,1329495.5429,835243750.056,836183845.37,834303654.742,834397664.274,836089835.839,2.0,1767558398600.0,0.111103979461,0.00137387933544,142,0.111112156236,1.21719856843e-13,0.111290322581
