npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1805317200.18,26755785.7129,1805317200.18,1824236397.7,1786398002.67,1788289922.42,1822344477.94,2.0,715872069116000.0,0.125012930589,0.25,10,0.00390663676073,8.95747037061e-15,0.124999445812
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1768086229.47,35695821.9935,1768086229.47,1793326987.26,1742845471.67,1745369547.45,1790802911.48,2.0,1274191707790000.0,0.25,0.25,44,0.015624978352,8.95747037061e-15,0.249999653633
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1714702811.37,12455216.8619,1714702811.37,1723509979.68,1705895643.07,1706776359.9,1722629262.85,2.0,155132427077000.0,0.125012930589,0.125,5,0.00195331838036,8.95747037061e-15,0.124999445812
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1666253903.68,29169532.7527,1666253903.68,1686879878.09,1645627929.27,1647690526.71,1684817280.65,2.0,850861641010000.0,0.249974138823,0.25,33,0.0156233620307,8.95747037061e-15,0.249999653633
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1652389468.69,30068977.5068,1652389468.69,1673651446.59,1631127490.8,1633253688.59,1671525248.8,2.0,904143408304000.0,0.25,0.25,39,0.015624978352,8.95747037061e-15,0.249999653633
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1628358891.27,96320528.2698,1628358891.27,1696467789.98,1560249992.57,1567060882.44,1689656900.11,2.0,9277644166170000.0,0.125012930589,0.125,50,0.00390664866834,8.95747037061e-15,0.249999653633
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1559383285.07,18164963.2451,1559383285.07,1572227853.76,1546538716.38,1547823173.25,1570943396.89,2.0,329965889696000.0,0.249974138823,0.125,28,0.00781168101535,8.95747037061e-15,0.249999653633
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1506326027.7,23769100.1911,1506326027.7,1523133319.63,1489518735.78,1491199464.97,1521452590.44,2.0,564970123893000.0,0.25,0.25,34,0.015624978352,8.95747037061e-15,0.249999653633
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1464861402.51,51789353.1874,1464861402.51,1501482005.34,1428240799.68,1431902859.96,1497819945.06,2.0,2682137103570000.0,0.125012930589,0.25,45,0.00781329733668,8.95747037061e-15,0.249999653633
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1302199693.44,17022818.071,1302199693.44,1314236643.53,1290162743.34,1291366438.35,1313032948.52,2.0,289776335079000.0,0.25,0.125,29,0.00781248917602,8.95747037061e-15,0.249999653633
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1289065417.57,49752690.3989,1289065417.57,1324245882.33,1253884952.8,1257402999.28,1320727835.85,2.0,2475330201930000.0,0.125012930589,0.125,51,0.00390665949345,8.95747037061e-15,0.250000346367
