smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,85052.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,931254060.558,6559.41179589,931254060.558,931258698.763,931249422.354,931249886.174,931258234.943,2.0,43025883.1081,0.100002567295,0.199992945326,0.00199998079736,7,2.43433201164e-13,0.1
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,895534189.568,34273.8204051,895534189.568,895558424.818,895509954.317,895512377.842,895556001.293,2.0,1174694765.16,0.100002567295,0.200004703116,0.00200009837827,13,2.43433201164e-13,0.1
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,255156.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,859839038.368,26225.0673387,859839038.368,859857582.291,859820494.445,859822348.837,859855727.899,2.0,687754156.921,0.100002567295,0.200004703116,0.00200009837827,19,2.43433201164e-13,0.1
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,824073317.224,66566.2572736,824073317.224,824120386.676,824026247.772,824030954.717,824115679.731,2.0,4431066607.42,0.100002567295,0.200004703116,0.00200009837827,25,2.43433201164e-13,0.1
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,788253234.621,79446.0062166,788253234.621,788309411.431,788197057.811,788202675.492,788303793.75,2.0,6311667903.76,0.100002567295,0.100002351558,0.00100004918914,31,2.43433201164e-13,0.1
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,677146094.602,559335.232084,677146094.602,677541604.337,676750584.866,676790135.84,677502053.364,2.0,312855901851.0,0.200001925471,0.0999905937684,0.00399966225654,38,2.43433201164e-13,0.2
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,85052.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,640869860.569,626853.983059,640869860.569,641313113.272,640426607.867,640470933.137,641268788.001,2.0,392945916077.0,0.200001925471,0.199992945326,0.00799979482919,44,2.43433201164e-13,0.2
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,605536989.479,14878.9835626,605536989.479,605547510.509,605526468.448,605527520.551,605546458.406,2.0,221384151.855,0.200001925471,0.200004703116,0.0080002651453,50,2.43433201164e-13,0.2
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,255156.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,569791586.885,467946.369581,569791586.885,570122474.936,569460698.834,569493787.639,570089386.131,2.0,218973804804.0,0.200001925471,0.200004703116,0.0080002651453,56,2.43433201164e-13,0.2
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,85052.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,552220107.641,875864.393888,552220107.641,552839437.294,551600777.989,551662710.954,552777504.328,2.0,767138436481.0,0.200001925471,0.199992945326,0.0039998974146,43,2.43433201164e-13,0.1
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,533940293.756,503411.214101,533940293.756,534296259.24,533584328.273,533619924.822,534260662.691,2.0,253422850482.0,0.200001925471,0.0999905937684,0.00199983112827,37,2.43433201164e-13,0.1
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,533799704.737,926120.810315,533799704.737,534454571.042,533144838.432,533210325.062,534389084.412,2.0,857699755298.0,0.200001925471,0.200004703116,0.0080002651453,62,2.43433201164e-13,0.2
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,516242173.824,303805.169866,516242173.824,516456996.52,516027351.129,516048833.398,516435514.251,2.0,92297581237.1,0.200001925471,0.200004703116,0.00400013257265,49,2.43433201164e-13,0.1
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,498070520.664,240341.161911,498070520.664,498240467.529,497900573.799,497917568.485,498223472.843,2.0,57763874108.8,0.200001925471,0.100002351558,0.00400013257265,68,2.43433201164e-13,0.2
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,255156.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,481403137.898,1878637.39079,481403137.898,482731535.136,480074740.659,480207580.383,482598695.412,2.0,3529278446070.0,0.200001925471,0.200004703116,0.00400013257265,55,2.43433201164e-13,0.1
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,446167972.53,12572.8685549,446167972.53,446176862.89,446159082.169,446159971.205,446175973.854,2.0,158077023.699,0.200001925471,0.200004703116,0.00400013257265,61,2.43433201164e-13,0.1
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,408295706.253,1543594.71522,408295706.253,409387192.544,407204219.963,407313368.592,409278043.915,2.0,2382684644850.0,0.200001925471,0.100002351558,0.00200006628633,67,2.43433201164e-13,0.1
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,389846963.042,153111.770104,389846963.042,389955229.413,389738696.671,389749523.308,389944402.776,2.0,23443214144.3,0.199998716352,0.0999905937684,0.0039995980802,75,2.43433201164e-13,0.2
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,85052.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,354563227.762,605877.638601,354563227.762,354991647.949,354134807.575,354177649.594,354948805.93,2.0,367087712957.0,0.199998716352,0.199992945326,0.00799966646896,81,2.43433201164e-13,0.2
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,318191230.25,985312.487766,318191230.25,318887951.392,317494509.108,317564181.222,318818279.278,2.0,970840698548.0,0.199998716352,0.200004703116,0.00800013677752,87,2.43433201164e-13,0.2
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,255156.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,282560750.186,409471.200844,282560750.186,282850290.049,282271210.323,282300164.309,282821336.063,2.0,167666664320.0,0.199998716352,0.200004703116,0.00800013677752,93,2.43433201164e-13,0.2
