smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1121102534.96,2458296.18396,-1121827271.3,-1117547377.47,-1123208219.77,-1123009376.16,-1118181062.88,4.0,6043220128090.0,0.0714473684211,0.00145797960379,0.142844410537,0.142857142857,73,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1127675246.83,1043908.18951,-1127641248.38,-1126450630.6,-1128967859.96,-1128801797.84,-1126596293.65,4.0,1089744308130.0,0.0714473684211,0.000728898832816,0.0714132926442,0.142857142857,65,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1136398631.87,1517453.67242,-1136325350.4,-1134781021.04,-1138162805.66,-1138001831.08,-1134898026.74,4.0,2302665647940.0,0.0714473684211,0.00145816154194,0.142862235785,0.142857142857,81,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1155283198.91,766529.373331,-1155158353.37,-1154512888.39,-1156303200.53,-1156164634.55,-1154576547.04,4.0,587567280179.0,0.0714473684211,0.00145816154194,0.142862235785,0.142857142857,89,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1175376484.0,2003231.67974,-1174710743.82,-1173790957.89,-1178293490.49,-1177794258.07,-1173890746.2,4.0,4012937162730.0,0.0714473684211,0.00145816154194,0.142862235785,0.142857142857,97,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1194038594.96,2757205.19796,-1194177622.73,-1191219135.79,-1196579998.59,-1196526314.29,-1191356236.75,4.0,7602180503650.0,0.0714473684211,0.00145816154194,0.142862235785,0.142857142857,105,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1210813962.28,1421231.30668,-1210141949.09,-1210028706.41,-1212943244.53,-1212531281.2,-1210037461.83,4.0,2019898427090.0,0.0714473684211,0.00145816154194,0.142862235785,0.142857142857,113,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,280511.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1229978628.28,2448027.02326,-1229933643.53,-1227026307.06,-1233020918.99,-1232563367.86,-1227456867.35,4.0,5992836306590.0,0.0714473684211,0.000729080770972,0.0714311178926,0.142857142857,121,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1232870169.24,4281405.79954,-1231437117.52,-1229469333.86,-1239137108.08,-1238004314.73,-1229742296.18,4.0,18330435620400.0,0.142894736842,0.00291595920758,0.142844410537,0.142857142857,138,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1243953184.78,2751407.16343,-1243078567.48,-1241744144.36,-1247911459.8,-1247270914.29,-1241859919.49,4.0,7570241378980.0,0.142894736842,0.00145779766563,0.0714132926442,0.142857142857,130,9.8243970108e-13
