npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2519062090.52,6500426.14483,2519062090.52,2523658585.93,2514465595.11,2514925244.65,2523198936.39,2.0,42255540064400.0,0.125002383522,0.00390632448506,1.21200144652e-13,102,0.25,0.125
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2510757157.7,1928498.14479,2510757157.7,2512120811.81,2509393503.58,2509529868.99,2511984446.4,2.0,3719105094450.0,0.124992849434,0.00781205308962,1.21200144652e-13,19,0.25,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2504809718.23,4867885.95581,2504809718.23,2508251833.4,2501367603.07,2501711814.58,2507907621.89,2.0,23696313678800.0,0.250004767044,0.0156268870075,1.21200144652e-13,88,0.250025424591,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2501611156.08,1692883.45593,2501611156.08,2502808205.45,2500414106.71,2500533811.64,2502688500.51,2.0,2865854395370.0,0.249995232956,0.0156262910664,1.21200144652e-13,33,0.250025424591,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2458163752.98,2172956.6674,2458163752.98,2459700265.38,2456627240.59,2456780891.83,2459546614.14,2.0,4721740678380.0,0.124992849434,0.00781284756262,1.21200144652e-13,8,0.250025424591,0.25
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2448228834.78,2239198.98105,2448228834.78,2449812187.57,2446645482.0,2446803817.28,2449653852.29,2.0,5014012076750.0,0.249995232956,0.0156247020597,1.21200144652e-13,44,0.25,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2441544038.7,6983068.33125,2441544038.7,2446481813.67,2436606263.73,2437100041.23,2445988036.17,2.0,48763243318900.0,0.250004767044,0.0156268870075,1.21200144652e-13,58,0.250025424591,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2437319653.14,4817047.34188,2437319653.14,2440725819.98,2433913486.3,2434254102.98,2440385203.3,2.0,23203945093900.0,0.125002383522,0.00781344350374,1.21200144652e-13,113,0.250025424591,0.25
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2392576177.96,2785476.44008,2392576177.96,2394545807.24,2390606548.68,2390803511.6,2394348844.31,2.0,7758878998240.0,0.250004767044,0.0156252979403,1.21200144652e-13,69,0.25,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2384897721.74,13494474.0916,2384897721.74,2394439755.87,2375355687.6,2376309891.01,2393485552.46,2.0,182100831008000.0,0.250004767044,0.0156268870075,1.21200144652e-13,83,0.250025424591,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2371450392.3,1823024.30824,2371450392.3,2372739465.15,2370161319.45,2370290226.73,2372610557.86,2.0,3323417628440.0,0.124992849434,0.00195281465415,1.21200144652e-13,25,0.124987287705,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2350248325.67,4109873.68945,2350248325.67,2353154445.22,2347342206.11,2347632818.07,2352863833.27,2.0,16891061743200.0,0.249995232956,0.00781314553318,1.21200144652e-13,28,0.250025424591,0.125
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2342587495.41,1151663.88831,2342587495.41,2343401844.75,2341773146.06,2341854581.0,2343320409.82,2.0,1326329711640.0,0.250004767044,0.0156252979403,1.21200144652e-13,94,0.25,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2325006596.01,747826.644075,2325006596.01,2325535389.3,2324477802.72,2324530682.05,2325482509.97,2.0,559244689589.0,0.125002383522,0.00781344350374,1.21200144652e-13,108,0.250025424591,0.25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2323913234.31,9463280.49481,2323913234.31,2330604784.12,2317221684.5,2317890839.48,2329935629.14,2.0,89553677723500.0,0.249995232956,0.0156247020597,1.21200144652e-13,39,0.25,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2312730158.41,8385455.32834,2312730158.41,2318659570.74,2306800746.09,2307393687.32,2318066629.51,2.0,70315861063500.0,0.249995232956,0.00390577826328,1.21200144652e-13,50,0.124987287705,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2293598039.14,6444710.60365,2293598039.14,2298155137.71,2289040940.57,2289496650.42,2297699427.85,2.0,41534294764800.0,0.250004767044,0.00781344350374,1.21200144652e-13,53,0.250025424591,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2281633761.6,1840480.03879,2281633761.6,2282935177.51,2280332345.68,2280462487.27,2282805035.92,2.0,3387366773180.0,0.124992849434,0.00781205308962,1.21200144652e-13,14,0.25,0.25
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2280562987.97,3053158.97031,2280562987.97,2282721897.38,2278404078.56,2278619969.5,2282506006.44,2.0,9321779697960.0,0.125002383522,0.00781264897013,1.21200144652e-13,119,0.25,0.25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2265473112.62,1673149.49353,2265473112.62,2266656207.98,2264290017.27,2264408326.81,2266537898.44,2.0,2799429227710.0,0.250004767044,0.0156252979403,1.21200144652e-13,64,0.25,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2256742206.22,3910942.29228,2256742206.22,2259507660.04,2253976752.41,2254253297.79,2259231114.66,2.0,15295469613500.0,0.250004767044,0.00390592721826,1.21200144652e-13,75,0.124987287705,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2254060611.04,6805278.31463,2254060611.04,2258872669.49,2249248552.6,2249729758.44,2258391463.64,2.0,46311812939600.0,0.124992849434,0.00390642378131,1.21200144652e-13,3,0.250025424591,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2232117892.93,1262838.45959,2232117892.93,2233010854.57,2231224931.29,2231314227.46,2232921558.4,2.0,1594760975010.0,0.250004767044,0.00781344350374,1.21200144652e-13,78,0.250025424591,0.125
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2199728446.52,3493089.37189,2199728446.52,2202198433.71,2197258459.34,2197505458.06,2201951434.99,2.0,12201673360000.0,0.250004767044,0.00390592721826,1.21200144652e-13,100,0.124987287705,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2199564757.32,1082419.01954,2199564757.32,2200330143.15,2198799371.49,2198875910.07,2200253604.56,2.0,1171630933850.0,0.250004767044,0.0156252979403,1.21200144652e-13,89,0.25,0.25
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2179102123.21,123784.888872,2179102123.21,2179189652.35,2179014594.08,2179023346.99,2179180899.43,2.0,15322698713.1,0.125002383522,0.00390672175187,1.21200144652e-13,103,0.250025424591,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2153611867.02,6597940.02096,2153611867.02,2158277315.15,2148946418.89,2149412963.7,2157810770.34,2.0,43532812520200.0,0.125002383522,0.00781264897013,1.21200144652e-13,114,0.25,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2150918999.66,12436880.1708,2150918999.66,2159713201.96,2142124797.35,2143004217.58,2158833781.73,2.0,154675988383000.0,0.124992849434,0.0039056293083,1.21200144652e-13,20,0.124987287705,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2147135296.67,836359.01068,2147135296.67,2147726691.79,2146543901.54,2146603041.05,2147667552.28,2.0,699496394745.0,0.249995232956,0.00781155652656,1.21200144652e-13,45,0.124987287705,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2141197545.93,3969311.14035,2141197545.93,2144004272.75,2138390819.11,2138671491.79,2143723600.07,2.0,15755430928900.0,0.249995232956,0.0156247020597,1.21200144652e-13,34,0.25,0.25
